iso3,AUS,BRA,CAN,CHN,DEU,EGY,FRA,GBR,IDN,IND,PHL,RUS,TUR,USA
,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr
1960,31.35,133.1,34.1,32.0,62.4,2.25,84.6,113.95,248.9,39.4,202.0,27.45,51.0,50.7
1961,26.1,125.25,33.45,41.3,61.2,2.95,59.55,102.9,226.4,41.65,200.55,31.95,46.4,55.8
1962,23.65,144.05,34.45,33.3,56.55,1.75,66.7,73.75,246.95,44.7,185.85,32.35,42.5,50.0
1963,32.8,137.7,32.3,33.2,49.25,2.15,64.3,87.15,202.55,41.2,168.3,33.2,59.3,49.15
1964,34.6,156.0,34.6,51.95,48.85,2.45,64.95,80.2,260.4,39.0,240.35,31.65,39.15,55.65
1965,23.75,153.6,35.7,46.0,74.4,1.9,78.65,88.2,213.9,30.5,186.05,34.2,53.7,49.15
1966,29.95,141.1,36.85,38.55,64.45,3.1,72.9,102.0,256.3,50.8,231.35,36.1,35.95,47.55
1967,19.95,141.9,34.3,35.8,63.35,2.85,59.65,96.9,230.35,38.9,202.2,33.8,63.6,54.85
1968,39.2,147.15,33.45,34.5,62.0,2.95,75.55,91.35,240.4,35.45,119.35,30.75,46.7,53.15
1969,26.35,142.05,33.35,38.75,44.65,2.65,74.05,74.8,242.25,42.05,174.05,33.55,45.15,54.6
1970,35.0,142.95,32.6,36.8,65.25,2.15,68.6,98.35,264.75,40.25,227.4,34.4,45.5,54.3
1971,32.6,154.5,35.45,32.45,32.65,2.0,68.5,75.1,249.6,51.45,237.3,33.3,47.4,57.4
1972,19.8,147.25,32.45,38.95,50.7,2.3,67.75,88.8,212.7,34.6,181.3,32.35,38.65,60.3
1973,37.55,164.1,37.35,48.05,56.95,2.1,59.75,78.25,260.4,41.8,192.55,33.15,39.4,60.9
1974,41.85,146.65,34.65,39.15,64.4,2.0,66.4,98.35,235.8,44.8,211.4,31.25,46.45,52.35
1975,36.25,160.25,37.75,47.5,53.6,2.15,64.6,69.45,261.55,36.6,194.1,29.55,53.45,58.85
1976,26.5,155.7,34.9,41.65,39.95,2.55,55.25,85.65,227.15,39.3,180.65,27.3,47.15,50.05
1977,30.3,144.75,39.7,47.5,60.6,2.55,88.75,99.1,235.75,70.9,139.8,33.95,36.25,54.85
1978,38.45,151.0,34.35,34.15,69.35,2.65,71.5,91.9,246.7,47.4,176.5,30.05,47.55,55.8
1979,28.45,145.3,35.0,35.45,61.6,2.65,78.35,107.25,232.1,46.25,185.0,32.45,51.0,58.9
1980,30.75,138.55,36.75,41.85,53.65,2.25,69.3,108.15,243.95,33.1,197.4,32.9,55.15,54.3
1981,32.9,138.85,33.9,40.8,72.6,1.7,78.25,92.95,247.85,42.45,176.65,30.6,52.1,47.9
1982,18.0,125.0,34.85,37.25,58.0,3.4,69.45,113.65,202.45,47.65,147.35,33.1,38.1,60.5
1983,38.95,142.25,36.1,48.55,54.45,2.65,59.3,99.95,243.6,47.05,155.45,33.45,47.0,63.5
1984,28.15,137.1,37.35,35.65,55.65,2.1,64.95,82.9,266.4,40.45,184.4,28.4,37.65,56.55
1985,31.05,146.15,32.45,33.6,58.85,2.3,61.25,93.05,247.45,41.05,180.05,32.25,49.0,56.9
