iso3,AUS,BRA,CAN,CHN,DEU,EGY,FRA,GBR,IDN,IND,PHL,RUS,TUR,USA
,tasmax,tasmax,tasmax,tasmax,tasmax,tasmax,tasmax,tasmax,tasmax,tasmax,tasmax,tasmax,tasmax,tasmax
1960,29.2,30.35,-2.75,14.76,12.45,32.25,14.6,12.15,30.7,30.3,29.6,-2.1,18.05,13.65
1961,30.2,30.45,-3.65,14.08,14.9,30.05,16.4,12.55,30.5,30.15,29.55,-1.7,18.35,12.35
1962,29.1,30.5,-2.45,13.76,13.4,31.0,14.8,11.7,30.25,30.1,29.35,-0.4,17.75,14.15
1963,28.95,30.6,-0.8,14.31,12.9,31.95,14.85,11.85,30.65,30.75,29.55,-1.5,16.45,14.8
1964,28.25,30.4,-3.4,14.17,12.2,30.7,13.8,11.45,30.35,30.45,29.65,-2.9,17.45,13.35
1965,29.7,30.4,-2.95,13.6,12.3,29.85,14.75,12.25,30.4,30.7,29.45,-1.4,14.75,13.45
1966,28.65,30.65,-4.1,13.86,13.85,31.75,15.55,10.6,30.5,30.85,29.7,-2.7,18.7,12.75
1967,29.95,30.45,-3.8,13.62,13.5,30.3,15.6,11.45,30.4,30.15,29.1,1.6,16.65,13.35
1968,29.65,30.3,-2.05,14.32,14.5,30.6,15.65,11.8,30.5,30.7,29.6,-0.95,18.3,13.25
1969,29.9,30.75,-2.4,13.94,13.35,30.4,15.75,12.15,30.7,30.8,29.85,-2.55,15.6,13.55
1970,29.55,30.65,-2.95,14.36,10.75,30.25,13.85,11.1,30.65,30.6,29.65,-2.25,18.35,11.95
1971,29.05,30.1,-2.05,13.7,14.1,29.45,16.6,12.5,30.3,30.2,29.1,-1.35,15.95,13.0
1972,29.7,30.25,-4.8,14.11,11.7,31.45,14.2,12.15,30.8,30.85,29.7,-0.55,18.3,12.25
1973,29.4,30.65,-2.3,14.54,10.6,30.9,13.6,10.85,30.8,30.35,29.9,-1.4,17.3,13.1
1974,27.7,30.0,-4.1,14.5,11.95,32.25,12.7,10.75,30.65,30.95,29.55,-1.35,17.35,13.5
1975,27.75,30.05,-2.95,13.57,11.1,31.05,13.95,11.7,30.55,30.2,29.65,-0.2,18.15,12.05
1976,28.0,29.95,-2.1,14.36,12.85,31.5,14.7,11.7,30.55,30.75,29.4,-2.35,16.65,12.9
1977,29.6,30.5,-0.9,14.66,12.3,29.4,14.55,11.85,30.4,30.65,29.5,-1.9,16.3,14.1
1978,29.15,30.35,-4.0,14.58,12.3,31.5,14.05,12.15,30.5,30.1,29.2,-1.3,17.15,13.85
1979,29.35,30.25,-3.15,13.69,12.0,31.9,14.25,11.25,30.75,30.8,30.0,-3.5,17.3,13.85
1980,29.65,30.55,-1.4,13.98,11.3,31.05,13.8,11.65,30.65,30.8,29.65,-1.8,17.0,13.85
1981,30.5,30.45,-3.1,14.54,12.45,31.95,14.75,10.55,30.8,30.55,29.65,-0.35,16.85,13.8
1982,29.35,30.35,-3.75,13.88,12.65,31.6,14.8,12.15,30.75,30.65,29.8,-1.45,17.1,11.85
1983,29.15,30.55,-2.85,13.98,13.4,29.2,14.5,10.9,30.85,30.35,30.25,-1.45,17.1,12.25
1984,29.05,30.3,-1.9,14.63,13.25,30.95,14.65,12.6,30.3,30.35,29.95,-2.65,17.15,12.2
1985,28.75,30.3,-3.8,13.27,12.85,29.8,15.7,12.1,30.6,30.4,29.9,-1.4,16.65,12.95
1986,28.85,30.5,-3.35,14.1,12.4,30.85,14.35,11.4,30.7,30.8,29.8,-0.55,18.25,13.2
1987,29.7,30.75,-1.75,14.42,13.95,29.4,15.95,12.3,31.05,31.25,30.45,-2.35,15.4,14.6
1988,30.15,30.8,-1.3,14.38,13.5,30.5,15.8,11.75,30.7,30.8,30.45,-0.55,16.1,13.65
1989,29.15,30.25,-2.1,14.01,13.5,31.5,15.95,11.75,30.55,30.8,30.0,-1.2,18.85,14.4
1990,29.3,30.6,-3.1,13.9,13.75,31.65,15.65,12.55,30.9,30.15,30.1,0.5,17.55,14.25
1991,30.65,30.35,-2.7,14.28,12.7,32.2,14.15,11.35,30.85,30.9,29.85,0.55,17.25,14.2
1992,28.85,30.35,-3.55,13.97,11.6,30.8,13.6,10.55,30.9,30.45,30.0,-2.4,17.45,13.55
1993,29.55,30.4,-2.3,14.26,13.65,32.15,14.2,11.1,30.75,30.55,29.9,-1.45,16.85,13.55
1994,30.0,30.45,-1.9,13.87,12.6,32.9,14.9,11.95,30.75,30.5,29.9,0.2,19.55,13.7
1995,28.75,30.8,-2.05,13.64,14.5,30.7,16.5,13.35,30.7,30.75,29.75,0.95,16.2,13.7
1996,29.25,30.85,-3.45,14.31,13.95,30.3,15.7,11.9,30.75,30.45,29.8,-1.3,15.5,12.95
1997,29.8,30.65,-3.35,16.06,11.9,30.3,16.35,12.7,31.0,30.55,29.9,1.8,15.4,12.15
1998,29.25,31.25,-0.1,14.8,12.6,32.1,14.1,11.1,31.25,30.85,30.7,-2.15,18.9,13.8
1999,29.0,30.85,-1.95,13.92,13.6,31.05,15.4,12.55,30.7,30.95,29.5,-0.8,18.3,13.2
2000,28.9,30.65,-2.45,14.6,15.0,31.0,15.1,11.35,30.85,30.95,29.8,-0.1,17.85,13.7
2001,28.7,30.8,-2.4,14.3,13.8,31.15,15.9,12.45,30.95,31.2,29.9,-0.95,18.55,13.4
2002,31.2,30.95,-3.8,14.62,12.75,31.4,16.0,12.1,31.05,30.95,29.7,-1.0,17.2,12.9
2003,29.35,31.0,-1.55,15.22,12.65,31.65,15.3,12.5,30.85,30.85,29.8,-0.15,17.5,14.6
2004,30.8,30.95,-2.4,14.94,14.65,31.25,15.9,12.05,31.0,30.9,29.85,-1.45,18.15,14.1
2005,31.0,31.15,-0.75,15.14,15.35,30.9,16.75,12.85,30.95,30.9,29.9,0.75,17.15,13.95
2006,29.6,31.2,-0.95,14.66,14.95,31.15,17.0,12.85,30.85,31.25,29.9,-2.4,17.9,13.9
2007,30.5,31.0,-1.4,15.09,15.2,31.6,17.25,14.1,30.75,31.1,29.6,1.85,17.45,13.95
2008,30.0,30.5,-1.8,15.68,13.05,31.55,14.95,11.5,30.6,31.0,29.85,0.35,19.1,12.95
2009,29.7,30.75,-3.15,13.43,14.95,32.2,16.5,13.1,30.95,31.4,29.8,0.55,18.4,12.35
2010,28.85,31.25,0.55,15.07,13.7,33.2,16.2,12.6,30.95,31.2,30.1,-0.1,17.6,14.8
2011,28.9,30.7,-2.55,14.76,16.15,30.8,18.45,14.25,30.75,31.15,29.85,1.9,16.1,13.95
2012,29.7,30.65,-2.4,14.6,13.4,32.7,15.7,11.55,30.95,30.8,29.8,0.7,20.1,14.25
2013,31.05,31.0,-2.4,15.33,14.15,30.65,15.05,11.95,30.95,30.95,29.85,0.25,18.05,12.85
2014,30.95,31.0,-2.8,15.02,16.15,32.05,17.7,13.5,31.05,30.95,29.95,0.55,18.35,14.5
2015,30.1,31.25,-2.0,14.75,13.6,31.7,16.2,12.75,31.05,31.15,30.2,0.0,17.35,15.0
2016,30.25,31.3,-2.7,14.83,12.7,33.05,15.15,11.8,31.15,31.25,30.15,0.45,20.1,15.55
2017,30.05,31.15,-2.2,14.98,14.05,31.15,16.85,12.95,30.95,31.35,29.9,0.3,18.0,15.05
2018,31.45,31.0,-3.85,15.56,17.15,32.1,17.7,12.5,31.1,31.1,30.3,1.95,20.25,13.45
2019,31.1,31.25,-2.6,14.58,15.5,31.75,16.6,12.55,31.1,30.9,29.9,1.3,18.7,13.9
2020,30.35,31.4,-3.55,,15.45,32.15,16.95,12.95,31.2,31.35,30.35,2.2,19.2,13.85
