month,rainfall_mm,year,country,iso3,season
Jan,88.2,1960,Australia,AUS,summer
Feb,90.8,1960,Australia,AUS,summer
Mar,53.1,1960,Australia,AUS,autumn
Apr,30.2,1960,Australia,AUS,autumn
May,40.9,1960,Australia,AUS,autumn
Jun,13.4,1960,Australia,AUS,winter
Jul,30.6,1960,Australia,AUS,winter
Aug,14.1,1960,Australia,AUS,winter
Sep,22.6,1960,Australia,AUS,spring
Oct,14.8,1960,Australia,AUS,spring
Nov,32.1,1960,Australia,AUS,spring
Dec,57.2,1960,Australia,AUS,summer
Jan,49.5,1961,Australia,AUS,summer
Feb,68.7,1961,Australia,AUS,summer
Mar,31.7,1961,Australia,AUS,autumn
Apr,44.2,1961,Australia,AUS,autumn
May,9.8,1961,Australia,AUS,autumn
Jun,17.9,1961,Australia,AUS,winter
Jul,20.5,1961,Australia,AUS,winter
Aug,16.3,1961,Australia,AUS,winter
Sep,8.8,1961,Australia,AUS,spring
Oct,13.9,1961,Australia,AUS,spring
Nov,44.6,1961,Australia,AUS,spring
Dec,40.2,1961,Australia,AUS,summer
Jan,114.1,1962,Australia,AUS,summer
Feb,71.5,1962,Australia,AUS,summer
Mar,46.1,1962,Australia,AUS,autumn
Apr,17.3,1962,Australia,AUS,autumn
May,31.9,1962,Australia,AUS,autumn
Jun,19.6,1962,Australia,AUS,winter
Jul,22.7,1962,Australia,AUS,winter
Aug,17.9,1962,Australia,AUS,winter
Sep,16.8,1962,Australia,AUS,spring
Oct,24.6,1962,Australia,AUS,spring
Nov,18.7,1962,Australia,AUS,spring
Dec,57.4,1962,Australia,AUS,summer
Jan,99.7,1963,Australia,AUS,summer
Feb,77.4,1963,Australia,AUS,summer
Mar,65.1,1963,Australia,AUS,autumn
Apr,43.0,1963,Australia,AUS,autumn
May,44.3,1963,Australia,AUS,autumn
Jun,27.7,1963,Australia,AUS,winter
Jul,21.3,1963,Australia,AUS,winter
Aug,23.5,1963,Australia,AUS,winter
Sep,12.3,1963,Australia,AUS,spring
Oct,15.1,1963,Australia,AUS,spring
Nov,19.9,1963,Australia,AUS,spring
Dec,37.9,1963,Australia,AUS,summer
Jan,76.3,1964,Australia,AUS,summer
