month,rainfall_mm,year,country,iso3,season
Jan,228.9,1960,Brazil,BRA,summer
Feb,216.2,1960,Brazil,BRA,summer
Mar,272.4,1960,Brazil,BRA,autumn
Apr,163.0,1960,Brazil,BRA,autumn
May,111.9,1960,Brazil,BRA,autumn
Jun,80.5,1960,Brazil,BRA,winter
Jul,62.8,1960,Brazil,BRA,winter
Aug,59.3,1960,Brazil,BRA,winter
Sep,61.3,1960,Brazil,BRA,spring
Oct,119.4,1960,Brazil,BRA,spring
Nov,146.8,1960,Brazil,BRA,spring
Dec,205.5,1960,Brazil,BRA,summer
Jan,246.3,1961,Brazil,BRA,summer
Feb,222.5,1961,Brazil,BRA,summer
Mar,211.8,1961,Brazil,BRA,autumn
Apr,173.5,1961,Brazil,BRA,autumn
May,122.8,1961,Brazil,BRA,autumn
Jun,84.2,1961,Brazil,BRA,winter
Jul,57.6,1961,Brazil,BRA,winter
Aug,45.7,1961,Brazil,BRA,winter
Sep,63.5,1961,Brazil,BRA,spring
Oct,112.2,1961,Brazil,BRA,spring
Nov,127.7,1961,Brazil,BRA,spring
Dec,196.9,1961,Brazil,BRA,summer
Jan,231.4,1962,Brazil,BRA,summer
Feb,209.7,1962,Brazil,BRA,summer
Mar,215.1,1962,Brazil,BRA,autumn
Apr,174.8,1962,Brazil,BRA,autumn
May,136.7,1962,Brazil,BRA,autumn
Jun,78.1,1962,Brazil,BRA,winter
Jul,59.1,1962,Brazil,BRA,winter
Aug,49.3,1962,Brazil,BRA,winter
Sep,75.0,1962,Brazil,BRA,spring
Oct,113.6,1962,Brazil,BRA,spring
Nov,151.4,1962,Brazil,BRA,spring
Dec,212.2,1962,Brazil,BRA,summer
Jan,209.7,1963,Brazil,BRA,summer
Feb,238.9,1963,Brazil,BRA,summer
Mar,212.6,1963,Brazil,BRA,autumn
Apr,168.6,1963,Brazil,BRA,autumn
May,112.0,1963,Brazil,BRA,autumn
Jun,68.6,1963,Brazil,BRA,winter
Jul,49.0,1963,Brazil,BRA,winter
Aug,40.5,1963,Brazil,BRA,winter
Sep,59.5,1963,Brazil,BRA,spring
Oct,96.4,1963,Brazil,BRA,spring
Nov,163.4,1963,Brazil,BRA,spring
Dec,210.7,1963,Brazil,BRA,summer
Jan,279.0,1964,Brazil,BRA,summer
Feb,233.7,1964,Brazil,BRA,summer
Mar,224.6,1964,Brazil,BRA,autumn
Apr,182.5,1964,Brazil,BRA,autumn
May,152.4,1964,Brazil,BRA,autumn
Jun,82.2,1964,Brazil,BRA,winter
Jul,68.7,1964,Brazil,BRA,winter
Aug,61.1,1964,Brazil,BRA,winter
Sep,76.2,1964,Brazil,BRA,spring
Oct,140.5,1964,Brazil,BRA,spring
Nov,159.6,1964,Brazil,BRA,spring
Dec,202.4,1964,Brazil,BRA,summer
Jan,224.6,1965,Brazil,BRA,summer
Feb,191.2,1965,Brazil,BRA,summer
Mar,252.4,1965,Brazil,BRA,autumn
Apr,202.7,1965,Brazil,BRA,autumn
May,126.7,1965,Brazil,BRA,autumn
Jun,81.7,1965,Brazil,BRA,winter
Jul,72.0,1965,Brazil,BRA,winter
Aug,53.0,1965,Brazil,BRA,winter
Sep,76.4,1965,Brazil,BRA,spring
Oct,149.3,1965,Brazil,BRA,spring
Nov,157.9,1965,Brazil,BRA,spring
Dec,179.4,1965,Brazil,BRA,summer
Jan,210.0,1966,Brazil,BRA,summer
Feb,235.3,1966,Brazil,BRA,summer
Mar,211.8,1966,Brazil,BRA,autumn
Apr,178.9,1966,Brazil,BRA,autumn
May,135.1,1966,Brazil,BRA,autumn
Jun,83.4,1966,Brazil,BRA,winter
Jul,76.8,1966,Brazil,BRA,winter
Aug,51.9,1966,Brazil,BRA,winter
Sep,78.1,1966,Brazil,BRA,spring
Oct,117.2,1966,Brazil,BRA,spring
Nov,147.1,1966,Brazil,BRA,spring
Dec,205.3,1966,Brazil,BRA,summer
Jan,219.7,1967,Brazil,BRA,summer
Feb,224.2,1967,Brazil,BRA,summer
Mar,240.9,1967,Brazil,BRA,autumn
Apr,192.2,1967,Brazil,BRA,autumn
May,123.4,1967,Brazil,BRA,autumn
Jun,81.2,1967,Brazil,BRA,winter
Jul,59.9,1967,Brazil,BRA,winter
Aug,42.7,1967,Brazil,BRA,winter
Sep,64.0,1967,Brazil,BRA,spring
Oct,96.4,1967,Brazil,BRA,spring
Nov,160.4,1967,Brazil,BRA,spring
Dec,205.4,1967,Brazil,BRA,summer
Jan,194.5,1968,Brazil,BRA,summer
Feb,222.9,1968,Brazil,BRA,summer
Mar,245.8,1968,Brazil,BRA,autumn
Apr,167.3,1968,Brazil,BRA,autumn
May,127.0,1968,Brazil,BRA,autumn
Jun,75.6,1968,Brazil,BRA,winter
Jul,58.1,1968,Brazil,BRA,winter
Aug,60.3,1968,Brazil,BRA,winter
Sep,76.6,1968,Brazil,BRA,spring
Oct,115.0,1968,Brazil,BRA,spring
Nov,185.1,1968,Brazil,BRA,spring
Dec,204.1,1968,Brazil,BRA,summer
Jan,231.3,1969,Brazil,BRA,summer
Feb,194.1,1969,Brazil,BRA,summer
Mar,223.0,1969,Brazil,BRA,autumn
Apr,172.0,1969,Brazil,BRA,autumn
May,136.7,1969,Brazil,BRA,autumn
Jun,81.5,1969,Brazil,BRA,winter
Jul,63.2,1969,Brazil,BRA,winter
Aug,52.3,1969,Brazil,BRA,winter
Sep,64.7,1969,Brazil,BRA,spring
Oct,122.3,1969,Brazil,BRA,spring
Nov,147.4,1969,Brazil,BRA,spring
Dec,198.4,1969,Brazil,BRA,summer
Jan,231.5,1970,Brazil,BRA,summer
Feb,206.5,1970,Brazil,BRA,summer
Mar,239.5,1970,Brazil,BRA,autumn
Apr,182.5,1970,Brazil,BRA,autumn
May,119.1,1970,Brazil,BRA,autumn
Jun,87.8,1970,Brazil,BRA,winter
Jul,62.2,1970,Brazil,BRA,winter
Aug,59.0,1970,Brazil,BRA,winter
Sep,84.4,1970,Brazil,BRA,spring
Oct,125.6,1970,Brazil,BRA,spring
Nov,178.5,1970,Brazil,BRA,spring
Dec,160.3,1970,Brazil,BRA,summer
Jan,197.2,1971,Brazil,BRA,summer
Feb,208.4,1971,Brazil,BRA,summer
Mar,240.0,1971,Brazil,BRA,autumn
Apr,199.4,1971,Brazil,BRA,autumn
May,137.8,1971,Brazil,BRA,autumn
Jun,103.3,1971,Brazil,BRA,winter
Jul,74.0,1971,Brazil,BRA,winter
Aug,58.4,1971,Brazil,BRA,winter
Sep,71.6,1971,Brazil,BRA,spring
Oct,142.9,1971,Brazil,BRA,spring
Nov,174.1,1971,Brazil,BRA,spring
Dec,166.1,1971,Brazil,BRA,summer
Jan,214.1,1972,Brazil,BRA,summer
Feb,232.3,1972,Brazil,BRA,summer
Mar,215.1,1972,Brazil,BRA,autumn
Apr,172.6,1972,Brazil,BRA,autumn
May,120.7,1972,Brazil,BRA,autumn
Jun,81.5,1972,Brazil,BRA,winter
Jul,74.7,1972,Brazil,BRA,winter
Aug,80.4,1972,Brazil,BRA,winter
Sep,85.0,1972,Brazil,BRA,spring
Oct,127.1,1972,Brazil,BRA,spring
Nov,167.4,1972,Brazil,BRA,spring
Dec,221.5,1972,Brazil,BRA,summer
Jan,211.9,1973,Brazil,BRA,summer
Feb,215.2,1973,Brazil,BRA,summer
Mar,246.6,1973,Brazil,BRA,autumn
Apr,194.3,1973,Brazil,BRA,autumn
May,161.3,1973,Brazil,BRA,autumn
Jun,91.6,1973,Brazil,BRA,winter
Jul,84.9,1973,Brazil,BRA,winter
Aug,73.5,1973,Brazil,BRA,winter
Sep,82.6,1973,Brazil,BRA,spring
Oct,162.2,1973,Brazil,BRA,spring
Nov,166.0,1973,Brazil,BRA,spring
Dec,207.1,1973,Brazil,BRA,summer
Jan,239.7,1974,Brazil,BRA,summer
Feb,226.9,1974,Brazil,BRA,summer
Mar,279.4,1974,Brazil,BRA,autumn
Apr,217.7,1974,Brazil,BRA,autumn
May,137.5,1974,Brazil,BRA,autumn
Jun,102.8,1974,Brazil,BRA,winter
Jul,67.8,1974,Brazil,BRA,winter
Aug,63.8,1974,Brazil,BRA,winter
Sep,78.5,1974,Brazil,BRA,spring
Oct,137.1,1974,Brazil,BRA,spring
Nov,155.8,1974,Brazil,BRA,spring
Dec,223.3,1974,Brazil,BRA,summer
Jan,228.5,1975,Brazil,BRA,summer
Feb,220.0,1975,Brazil,BRA,summer
Mar,238.5,1975,Brazil,BRA,autumn
Apr,208.7,1975,Brazil,BRA,autumn
May,145.9,1975,Brazil,BRA,autumn
Jun,91.9,1975,Brazil,BRA,winter
Jul,89.0,1975,Brazil,BRA,winter
Aug,64.5,1975,Brazil,BRA,winter
Sep,79.9,1975,Brazil,BRA,spring
Oct,123.8,1975,Brazil,BRA,spring
Nov,174.6,1975,Brazil,BRA,spring
Dec,180.7,1975,Brazil,BRA,summer
Jan,207.0,1976,Brazil,BRA,summer
Feb,242.4,1976,Brazil,BRA,summer
Mar,231.0,1976,Brazil,BRA,autumn
Apr,168.5,1976,Brazil,BRA,autumn
May,137.6,1976,Brazil,BRA,autumn
Jun,72.5,1976,Brazil,BRA,winter
Jul,56.8,1976,Brazil,BRA,winter
Aug,53.7,1976,Brazil,BRA,winter
Sep,84.5,1976,Brazil,BRA,spring
Oct,142.9,1976,Brazil,BRA,spring
Nov,174.5,1976,Brazil,BRA,spring
Dec,191.0,1976,Brazil,BRA,summer
Jan,243.4,1977,Brazil,BRA,summer
Feb,207.9,1977,Brazil,BRA,summer
Mar,209.1,1977,Brazil,BRA,autumn
Apr,199.4,1977,Brazil,BRA,autumn
May,136.5,1977,Brazil,BRA,autumn
Jun,100.1,1977,Brazil,BRA,winter
Jul,66.4,1977,Brazil,BRA,winter
Aug,52.3,1977,Brazil,BRA,winter
Sep,86.8,1977,Brazil,BRA,spring
Oct,125.3,1977,Brazil,BRA,spring
Nov,153.0,1977,Brazil,BRA,spring
Dec,219.4,1977,Brazil,BRA,summer
Jan,220.4,1978,Brazil,BRA,summer
Feb,223.6,1978,Brazil,BRA,summer
Mar,240.2,1978,Brazil,BRA,autumn
Apr,181.3,1978,Brazil,BRA,autumn
May,148.7,1978,Brazil,BRA,autumn
Jun,73.1,1978,Brazil,BRA,winter
Jul,83.9,1978,Brazil,BRA,winter
Aug,54.4,1978,Brazil,BRA,winter
Sep,82.1,1978,Brazil,BRA,spring
Oct,125.4,1978,Brazil,BRA,spring
Nov,153.3,1978,Brazil,BRA,spring
Dec,207.4,1978,Brazil,BRA,summer
Jan,253.1,1979,Brazil,BRA,summer
Feb,244.9,1979,Brazil,BRA,summer
Mar,222.1,1979,Brazil,BRA,autumn
Apr,178.4,1979,Brazil,BRA,autumn
May,132.9,1979,Brazil,BRA,autumn
Jun,65.1,1979,Brazil,BRA,winter
Jul,50.6,1979,Brazil,BRA,winter
Aug,70.3,1979,Brazil,BRA,winter
Sep,94.2,1979,Brazil,BRA,spring
Oct,126.0,1979,Brazil,BRA,spring
Nov,157.7,1979,Brazil,BRA,spring
Dec,203.5,1979,Brazil,BRA,summer
Jan,258.2,1980,Brazil,BRA,summer
Feb,270.1,1980,Brazil,BRA,summer
Mar,202.7,1980,Brazil,BRA,autumn
