month,rainfall_mm,year,country,iso3,season
Jan,25.8,1960,Canada,CAN,winter
Feb,28.5,1960,Canada,CAN,winter
Mar,22.7,1960,Canada,CAN,spring
Apr,24.2,1960,Canada,CAN,spring
May,33.2,1960,Canada,CAN,spring
Jun,46.1,1960,Canada,CAN,summer
Jul,54.3,1960,Canada,CAN,summer
Aug,59.2,1960,Canada,CAN,summer
Sep,43.4,1960,Canada,CAN,autumn
Oct,41.1,1960,Canada,CAN,autumn
Nov,35.0,1960,Canada,CAN,autumn
Dec,28.0,1960,Canada,CAN,winter
Jan,23.6,1961,Canada,CAN,winter
Feb,26.6,1961,Canada,CAN,winter
Mar,24.8,1961,Canada,CAN,spring
Apr,23.3,1961,Canada,CAN,spring
May,30.0,1961,Canada,CAN,spring
Jun,43.4,1961,Canada,CAN,summer
Jul,54.0,1961,Canada,CAN,summer
Aug,46.8,1961,Canada,CAN,summer
Sep,48.3,1961,Canada,CAN,autumn
Oct,44.8,1961,Canada,CAN,autumn
Nov,34.0,1961,Canada,CAN,autumn
Dec,32.9,1961,Canada,CAN,winter
Jan,32.7,1962,Canada,CAN,winter
Feb,20.1,1962,Canada,CAN,winter
Mar,22.3,1962,Canada,CAN,spring
Apr,24.5,1962,Canada,CAN,spring
May,31.0,1962,Canada,CAN,spring
Jun,48.1,1962,Canada,CAN,summer
Jul,60.8,1962,Canada,CAN,summer
Aug,57.7,1962,Canada,CAN,summer
Sep,44.8,1962,Canada,CAN,autumn
Oct,36.9,1962,Canada,CAN,autumn
Nov,35.2,1962,Canada,CAN,autumn
Dec,33.7,1962,Canada,CAN,winter
Jan,28.1,1963,Canada,CAN,winter
Feb,27.5,1963,Canada,CAN,winter
Mar,24.0,1963,Canada,CAN,spring
Apr,24.8,1963,Canada,CAN,spring
May,26.9,1963,Canada,CAN,spring
Jun,47.4,1963,Canada,CAN,summer
Jul,64.9,1963,Canada,CAN,summer
Aug,53.4,1963,Canada,CAN,summer
Sep,45.4,1963,Canada,CAN,autumn
Oct,34.5,1963,Canada,CAN,autumn
Nov,43.1,1963,Canada,CAN,autumn
Dec,30.1,1963,Canada,CAN,winter
Jan,30.7,1964,Canada,CAN,winter
Feb,23.1,1964,Canada,CAN,winter
Mar,25.9,1964,Canada,CAN,spring
Apr,24.9,1964,Canada,CAN,spring
May,34.7,1964,Canada,CAN,spring
Jun,47.6,1964,Canada,CAN,summer
Jul,57.0,1964,Canada,CAN,summer
Aug,58.3,1964,Canada,CAN,summer
Sep,48.5,1964,Canada,CAN,autumn
Oct,35.1,1964,Canada,CAN,autumn
Nov,34.5,1964,Canada,CAN,autumn
Dec,31.5,1964,Canada,CAN,winter
Jan,30.3,1965,Canada,CAN,winter
Feb,31.0,1965,Canada,CAN,winter
Mar,16.9,1965,Canada,CAN,spring
Apr,20.6,1965,Canada,CAN,spring
May,34.1,1965,Canada,CAN,spring
Jun,48.1,1965,Canada,CAN,summer
Jul,56.1,1965,Canada,CAN,summer
Aug,56.2,1965,Canada,CAN,summer
Sep,46.5,1965,Canada,CAN,autumn
Oct,41.5,1965,Canada,CAN,autumn
Nov,37.3,1965,Canada,CAN,autumn
