month,rainfall_mm,year,country,iso3,season
Jan,8.9,1960,China,CHN,winter
Feb,8.7,1960,China,CHN,winter
Mar,33.8,1960,China,CHN,spring
Apr,30.2,1960,China,CHN,spring
May,64.7,1960,China,CHN,spring
Jun,86.6,1960,China,CHN,summer
Jul,109.5,1960,China,CHN,summer
Aug,99.4,1960,China,CHN,summer
Sep,69.5,1960,China,CHN,autumn
Oct,25.4,1960,China,CHN,autumn
Nov,20.9,1960,China,CHN,autumn
Dec,5.6,1960,China,CHN,winter
Jan,8.1,1961,China,CHN,winter
Feb,16.4,1961,China,CHN,winter
Mar,31.3,1961,China,CHN,spring
Apr,45.6,1961,China,CHN,spring
May,55.7,1961,China,CHN,spring
Jun,76.6,1961,China,CHN,summer
Jul,106.4,1961,China,CHN,summer
Aug,114.4,1961,China,CHN,summer
Sep,75.4,1961,China,CHN,autumn
Oct,37.0,1961,China,CHN,autumn
Nov,27.6,1961,China,CHN,autumn
Dec,14.0,1961,China,CHN,winter
Jan,7.2,1962,China,CHN,winter
Feb,11.2,1962,China,CHN,winter
Mar,16.2,1962,China,CHN,spring
Apr,36.9,1962,China,CHN,spring
May,61.9,1962,China,CHN,spring
Jun,98.7,1962,China,CHN,summer
Jul,114.9,1962,China,CHN,summer
Aug,104.8,1962,China,CHN,summer
Sep,65.5,1962,China,CHN,autumn
Oct,29.7,1962,China,CHN,autumn
Nov,21.8,1962,China,CHN,autumn
Dec,7.4,1962,China,CHN,winter
Jan,2.0,1963,China,CHN,winter
Feb,8.8,1963,China,CHN,winter
Mar,22.3,1963,China,CHN,spring
Apr,35.6,1963,China,CHN,spring
May,60.1,1963,China,CHN,spring
Jun,74.5,1963,China,CHN,summer
Jul,120.2,1963,China,CHN,summer
Aug,97.5,1963,China,CHN,summer
Sep,60.3,1963,China,CHN,autumn
Oct,30.8,1963,China,CHN,autumn
Nov,26.5,1963,China,CHN,autumn
Dec,9.8,1963,China,CHN,winter
Jan,17.1,1964,China,CHN,winter
Feb,14.6,1964,China,CHN,winter
Mar,22.0,1964,China,CHN,spring
Apr,60.1,1964,China,CHN,spring
May,60.5,1964,China,CHN,spring
Jun,95.5,1964,China,CHN,summer
Jul,103.9,1964,China,CHN,summer
Aug,112.2,1964,China,CHN,summer
Sep,66.4,1964,China,CHN,autumn
Oct,43.8,1964,China,CHN,autumn
Nov,6.5,1964,China,CHN,autumn
Dec,6.8,1964,China,CHN,winter
Jan,6.2,1965,China,CHN,winter
Feb,14.4,1965,China,CHN,winter
Mar,19.9,1965,China,CHN,spring
Apr,49.3,1965,China,CHN,spring
May,47.8,1965,China,CHN,spring
Jun,79.7,1965,China,CHN,summer
Jul,105.0,1965,China,CHN,summer
Aug,96.2,1965,China,CHN,summer
Sep,46.2,1965,China,CHN,autumn
Oct,45.8,1965,China,CHN,autumn
Nov,24.3,1965,China,CHN,autumn
Dec,13.1,1965,China,CHN,winter
Jan,9.3,1966,China,CHN,winter
Feb,13.3,1966,China,CHN,winter
Mar,24.3,1966,China,CHN,spring
Apr,41.8,1966,China,CHN,spring
May,47.2,1966,China,CHN,spring
Jun,94.4,1966,China,CHN,summer
Jul,112.7,1966,China,CHN,summer
Aug,98.1,1966,China,CHN,summer
Sep,38.7,1966,China,CHN,autumn
Oct,38.4,1966,China,CHN,autumn
Nov,11.6,1966,China,CHN,autumn
Dec,12.1,1966,China,CHN,winter
Jan,7.4,1967,China,CHN,winter
Feb,17.5,1967,China,CHN,winter
Mar,28.4,1967,China,CHN,spring
Apr,43.2,1967,China,CHN,spring
May,70.9,1967,China,CHN,spring
Jun,84.5,1967,China,CHN,summer
Jul,97.9,1967,China,CHN,summer
Aug,99.6,1967,China,CHN,summer
Sep,59.6,1967,China,CHN,autumn
Oct,21.2,1967,China,CHN,autumn
Nov,27.8,1967,China,CHN,autumn
Dec,6.1,1967,China,CHN,winter
Jan,9.2,1968,China,CHN,winter
Feb,11.8,1968,China,CHN,winter
Mar,28.0,1968,China,CHN,spring
Apr,37.0,1968,China,CHN,spring
May,55.7,1968,China,CHN,spring
Jun,90.0,1968,China,CHN,summer
Jul,105.0,1968,China,CHN,summer
Aug,99.7,1968,China,CHN,summer
Sep,58.3,1968,China,CHN,autumn
Oct,32.0,1968,China,CHN,autumn
Nov,15.8,1968,China,CHN,autumn
Dec,12.6,1968,China,CHN,winter
Jan,19.6,1969,China,CHN,winter
Feb,11.7,1969,China,CHN,winter
Mar,23.1,1969,China,CHN,spring
Apr,44.9,1969,China,CHN,spring
May,57.2,1969,China,CHN,spring
Jun,81.1,1969,China,CHN,summer
Jul,121.0,1969,China,CHN,summer
Aug,111.1,1969,China,CHN,summer
Sep,60.3,1969,China,CHN,autumn
Oct,32.6,1969,China,CHN,autumn
Nov,13.2,1969,China,CHN,autumn
Dec,3.7,1969,China,CHN,winter
Jan,10.7,1970,China,CHN,winter
Feb,13.0,1970,China,CHN,winter
Mar,28.9,1970,China,CHN,spring
Apr,42.8,1970,China,CHN,spring
May,72.9,1970,China,CHN,spring
Jun,78.3,1970,China,CHN,summer
Jul,126.3,1970,China,CHN,summer
Aug,88.7,1970,China,CHN,summer
Sep,72.8,1970,China,CHN,autumn
Oct,30.8,1970,China,CHN,autumn
Nov,14.4,1970,China,CHN,autumn
Dec,15.1,1970,China,CHN,winter
Jan,9.3,1971,China,CHN,winter
Feb,12.9,1971,China,CHN,winter
Mar,15.8,1971,China,CHN,spring
Apr,33.2,1971,China,CHN,spring
May,66.3,1971,China,CHN,spring
Jun,106.9,1971,China,CHN,summer
Jul,94.4,1971,China,CHN,summer
Aug,98.4,1971,China,CHN,summer
Sep,62.8,1971,China,CHN,autumn
Oct,31.7,1971,China,CHN,autumn
Nov,12.4,1971,China,CHN,autumn
Dec,13.4,1971,China,CHN,winter
Jan,7.8,1972,China,CHN,winter
