month,rainfall_mm,year,country,iso3,season
Jan,59.8,1960,Germany,DEU,winter
Feb,38.0,1960,Germany,DEU,winter
Mar,31.7,1960,Germany,DEU,spring
Apr,37.1,1960,Germany,DEU,spring
May,62.3,1960,Germany,DEU,spring
Jun,62.5,1960,Germany,DEU,summer
Jul,89.0,1960,Germany,DEU,summer
Aug,116.5,1960,Germany,DEU,summer
Sep,50.0,1960,Germany,DEU,autumn
Oct,97.1,1960,Germany,DEU,autumn
Nov,69.9,1960,Germany,DEU,autumn
Dec,71.0,1960,Germany,DEU,winter
Jan,54.2,1961,Germany,DEU,winter
Feb,50.9,1961,Germany,DEU,winter
Mar,39.3,1961,Germany,DEU,spring
Apr,68.2,1961,Germany,DEU,spring
May,89.4,1961,Germany,DEU,spring
Jun,85.4,1961,Germany,DEU,summer
Jul,84.4,1961,Germany,DEU,summer
Aug,74.2,1961,Germany,DEU,summer
Sep,38.2,1961,Germany,DEU,autumn
Oct,47.9,1961,Germany,DEU,autumn
Nov,53.0,1961,Germany,DEU,autumn
Dec,73.9,1961,Germany,DEU,winter
Jan,60.9,1962,Germany,DEU,winter
Feb,55.3,1962,Germany,DEU,winter
Mar,48.0,1962,Germany,DEU,spring
Apr,46.2,1962,Germany,DEU,spring
May,78.2,1962,Germany,DEU,spring
Jun,34.5,1962,Germany,DEU,summer
Jul,76.2,1962,Germany,DEU,summer
Aug,71.9,1962,Germany,DEU,summer
Sep,57.8,1962,Germany,DEU,autumn
Oct,19.2,1962,Germany,DEU,autumn
Nov,28.3,1962,Germany,DEU,autumn
Dec,64.2,1962,Germany,DEU,winter
Jan,22.9,1963,Germany,DEU,winter
Feb,18.9,1963,Germany,DEU,winter
Mar,46.9,1963,Germany,DEU,spring
Apr,42.5,1963,Germany,DEU,spring
May,52.6,1963,Germany,DEU,spring
Jun,80.9,1963,Germany,DEU,summer
Jul,54.5,1963,Germany,DEU,summer
Aug,112.1,1963,Germany,DEU,summer
Sep,51.6,1963,Germany,DEU,autumn
Oct,39.2,1963,Germany,DEU,autumn
Nov,84.1,1963,Germany,DEU,autumn
Dec,11.2,1963,Germany,DEU,winter
Jan,22.0,1964,Germany,DEU,winter
Feb,30.5,1964,Germany,DEU,winter
Mar,43.7,1964,Germany,DEU,spring
Apr,50.5,1964,Germany,DEU,spring
May,63.2,1964,Germany,DEU,spring
Jun,63.1,1964,Germany,DEU,summer
Jul,39.0,1964,Germany,DEU,summer
Aug,73.6,1964,Germany,DEU,summer
Sep,47.2,1964,Germany,DEU,autumn
Oct,62.3,1964,Germany,DEU,autumn
Nov,61.3,1964,Germany,DEU,autumn
Dec,40.6,1964,Germany,DEU,winter
Jan,74.7,1965,Germany,DEU,winter
Feb,32.0,1965,Germany,DEU,winter
Mar,51.5,1965,Germany,DEU,spring
Apr,84.3,1965,Germany,DEU,spring
May,89.5,1965,Germany,DEU,spring
Jun,93.5,1965,Germany,DEU,summer
Jul,120.2,1965,Germany,DEU,summer
Aug,60.5,1965,Germany,DEU,summer
Sep,73.0,1965,Germany,DEU,autumn
Oct,14.4,1965,Germany,DEU,autumn
