month,rainfall_mm,year,country,iso3,season
Jan,4.7,1960,Egypt,EGY,winter
Feb,1.4,1960,Egypt,EGY,winter
Mar,2.7,1960,Egypt,EGY,spring
Apr,0.9,1960,Egypt,EGY,spring
May,5.2,1960,Egypt,EGY,spring
Jun,1.7,1960,Egypt,EGY,summer
Jul,2.8,1960,Egypt,EGY,summer
Aug,2.5,1960,Egypt,EGY,summer
Sep,1.4,1960,Egypt,EGY,autumn
Oct,0.6,1960,Egypt,EGY,autumn
Nov,3.4,1960,Egypt,EGY,autumn
Dec,2.0,1960,Egypt,EGY,winter
Jan,6.3,1961,Egypt,EGY,winter
Feb,5.5,1961,Egypt,EGY,winter
Mar,1.4,1961,Egypt,EGY,spring
Apr,0.8,1961,Egypt,EGY,spring
May,4.2,1961,Egypt,EGY,spring
Jun,1.7,1961,Egypt,EGY,summer
Jul,3.0,1961,Egypt,EGY,summer
Aug,2.9,1961,Egypt,EGY,summer
Sep,1.3,1961,Egypt,EGY,autumn
Oct,4.5,1961,Egypt,EGY,autumn
Nov,1.6,1961,Egypt,EGY,autumn
Dec,11.3,1961,Egypt,EGY,winter
Jan,6.5,1962,Egypt,EGY,winter
Feb,2.7,1962,Egypt,EGY,winter
Mar,0.6,1962,Egypt,EGY,spring
Apr,0.9,1962,Egypt,EGY,spring
May,1.3,1962,Egypt,EGY,spring
Jun,1.7,1962,Egypt,EGY,summer
Jul,2.8,1962,Egypt,EGY,summer
Aug,4.9,1962,Egypt,EGY,summer
Sep,1.5,1962,Egypt,EGY,autumn
Oct,1.8,1962,Egypt,EGY,autumn
Nov,1.2,1962,Egypt,EGY,autumn
Dec,2.3,1962,Egypt,EGY,winter
Jan,1.1,1963,Egypt,EGY,winter
Feb,6.6,1963,Egypt,EGY,winter
Mar,1.8,1963,Egypt,EGY,spring
Apr,4.9,1963,Egypt,EGY,spring
May,5.9,1963,Egypt,EGY,spring
Jun,1.7,1963,Egypt,EGY,summer
Jul,2.9,1963,Egypt,EGY,summer
Aug,2.5,1963,Egypt,EGY,summer
Sep,1.3,1963,Egypt,EGY,autumn
Oct,1.1,1963,Egypt,EGY,autumn
Nov,1.6,1963,Egypt,EGY,autumn
Dec,2.5,1963,Egypt,EGY,winter
Jan,5.5,1964,Egypt,EGY,winter
Feb,3.2,1964,Egypt,EGY,winter
