month,rainfall_mm,year,country,iso3,season
Jan,71.8,1960,France,FRA,winter
Feb,72.5,1960,France,FRA,winter
Mar,84.3,1960,France,FRA,spring
Apr,23.5,1960,France,FRA,spring
May,53.9,1960,France,FRA,spring
Jun,68.6,1960,France,FRA,summer
Jul,84.9,1960,France,FRA,summer
Aug,105.5,1960,France,FRA,summer
Sep,108.8,1960,France,FRA,autumn
Oct,163.8,1960,France,FRA,autumn
Nov,104.3,1960,France,FRA,autumn
Dec,99.8,1960,France,FRA,winter
Jan,95.4,1961,France,FRA,winter
Feb,47.2,1961,France,FRA,winter
Mar,7.4,1961,France,FRA,spring
Apr,83.2,1961,France,FRA,spring
May,59.8,1961,France,FRA,spring
Jun,55.2,1961,France,FRA,summer
Jul,59.3,1961,France,FRA,summer
Aug,30.8,1961,France,FRA,summer
Sep,55.1,1961,France,FRA,autumn
Oct,101.4,1961,France,FRA,autumn
Nov,100.1,1961,France,FRA,autumn
Dec,81.9,1961,France,FRA,winter
Jan,85.1,1962,France,FRA,winter
Feb,55.0,1962,France,FRA,winter
Mar,83.2,1962,France,FRA,spring
Apr,67.1,1962,France,FRA,spring
May,71.8,1962,France,FRA,spring
Jun,26.0,1962,France,FRA,summer
Jul,41.6,1962,France,FRA,summer
Aug,33.3,1962,France,FRA,summer
Sep,66.3,1962,France,FRA,autumn
Oct,51.4,1962,France,FRA,autumn
Nov,100.2,1962,France,FRA,autumn
Dec,78.8,1962,France,FRA,winter
Jan,51.2,1963,France,FRA,winter
Feb,57.7,1963,France,FRA,winter
Mar,77.6,1963,France,FRA,spring
Apr,70.9,1963,France,FRA,spring
May,54.8,1963,France,FRA,spring
Jun,110.6,1963,France,FRA,summer
Jul,49.2,1963,France,FRA,summer
Aug,133.1,1963,France,FRA,summer
Sep,77.1,1963,France,FRA,autumn
Oct,44.2,1963,France,FRA,autumn
Nov,117.7,1963,France,FRA,autumn
Dec,36.2,1963,France,FRA,winter
Jan,22.0,1964,France,FRA,winter
Feb,67.3,1964,France,FRA,winter
Mar,89.3,1964,France,FRA,spring
Apr,67.0,1964,France,FRA,spring
May,67.4,1964,France,FRA,spring
Jun,52.7,1964,France,FRA,summer
Jul,32.4,1964,France,FRA,summer
Aug,56.6,1964,France,FRA,summer
Sep,63.4,1964,France,FRA,autumn
Oct,82.5,1964,France,FRA,autumn
Nov,56.8,1964,France,FRA,autumn
Dec,66.5,1964,France,FRA,winter
Jan,96.6,1965,France,FRA,winter
Feb,16.3,1965,France,FRA,winter
Mar,82.8,1965,France,FRA,spring
Apr,52.6,1965,France,FRA,spring
May,72.1,1965,France,FRA,spring
Jun,55.4,1965,France,FRA,summer
Jul,74.5,1965,France,FRA,summer
Aug,90.3,1965,France,FRA,summer
Sep,150.2,1965,France,FRA,autumn
Oct,46.7,1965,France,FRA,autumn
Nov,114.7,1965,France,FRA,autumn
Dec,134.8,1965,France,FRA,winter
Jan,74.6,1966,France,FRA,winter
Feb,100.8,1966,France,FRA,winter
Mar,34.5,1966,France,FRA,spring
Apr,93.3,1966,France,FRA,spring
