month,rainfall_mm,year,country,iso3,season
Jan,145.5,1960,United Kingdom,GBR,winter
Feb,98.9,1960,United Kingdom,GBR,winter
Mar,57.5,1960,United Kingdom,GBR,spring
Apr,70.0,1960,United Kingdom,GBR,spring
May,49.7,1960,United Kingdom,GBR,spring
Jun,63.1,1960,United Kingdom,GBR,summer
Jul,114.8,1960,United Kingdom,GBR,summer
Aug,126.2,1960,United Kingdom,GBR,summer
Sep,113.1,1960,United Kingdom,GBR,autumn
Oct,162.1,1960,United Kingdom,GBR,autumn
Nov,160.8,1960,United Kingdom,GBR,autumn
Dec,134.4,1960,United Kingdom,GBR,winter
Jan,133.0,1961,United Kingdom,GBR,winter
Feb,101.6,1961,United Kingdom,GBR,winter
Mar,42.4,1961,United Kingdom,GBR,spring
Apr,104.2,1961,United Kingdom,GBR,spring
May,46.4,1961,United Kingdom,GBR,spring
Jun,50.5,1961,United Kingdom,GBR,summer
Jul,85.4,1961,United Kingdom,GBR,summer
Aug,112.1,1961,United Kingdom,GBR,summer
Sep,109.5,1961,United Kingdom,GBR,autumn
Oct,151.6,1961,United Kingdom,GBR,autumn
Nov,84.6,1961,United Kingdom,GBR,autumn
Dec,119.4,1961,United Kingdom,GBR,winter
Jan,158.6,1962,United Kingdom,GBR,winter
Feb,70.2,1962,United Kingdom,GBR,winter
Mar,55.3,1962,United Kingdom,GBR,spring
Apr,72.5,1962,United Kingdom,GBR,spring
May,75.0,1962,United Kingdom,GBR,spring
Jun,38.9,1962,United Kingdom,GBR,summer
Jul,67.9,1962,United Kingdom,GBR,summer
Aug,141.1,1962,United Kingdom,GBR,summer
Sep,132.1,1962,United Kingdom,GBR,autumn
Oct,52.2,1962,United Kingdom,GBR,autumn
Nov,85.8,1962,United Kingdom,GBR,autumn
Dec,111.3,1962,United Kingdom,GBR,winter
Jan,37.9,1963,United Kingdom,GBR,winter
Feb,36.2,1963,United Kingdom,GBR,winter
Mar,124.0,1963,United Kingdom,GBR,spring
Apr,82.7,1963,United Kingdom,GBR,spring
May,72.6,1963,United Kingdom,GBR,spring
Jun,91.6,1963,United Kingdom,GBR,summer
Jul,63.7,1963,United Kingdom,GBR,summer
Aug,124.5,1963,United Kingdom,GBR,summer
Sep,92.3,1963,United Kingdom,GBR,autumn
Oct,94.0,1963,United Kingdom,GBR,autumn
Nov,192.5,1963,United Kingdom,GBR,autumn
Dec,38.4,1963,United Kingdom,GBR,winter
Jan,45.8,1964,United Kingdom,GBR,winter
Feb,40.3,1964,United Kingdom,GBR,winter
Mar,95.6,1964,United Kingdom,GBR,spring
Apr,78.1,1964,United Kingdom,GBR,spring
May,73.3,1964,United Kingdom,GBR,spring
Jun,80.9,1964,United Kingdom,GBR,summer
Jul,61.7,1964,United Kingdom,GBR,summer
Aug,93.5,1964,United Kingdom,GBR,summer
Sep,79.5,1964,United Kingdom,GBR,autumn
Oct,85.7,1964,United Kingdom,GBR,autumn
Nov,84.6,1964,United Kingdom,GBR,autumn
Dec,134.6,1964,United Kingdom,GBR,winter
Jan,128.7,1965,United Kingdom,GBR,winter
Feb,24.1,1965,United Kingdom,GBR,winter
Mar,83.0,1965,United Kingdom,GBR,spring
Apr,79.8,1965,United Kingdom,GBR,spring
May,72.7,1965,United Kingdom,GBR,spring
Jun,86.2,1965,United Kingdom,GBR,summer
Jul,110.1,1965,United Kingdom,GBR,summer
Aug,90.2,1965,United Kingdom,GBR,summer
Sep,156.9,1965,United Kingdom,GBR,autumn
Oct,77.0,1965,United Kingdom,GBR,autumn
Nov,114.5,1965,United Kingdom,GBR,autumn
Dec,172.0,1965,United Kingdom,GBR,winter
Jan,70.9,1966,United Kingdom,GBR,winter
Feb,136.1,1966,United Kingdom,GBR,winter
Mar,74.9,1966,United Kingdom,GBR,spring
Apr,95.0,1966,United Kingdom,GBR,spring
May,84.0,1966,United Kingdom,GBR,spring
Jun,114.3,1966,United Kingdom,GBR,summer
Jul,72.9,1966,United Kingdom,GBR,summer
Aug,109.8,1966,United Kingdom,GBR,summer
Sep,77.7,1966,United Kingdom,GBR,autumn
Oct,137.7,1966,United Kingdom,GBR,autumn
Nov,109.0,1966,United Kingdom,GBR,autumn
Dec,165.8,1966,United Kingdom,GBR,winter
Jan,90.5,1967,United Kingdom,GBR,winter
Feb,115.9,1967,United Kingdom,GBR,winter
Mar,106.7,1967,United Kingdom,GBR,spring
Apr,52.5,1967,United Kingdom,GBR,spring
May,134.2,1967,United Kingdom,GBR,spring
Jun,51.3,1967,United Kingdom,GBR,summer
Jul,80.0,1967,United Kingdom,GBR,summer
Aug,88.5,1967,United Kingdom,GBR,summer
Sep,122.4,1967,United Kingdom,GBR,autumn
Oct,209.9,1967,United Kingdom,GBR,autumn
Nov,97.3,1967,United Kingdom,GBR,autumn
Dec,96.5,1967,United Kingdom,GBR,winter
Jan,109.0,1968,United Kingdom,GBR,winter
Feb,60.3,1968,United Kingdom,GBR,winter
Mar,95.1,1968,United Kingdom,GBR,spring
Apr,72.1,1968,United Kingdom,GBR,spring
May,94.6,1968,United Kingdom,GBR,spring
Jun,80.3,1968,United Kingdom,GBR,summer
Jul,107.1,1968,United Kingdom,GBR,summer
Aug,68.6,1968,United Kingdom,GBR,summer
Sep,147.8,1968,United Kingdom,GBR,autumn
Oct,143.4,1968,United Kingdom,GBR,autumn
Nov,84.6,1968,United Kingdom,GBR,autumn
Dec,88.1,1968,United Kingdom,GBR,winter
Jan,125.4,1969,United Kingdom,GBR,winter
Feb,79.1,1969,United Kingdom,GBR,winter
Mar,67.3,1969,United Kingdom,GBR,spring
Apr,65.2,1969,United Kingdom,GBR,spring
May,121.6,1969,United Kingdom,GBR,spring
Jun,67.6,1969,United Kingdom,GBR,summer
Jul,70.5,1969,United Kingdom,GBR,summer
Aug,79.7,1969,United Kingdom,GBR,summer
Sep,68.4,1969,United Kingdom,GBR,autumn
Oct,56.5,1969,United Kingdom,GBR,autumn
Nov,155.8,1969,United Kingdom,GBR,autumn
Dec,102.5,1969,United Kingdom,GBR,winter
Jan,117.8,1970,United Kingdom,GBR,winter
Feb,113.0,1970,United Kingdom,GBR,winter
Mar,78.0,1970,United Kingdom,GBR,spring
Apr,93.4,1970,United Kingdom,GBR,spring
May,41.2,1970,United Kingdom,GBR,spring
Jun,57.4,1970,United Kingdom,GBR,summer
