month,rainfall_mm,year,country,iso3,season
Jan,288.3,1960,Indonesia,IDN,winter
Feb,284.5,1960,Indonesia,IDN,winter
Mar,245.5,1960,Indonesia,IDN,spring
Apr,262.2,1960,Indonesia,IDN,spring
May,252.3,1960,Indonesia,IDN,spring
Jun,183.9,1960,Indonesia,IDN,summer
Jul,233.5,1960,Indonesia,IDN,summer
Aug,161.8,1960,Indonesia,IDN,summer
Sep,213.6,1960,Indonesia,IDN,autumn
Oct,176.6,1960,Indonesia,IDN,autumn
Nov,271.6,1960,Indonesia,IDN,autumn
Dec,283.7,1960,Indonesia,IDN,winter
Jan,282.3,1961,Indonesia,IDN,winter
Feb,269.2,1961,Indonesia,IDN,winter
Mar,277.1,1961,Indonesia,IDN,spring
Apr,287.2,1961,Indonesia,IDN,spring
May,238.8,1961,Indonesia,IDN,spring
Jun,183.0,1961,Indonesia,IDN,summer
Jul,136.8,1961,Indonesia,IDN,summer
Aug,120.6,1961,Indonesia,IDN,summer
Sep,135.5,1961,Indonesia,IDN,autumn
Oct,134.3,1961,Indonesia,IDN,autumn
Nov,214.0,1961,Indonesia,IDN,autumn
Dec,265.2,1961,Indonesia,IDN,winter
Jan,344.1,1962,Indonesia,IDN,winter
Feb,250.9,1962,Indonesia,IDN,winter
Mar,322.8,1962,Indonesia,IDN,spring
Apr,306.7,1962,Indonesia,IDN,spring
May,243.0,1962,Indonesia,IDN,spring
Jun,228.0,1962,Indonesia,IDN,summer
Jul,150.8,1962,Indonesia,IDN,summer
Aug,197.6,1962,Indonesia,IDN,summer
Sep,182.0,1962,Indonesia,IDN,autumn
Oct,233.7,1962,Indonesia,IDN,autumn
Nov,265.3,1962,Indonesia,IDN,autumn
Dec,307.5,1962,Indonesia,IDN,winter
Jan,341.7,1963,Indonesia,IDN,winter
Feb,281.8,1963,Indonesia,IDN,winter
Mar,273.4,1963,Indonesia,IDN,spring
Apr,203.9,1963,Indonesia,IDN,spring
May,216.2,1963,Indonesia,IDN,spring
Jun,124.9,1963,Indonesia,IDN,summer
Jul,127.5,1963,Indonesia,IDN,summer
Aug,155.3,1963,Indonesia,IDN,summer
Sep,133.5,1963,Indonesia,IDN,autumn
Oct,157.9,1963,Indonesia,IDN,autumn
Nov,201.2,1963,Indonesia,IDN,autumn
Dec,259.1,1963,Indonesia,IDN,winter
