month,rainfall_mm,year,country,iso3,season
Jan,12.0,1960,India,IND,winter
Feb,2.9,1960,India,IND,winter
Mar,22.6,1960,India,IND,spring
Apr,17.1,1960,India,IND,spring
May,46.8,1960,India,IND,spring
Jun,132.5,1960,India,IND,summer
Jul,286.7,1960,India,IND,summer
Aug,219.0,1960,India,IND,summer
Sep,153.5,1960,India,IND,autumn
Oct,59.2,1960,India,IND,autumn
Nov,32.0,1960,India,IND,autumn
Dec,5.8,1960,India,IND,winter
Jan,21.2,1961,India,IND,winter
Feb,22.1,1961,India,IND,winter
Mar,9.0,1961,India,IND,spring
Apr,21.6,1961,India,IND,spring
May,61.2,1961,India,IND,spring
Jun,187.4,1961,India,IND,summer
Jul,279.6,1961,India,IND,summer
Aug,273.2,1961,India,IND,summer
Sep,200.1,1961,India,IND,autumn
Oct,103.2,1961,India,IND,autumn
Nov,15.4,1961,India,IND,autumn
Dec,7.6,1961,India,IND,winter
Jan,14.0,1962,India,IND,winter
Feb,15.7,1962,India,IND,winter
Mar,15.5,1962,India,IND,spring
Apr,34.0,1962,India,IND,spring
May,55.4,1962,India,IND,spring
Jun,115.4,1962,India,IND,summer
Jul,270.7,1962,India,IND,summer
Aug,244.5,1962,India,IND,summer
Sep,220.0,1962,India,IND,autumn
Oct,73.0,1962,India,IND,autumn
Nov,17.6,1962,India,IND,autumn
Dec,28.0,1962,India,IND,winter
Jan,7.3,1963,India,IND,winter
Feb,8.3,1963,India,IND,winter
Mar,22.2,1963,India,IND,spring
Apr,37.6,1963,India,IND,spring
May,44.8,1963,India,IND,spring
Jun,145.0,1963,India,IND,summer
Jul,250.4,1963,India,IND,summer
Aug,283.6,1963,India,IND,summer
Sep,161.6,1963,India,IND,autumn
Oct,95.9,1963,India,IND,autumn
Nov,21.5,1963,India,IND,autumn
Dec,11.4,1963,India,IND,winter
Jan,5.0,1964,India,IND,winter
Feb,7.5,1964,India,IND,winter
Mar,11.4,1964,India,IND,spring
Apr,30.2,1964,India,IND,spring
May,47.8,1964,India,IND,spring
Jun,136.2,1964,India,IND,summer
Jul,323.6,1964,India,IND,summer
Aug,274.3,1964,India,IND,summer
Sep,192.2,1964,India,IND,autumn
Oct,67.3,1964,India,IND,autumn
Nov,25.2,1964,India,IND,autumn
Dec,7.2,1964,India,IND,winter
Jan,7.8,1965,India,IND,winter
Feb,13.2,1965,India,IND,winter
Mar,15.4,1965,India,IND,spring
Apr,28.8,1965,India,IND,spring
May,33.7,1965,India,IND,spring
Jun,107.7,1965,India,IND,summer
Jul,281.1,1965,India,IND,summer
Aug,214.7,1965,India,IND,summer
Sep,130.6,1965,India,IND,autumn
Oct,32.2,1965,India,IND,autumn
Nov,17.3,1965,India,IND,autumn
Dec,19.6,1965,India,IND,winter
Jan,14.0,1966,India,IND,winter
Feb,10.6,1966,India,IND,winter
Mar,10.1,1966,India,IND,spring
Apr,16.6,1966,India,IND,spring
May,48.8,1966,India,IND,spring
Jun,149.2,1966,India,IND,summer
Jul,245.8,1966,India,IND,summer
Aug,209.3,1966,India,IND,summer
Sep,148.8,1966,India,IND,autumn
Oct,52.8,1966,India,IND,autumn
Nov,56.4,1966,India,IND,autumn
Dec,16.8,1966,India,IND,winter
Jan,9.1,1967,India,IND,winter
Feb,5.6,1967,India,IND,winter
Mar,44.0,1967,India,IND,spring
Apr,25.4,1967,India,IND,spring
May,36.1,1967,India,IND,spring
Jun,153.2,1967,India,IND,summer
Jul,292.3,1967,India,IND,summer
Aug,247.5,1967,India,IND,summer
Sep,153.6,1967,India,IND,autumn
Oct,40.4,1967,India,IND,autumn
Nov,12.1,1967,India,IND,autumn
Dec,37.4,1967,India,IND,winter
Jan,15.6,1968,India,IND,winter
Feb,14.2,1968,India,IND,winter
Mar,20.5,1968,India,IND,spring
Apr,33.0,1968,India,IND,spring
May,37.9,1968,India,IND,spring
Jun,155.9,1968,India,IND,summer
Jul,254.1,1968,India,IND,summer
Aug,194.3,1968,India,IND,summer
Sep,138.8,1968,India,IND,autumn
Oct,66.5,1968,India,IND,autumn
Nov,19.1,1968,India,IND,autumn
Dec,8.0,1968,India,IND,winter
Jan,6.3,1969,India,IND,winter
Feb,6.1,1969,India,IND,winter
Mar,16.8,1969,India,IND,spring
Apr,28.5,1969,India,IND,spring
May,48.8,1969,India,IND,spring
Jun,115.6,1969,India,IND,summer
Jul,305.1,1969,India,IND,summer
Aug,233.5,1969,India,IND,summer
Sep,168.3,1969,India,IND,autumn
Oct,53.3,1969,India,IND,autumn
Nov,35.3,1969,India,IND,autumn
Dec,11.9,1969,India,IND,winter
Jan,16.6,1970,India,IND,winter
Feb,16.7,1970,India,IND,winter
Mar,20.6,1970,India,IND,spring
Apr,23.3,1970,India,IND,spring
May,57.2,1970,India,IND,spring
Jun,209.8,1970,India,IND,summer
Jul,233.5,1970,India,IND,summer
Aug,310.8,1970,India,IND,summer
Sep,216.4,1970,India,IND,autumn
Oct,73.8,1970,India,IND,autumn
Nov,16.2,1970,India,IND,autumn
Dec,1.2,1970,India,IND,winter
Jan,10.4,1971,India,IND,winter
Feb,14.0,1971,India,IND,winter
Mar,10.0,1971,India,IND,spring
Apr,36.9,1971,India,IND,spring
May,66.0,1971,India,IND,spring
Jun,204.4,1971,India,IND,summer
Jul,222.1,1971,India,IND,summer
Aug,264.1,1971,India,IND,summer
Sep,155.8,1971,India,IND,autumn
Oct,90.7,1971,India,IND,autumn
Nov,13.8,1971,India,IND,autumn
Dec,8.6,1971,India,IND,winter
Jan,5.4,1972,India,IND,winter
Feb,16.9,1972,India,IND,winter
Mar,9.7,1972,India,IND,spring
Apr,24.2,1972,India,IND,spring
May,41.9,1972,India,IND,spring
Jun,109.5,1972,India,IND,summer
Jul,188.3,1972,India,IND,summer
Aug,206.2,1972,India,IND,summer
Sep,130.9,1972,India,IND,autumn
Oct,62.5,1972,India,IND,autumn
Nov,27.3,1972,India,IND,autumn
Dec,15.5,1972,India,IND,winter
Jan,11.6,1973,India,IND,winter
Feb,12.9,1973,India,IND,winter
Mar,13.9,1973,India,IND,spring
Apr,21.0,1973,India,IND,spring
May,62.6,1973,India,IND,spring
Jun,147.2,1973,India,IND,summer
Jul,279.7,1973,India,IND,summer
Aug,290.4,1973,India,IND,summer
Sep,171.3,1973,India,IND,autumn
Oct,110.3,1973,India,IND,autumn
Nov,17.6,1973,India,IND,autumn
Dec,15.8,1973,India,IND,winter
Jan,5.3,1974,India,IND,winter
Feb,5.9,1974,India,IND,winter
Mar,18.1,1974,India,IND,spring
Apr,25.4,1974,India,IND,spring
May,64.2,1974,India,IND,spring
Jun,121.5,1974,India,IND,summer
Jul,258.5,1974,India,IND,summer
Aug,215.9,1974,India,IND,summer
Sep,142.0,1974,India,IND,autumn
Oct,105.4,1974,India,IND,autumn
Nov,9.3,1974,India,IND,autumn
Dec,5.2,1974,India,IND,winter
Jan,11.9,1975,India,IND,winter
Feb,13.6,1975,India,IND,winter
Mar,17.9,1975,India,IND,spring
Apr,19.0,1975,India,IND,spring
May,51.0,1975,India,IND,spring
Jun,181.5,1975,India,IND,summer
Jul,281.9,1975,India,IND,summer
Aug,257.3,1975,India,IND,summer
Sep,244.4,1975,India,IND,autumn
Oct,105.7,1975,India,IND,autumn
