month,rainfall_mm,year,country,iso3,season
Jan,108.3,1960,Philippines,PHL,winter
Feb,120.3,1960,Philippines,PHL,winter
Mar,76.8,1960,Philippines,PHL,spring
Apr,140.1,1960,Philippines,PHL,spring
May,212.0,1960,Philippines,PHL,spring
Jun,269.7,1960,Philippines,PHL,summer
Jul,290.9,1960,Philippines,PHL,summer
Aug,296.3,1960,Philippines,PHL,summer
Sep,297.5,1960,Philippines,PHL,autumn
Oct,330.5,1960,Philippines,PHL,autumn
Nov,192.0,1960,Philippines,PHL,autumn
Dec,113.9,1960,Philippines,PHL,winter
Jan,109.2,1961,Philippines,PHL,winter
Feb,75.5,1961,Philippines,PHL,winter
Mar,85.6,1961,Philippines,PHL,spring
Apr,100.9,1961,Philippines,PHL,spring
May,231.8,1961,Philippines,PHL,spring
Jun,350.5,1961,Philippines,PHL,summer
Jul,276.5,1961,Philippines,PHL,summer
Aug,357.3,1961,Philippines,PHL,summer
Sep,211.7,1961,Philippines,PHL,autumn
Oct,255.0,1961,Philippines,PHL,autumn
Nov,189.4,1961,Philippines,PHL,autumn
Dec,127.6,1961,Philippines,PHL,winter
Jan,124.7,1962,Philippines,PHL,winter
Feb,127.2,1962,Philippines,PHL,winter
Mar,100.0,1962,Philippines,PHL,spring
Apr,81.6,1962,Philippines,PHL,spring
May,224.6,1962,Philippines,PHL,spring
Jun,299.7,1962,Philippines,PHL,summer
Jul,377.0,1962,Philippines,PHL,summer
Aug,341.2,1962,Philippines,PHL,summer
Sep,391.7,1962,Philippines,PHL,autumn
Oct,152.5,1962,Philippines,PHL,autumn
Nov,219.2,1962,Philippines,PHL,autumn
Dec,105.8,1962,Philippines,PHL,winter
Jan,118.1,1963,Philippines,PHL,winter
Feb,102.4,1963,Philippines,PHL,winter
Mar,83.6,1963,Philippines,PHL,spring
Apr,49.6,1963,Philippines,PHL,spring
May,198.2,1963,Philippines,PHL,spring
Jun,239.8,1963,Philippines,PHL,summer
Jul,237.2,1963,Philippines,PHL,summer
Aug,344.3,1963,Philippines,PHL,summer
Sep,300.8,1963,Philippines,PHL,autumn
Oct,156.3,1963,Philippines,PHL,autumn
Nov,134.8,1963,Philippines,PHL,autumn
Dec,180.3,1963,Philippines,PHL,winter
Jan,78.0,1964,Philippines,PHL,winter
Feb,132.4,1964,Philippines,PHL,winter
Mar,61.7,1964,Philippines,PHL,spring
Apr,135.2,1964,Philippines,PHL,spring
May,222.6,1964,Philippines,PHL,spring
Jun,266.9,1964,Philippines,PHL,summer
Jul,258.1,1964,Philippines,PHL,summer
Aug,284.8,1964,Philippines,PHL,summer
Sep,282.9,1964,Philippines,PHL,autumn
Oct,323.3,1964,Philippines,PHL,autumn
Nov,372.5,1964,Philippines,PHL,autumn
Dec,214.2,1964,Philippines,PHL,winter
Jan,175.4,1965,Philippines,PHL,winter
Feb,96.1,1965,Philippines,PHL,winter
Mar,125.0,1965,Philippines,PHL,spring
Apr,122.8,1965,Philippines,PHL,spring
May,192.9,1965,Philippines,PHL,spring
Jun,285.0,1965,Philippines,PHL,summer
Jul,305.2,1965,Philippines,PHL,summer
Aug,263.9,1965,Philippines,PHL,summer
Sep,248.0,1965,Philippines,PHL,autumn
Oct,193.4,1965,Philippines,PHL,autumn
Nov,179.2,1965,Philippines,PHL,autumn
Dec,146.3,1965,Philippines,PHL,winter
Jan,91.9,1966,Philippines,PHL,winter
Feb,51.3,1966,Philippines,PHL,winter
Mar,50.6,1966,Philippines,PHL,spring
Apr,63.6,1966,Philippines,PHL,spring
May,368.2,1966,Philippines,PHL,spring
Jun,146.0,1966,Philippines,PHL,summer
Jul,334.7,1966,Philippines,PHL,summer
Aug,289.1,1966,Philippines,PHL,summer
Sep,288.3,1966,Philippines,PHL,autumn
Oct,242.9,1966,Philippines,PHL,autumn
Nov,312.4,1966,Philippines,PHL,autumn
Dec,219.8,1966,Philippines,PHL,winter
Jan,196.1,1967,Philippines,PHL,winter
Feb,100.3,1967,Philippines,PHL,winter
Mar,77.0,1967,Philippines,PHL,spring
Apr,83.4,1967,Philippines,PHL,spring
May,111.1,1967,Philippines,PHL,spring
Jun,274.4,1967,Philippines,PHL,summer
Jul,273.1,1967,Philippines,PHL,summer
Aug,351.3,1967,Philippines,PHL,summer
Sep,209.2,1967,Philippines,PHL,autumn
Oct,285.9,1967,Philippines,PHL,autumn
Nov,208.3,1967,Philippines,PHL,autumn
Dec,75.3,1967,Philippines,PHL,winter
Jan,109.7,1968,Philippines,PHL,winter
Feb,59.2,1968,Philippines,PHL,winter
Mar,46.9,1968,Philippines,PHL,spring
Apr,49.6,1968,Philippines,PHL,spring
May,104.3,1968,Philippines,PHL,spring
Jun,182.1,1968,Philippines,PHL,summer
Jul,347.9,1968,Philippines,PHL,summer
Aug,441.0,1968,Philippines,PHL,summer
Sep,277.2,1968,Philippines,PHL,autumn
Oct,161.8,1968,Philippines,PHL,autumn
Nov,129.0,1968,Philippines,PHL,autumn
Dec,108.3,1968,Philippines,PHL,winter
Jan,56.5,1969,Philippines,PHL,winter
Feb,22.1,1969,Philippines,PHL,winter
Mar,35.7,1969,Philippines,PHL,spring
Apr,63.5,1969,Philippines,PHL,spring
May,129.7,1969,Philippines,PHL,spring
Jun,268.6,1969,Philippines,PHL,summer
Jul,317.2,1969,Philippines,PHL,summer
Aug,268.5,1969,Philippines,PHL,summer
Sep,268.7,1969,Philippines,PHL,autumn
Oct,186.7,1969,Philippines,PHL,autumn
Nov,163.2,1969,Philippines,PHL,autumn
Dec,184.9,1969,Philippines,PHL,winter
Jan,102.8,1970,Philippines,PHL,winter
Feb,94.0,1970,Philippines,PHL,winter
Mar,88.2,1970,Philippines,PHL,spring
Apr,58.5,1970,Philippines,PHL,spring
May,135.3,1970,Philippines,PHL,spring
Jun,295.6,1970,Philippines,PHL,summer
