month,rainfall_mm,year,country,iso3,season
Jan,21.7,1960,Russia,RUS,winter
Feb,21.6,1960,Russia,RUS,winter
Mar,17.1,1960,Russia,RUS,spring
Apr,19.9,1960,Russia,RUS,spring
May,26.3,1960,Russia,RUS,spring
Jun,56.2,1960,Russia,RUS,summer
Jul,63.8,1960,Russia,RUS,summer
Aug,70.7,1960,Russia,RUS,summer
Sep,50.3,1960,Russia,RUS,autumn
Oct,37.1,1960,Russia,RUS,autumn
Nov,28.6,1960,Russia,RUS,autumn
Dec,25.7,1960,Russia,RUS,winter
Jan,21.7,1961,Russia,RUS,winter
Feb,17.4,1961,Russia,RUS,winter
Mar,21.7,1961,Russia,RUS,spring
Apr,29.0,1961,Russia,RUS,spring
May,35.4,1961,Russia,RUS,spring
Jun,51.2,1961,Russia,RUS,summer
Jul,71.5,1961,Russia,RUS,summer
Aug,69.8,1961,Russia,RUS,summer
Sep,51.6,1961,Russia,RUS,autumn
Oct,32.0,1961,Russia,RUS,autumn
Nov,31.9,1961,Russia,RUS,autumn
Dec,26.1,1961,Russia,RUS,winter
Jan,25.2,1962,Russia,RUS,winter
Feb,18.0,1962,Russia,RUS,winter
Mar,21.5,1962,Russia,RUS,spring
Apr,25.3,1962,Russia,RUS,spring
May,37.6,1962,Russia,RUS,spring
Jun,55.5,1962,Russia,RUS,summer
Jul,68.4,1962,Russia,RUS,summer
Aug,58.2,1962,Russia,RUS,summer
Sep,50.2,1962,Russia,RUS,autumn
Oct,35.5,1962,Russia,RUS,autumn
Nov,25.9,1962,Russia,RUS,autumn
Dec,29.2,1962,Russia,RUS,winter
Jan,23.8,1963,Russia,RUS,winter
Feb,19.0,1963,Russia,RUS,winter
Mar,18.3,1963,Russia,RUS,spring
Apr,20.3,1963,Russia,RUS,spring
May,29.1,1963,Russia,RUS,spring
Jun,54.0,1963,Russia,RUS,summer
Jul,65.4,1963,Russia,RUS,summer
Aug,61.8,1963,Russia,RUS,summer
Sep,43.7,1963,Russia,RUS,autumn
Oct,40.0,1963,Russia,RUS,autumn
Nov,37.3,1963,Russia,RUS,autumn
Dec,26.4,1963,Russia,RUS,winter
Jan,21.8,1964,Russia,RUS,winter
Feb,13.4,1964,Russia,RUS,winter
Mar,17.3,1964,Russia,RUS,spring
Apr,19.9,1964,Russia,RUS,spring
May,38.6,1964,Russia,RUS,spring
Jun,52.7,1964,Russia,RUS,summer
Jul,59.6,1964,Russia,RUS,summer
Aug,61.0,1964,Russia,RUS,summer
Sep,46.9,1964,Russia,RUS,autumn
Oct,33.3,1964,Russia,RUS,autumn
Nov,30.0,1964,Russia,RUS,autumn
Dec,28.1,1964,Russia,RUS,winter
Jan,21.6,1965,Russia,RUS,winter
Feb,15.3,1965,Russia,RUS,winter
Mar,17.1,1965,Russia,RUS,spring
Apr,18.7,1965,Russia,RUS,spring
May,37.3,1965,Russia,RUS,spring
Jun,48.5,1965,Russia,RUS,summer
Jul,64.5,1965,Russia,RUS,summer
