month,rainfall_mm,year,country,iso3,season
Jan,86.8,1960,Turkey,TUR,winter
Feb,55.2,1960,Turkey,TUR,winter
Mar,69.8,1960,Turkey,TUR,spring
Apr,80.8,1960,Turkey,TUR,spring
May,46.8,1960,Turkey,TUR,spring
Jun,46.5,1960,Turkey,TUR,summer
Jul,13.8,1960,Turkey,TUR,summer
Aug,11.3,1960,Turkey,TUR,summer
Sep,12.0,1960,Turkey,TUR,autumn
Oct,17.9,1960,Turkey,TUR,autumn
Nov,55.2,1960,Turkey,TUR,autumn
Dec,71.4,1960,Turkey,TUR,winter
Jan,70.8,1961,Turkey,TUR,winter
Feb,72.2,1961,Turkey,TUR,winter
Mar,49.3,1961,Turkey,TUR,spring
Apr,39.7,1961,Turkey,TUR,spring
May,46.7,1961,Turkey,TUR,spring
Jun,46.1,1961,Turkey,TUR,summer
Jul,10.5,1961,Turkey,TUR,summer
Aug,5.5,1961,Turkey,TUR,summer
Sep,20.0,1961,Turkey,TUR,autumn
Oct,27.3,1961,Turkey,TUR,autumn
Nov,47.7,1961,Turkey,TUR,autumn
Dec,93.4,1961,Turkey,TUR,winter
Jan,45.5,1962,Turkey,TUR,winter
Feb,90.0,1962,Turkey,TUR,winter
Mar,51.3,1962,Turkey,TUR,spring
Apr,57.4,1962,Turkey,TUR,spring
May,39.5,1962,Turkey,TUR,spring
Jun,14.8,1962,Turkey,TUR,summer
Jul,13.4,1962,Turkey,TUR,summer
Aug,6.4,1962,Turkey,TUR,summer
Sep,20.9,1962,Turkey,TUR,autumn
Oct,46.3,1962,Turkey,TUR,autumn
Nov,34.4,1962,Turkey,TUR,autumn
Dec,141.0,1962,Turkey,TUR,winter
Jan,114.4,1963,Turkey,TUR,winter
Feb,83.4,1963,Turkey,TUR,winter
Mar,66.6,1963,Turkey,TUR,spring
Apr,93.0,1963,Turkey,TUR,spring
May,103.1,1963,Turkey,TUR,spring
Jun,39.8,1963,Turkey,TUR,summer
Jul,25.5,1963,Turkey,TUR,summer
Aug,9.3,1963,Turkey,TUR,summer
Sep,24.8,1963,Turkey,TUR,autumn
Oct,54.0,1963,Turkey,TUR,autumn
Nov,32.0,1963,Turkey,TUR,autumn
Dec,64.6,1963,Turkey,TUR,winter
Jan,23.4,1964,Turkey,TUR,winter
Feb,78.5,1964,Turkey,TUR,winter
Mar,88.0,1964,Turkey,TUR,spring
Apr,28.8,1964,Turkey,TUR,spring
May,52.3,1964,Turkey,TUR,spring
Jun,49.5,1964,Turkey,TUR,summer
Jul,8.4,1964,Turkey,TUR,summer
Aug,9.3,1964,Turkey,TUR,summer
Sep,27.3,1964,Turkey,TUR,autumn
Oct,7.5,1964,Turkey,TUR,autumn
Nov,66.9,1964,Turkey,TUR,autumn
Dec,77.7,1964,Turkey,TUR,winter
Jan,51.0,1965,Turkey,TUR,winter
Feb,106.0,1965,Turkey,TUR,winter
Mar,62.2,1965,Turkey,TUR,spring
Apr,82.4,1965,Turkey,TUR,spring
May,51.6,1965,Turkey,TUR,spring
Jun,25.6,1965,Turkey,TUR,summer
Jul,14.9,1965,Turkey,TUR,summer
Aug,9.1,1965,Turkey,TUR,summer
Sep,6.9,1965,Turkey,TUR,autumn
Oct,55.8,1965,Turkey,TUR,autumn
Nov,63.2,1965,Turkey,TUR,autumn
Dec,93.6,1965,Turkey,TUR,winter
Jan,133.3,1966,Turkey,TUR,winter
Feb,26.8,1966,Turkey,TUR,winter
Mar,69.9,1966,Turkey,TUR,spring
Apr,61.5,1966,Turkey,TUR,spring
May,48.5,1966,Turkey,TUR,spring
Jun,19.5,1966,Turkey,TUR,summer
Jul,14.1,1966,Turkey,TUR,summer
Aug,15.9,1966,Turkey,TUR,summer
Sep,26.9,1966,Turkey,TUR,autumn
Oct,16.5,1966,Turkey,TUR,autumn
Nov,45.0,1966,Turkey,TUR,autumn
Dec,117.8,1966,Turkey,TUR,winter
Jan,81.2,1967,Turkey,TUR,winter
Feb,56.1,1967,Turkey,TUR,winter
Mar,71.1,1967,Turkey,TUR,spring
Apr,77.6,1967,Turkey,TUR,spring
May,73.2,1967,Turkey,TUR,spring
Jun,30.6,1967,Turkey,TUR,summer
Jul,15.7,1967,Turkey,TUR,summer
Aug,10.2,1967,Turkey,TUR,summer
Sep,22.7,1967,Turkey,TUR,autumn
Oct,50.3,1967,Turkey,TUR,autumn
Nov,76.5,1967,Turkey,TUR,autumn
Dec,90.0,1967,Turkey,TUR,winter
Jan,133.0,1968,Turkey,TUR,winter
Feb,48.8,1968,Turkey,TUR,winter
Mar,75.3,1968,Turkey,TUR,spring
Apr,40.2,1968,Turkey,TUR,spring
May,57.8,1968,Turkey,TUR,spring
Jun,37.4,1968,Turkey,TUR,summer
Jul,5.6,1968,Turkey,TUR,summer
Aug,24.8,1968,Turkey,TUR,summer
Sep,40.9,1968,Turkey,TUR,autumn
Oct,44.6,1968,Turkey,TUR,autumn
Nov,77.7,1968,Turkey,TUR,autumn
Dec,112.2,1968,Turkey,TUR,winter
Jan,107.5,1969,Turkey,TUR,winter
Feb,75.1,1969,Turkey,TUR,winter
Mar,81.3,1969,Turkey,TUR,spring
Apr,78.1,1969,Turkey,TUR,spring
May,52.8,1969,Turkey,TUR,spring
Jun,33.8,1969,Turkey,TUR,summer
Jul,9.9,1969,Turkey,TUR,summer
Aug,5.0,1969,Turkey,TUR,summer
Sep,12.9,1969,Turkey,TUR,autumn
Oct,37.1,1969,Turkey,TUR,autumn
Nov,37.5,1969,Turkey,TUR,autumn
Dec,109.7,1969,Turkey,TUR,winter
Jan,58.6,1970,Turkey,TUR,winter
Feb,84.6,1970,Turkey,TUR,winter
Mar,58.1,1970,Turkey,TUR,spring
Apr,28.7,1970,Turkey,TUR,spring
May,40.1,1970,Turkey,TUR,spring
Jun,20.3,1970,Turkey,TUR,summer
Jul,14.1,1970,Turkey,TUR,summer
Aug,12.6,1970,Turkey,TUR,summer
Sep,15.9,1970,Turkey,TUR,autumn
Oct,50.9,1970,Turkey,TUR,autumn
Nov,51.6,1970,Turkey,TUR,autumn
Dec,68.0,1970,Turkey,TUR,winter
Jan,31.4,1971,Turkey,TUR,winter
Feb,63.6,1971,Turkey,TUR,winter
Mar,78.9,1971,Turkey,TUR,spring
Apr,79.0,1971,Turkey,TUR,spring
May,54.6,1971,Turkey,TUR,spring
Jun,33.5,1971,Turkey,TUR,summer
Jul,12.1,1971,Turkey,TUR,summer
Aug,22.7,1971,Turkey,TUR,summer
Sep,13.4,1971,Turkey,TUR,autumn
Oct,40.2,1971,Turkey,TUR,autumn
Nov,59.0,1971,Turkey,TUR,autumn
Dec,83.3,1971,Turkey,TUR,winter
Jan,36.1,1972,Turkey,TUR,winter
Feb,44.3,1972,Turkey,TUR,winter
Mar,36.4,1972,Turkey,TUR,spring
Apr,74.1,1972,Turkey,TUR,spring
May,79.4,1972,Turkey,TUR,spring
Jun,66.5,1972,Turkey,TUR,summer
Jul,24.9,1972,Turkey,TUR,summer
Aug,22.5,1972,Turkey,TUR,summer
Sep,27.7,1972,Turkey,TUR,autumn
Oct,62.9,1972,Turkey,TUR,autumn
Nov,40.9,1972,Turkey,TUR,autumn
Dec,12.2,1972,Turkey,TUR,winter
Jan,43.0,1973,Turkey,TUR,winter
Feb,57.6,1973,Turkey,TUR,winter
Mar,49.9,1973,Turkey,TUR,spring
Apr,65.2,1973,Turkey,TUR,spring
May,34.8,1973,Turkey,TUR,spring
Jun,35.8,1973,Turkey,TUR,summer
Jul,12.5,1973,Turkey,TUR,summer
Aug,5.7,1973,Turkey,TUR,summer
Sep,6.9,1973,Turkey,TUR,autumn
Oct,35.0,1973,Turkey,TUR,autumn
Nov,55.0,1973,Turkey,TUR,autumn
Dec,56.3,1973,Turkey,TUR,winter
Jan,49.6,1974,Turkey,TUR,winter
Feb,44.7,1974,Turkey,TUR,winter
Mar,71.3,1974,Turkey,TUR,spring
Apr,65.4,1974,Turkey,TUR,spring
May,50.5,1974,Turkey,TUR,spring
Jun,18.3,1974,Turkey,TUR,summer
Jul,8.4,1974,Turkey,TUR,summer
Aug,24.3,1974,Turkey,TUR,summer
