quartil,autumn,spring,summer,winter,country,iso3
min,2.1,18.9,4.3,12.2,Turkey,TUR
25%,21.15,46.7,11.25,51.0,Turkey,TUR
50%,37.8,59.7,17.1,67.4,Turkey,TUR
75%,56.25,72.8,28.0,85.85,Turkey,TUR
max,106.8,103.1,66.5,141.0,Turkey,TUR
min,20.9,12.2,42.5,11.5,Russia,RUS
25%,32.15,19.9,53.85,18.45,Russia,RUS
50%,38.6,24.7,61.1,21.8,Russia,RUS
75%,44.55,32.8,64.35,25.2,Russia,RUS
max,55.0,44.1,72.2,30.8,Russia,RUS
min,85.7,14.5,143.2,13.6,Philippines,PHL
25%,206.4,68.7,253.6,82.2,Philippines,PHL
50%,263.6,107.6,289.1,125.9,Philippines,PHL
75%,304.85,162.4,323.3,175.0,Philippines,PHL
max,449.4,368.2,457.9,332.1,Philippines,PHL
min,9.3,4.8,91.3,1.2,India,IND
25%,32.1,19.15,159.75,7.5,India,IND
50%,67.3,31.0,233.0,11.6,India,IND
75%,141.6,45.4,266.75,15.4,India,IND
max,262.2,81.9,325.4,37.4,India,IND
min,28.0,16.4,17.6,20.7,United Kingdom,GBR
25%,87.35,57.6,60.15,78.9,United Kingdom,GBR
50%,113.0,77.6,82.9,109.8,United Kingdom,GBR
75%,145.6,95.65,108.7,143.15,United Kingdom,GBR
max,232.3,165.2,162.3,213.0,United Kingdom,GBR
min,16.1,7.4,11.6,11.2,France,FRA
25%,54.95,51.15,46.05,53.3,France,FRA
50%,75.7,68.0,61.5,69.9,France,FRA
75%,102.05,84.35,75.35,86.15,France,FRA
max,163.8,143.1,133.1,154.2,France,FRA
min,0.4,0.6,1.7,0.5,Egypt,EGY
25%,1.3,1.2,2.1,2.1,Egypt,EGY
50%,1.5,2.0,2.6,3.7,Egypt,EGY
75%,2.25,3.5,2.8,5.7,Egypt,EGY
max,11.4,16.7,4.9,15.1,Egypt,EGY
min,2.8,6.6,30.3,5.4,Germany,DEU
25%,42.15,37.85,60.85,36.0,Germany,DEU
50%,54.1,51.5,74.9,48.5,Germany,DEU
75%,69.8,67.7,89.25,67.3,Germany,DEU
max,126.7,117.1,135.2,116.2,Germany,DEU
min,6.5,15.8,73.6,2.0,China,CHN
25%,21.2,28.85,91.55,8.55,China,CHN
50%,32.0,42.2,99.7,12.1,China,CHN
75%,53.6,57.25,107.85,15.2,China,CHN
max,76.2,78.8,133.2,29.1,China,CHN
min,27.0,16.9,39.3,15.4,Canada,CAN
25%,36.75,24.2,50.3,23.15,Canada,CAN
50%,41.5,26.4,55.6,27.6,Canada,CAN
75%,46.5,30.65,59.2,30.4,Canada,CAN
max,57.3,40.4,69.6,38.5,Canada,CAN
min,26.6,29.7,41.2,25.3,United States,USA
25%,47.5,47.45,61.9,40.1,United States,USA
50%,54.6,54.2,65.7,46.4,United States,USA
75%,61.85,59.8,70.5,53.8,United States,USA
max,83.9,88.8,84.8,75.0,United States,USA
min,102.4,55.3,156.1,38.7,Brazil,BRA
25%,138.55,80.45,202.05,56.2,Brazil,BRA
50%,182.2,118.5,214.8,65.6,Brazil,BRA
75%,222.55,150.85,228.55,77.15,Brazil,BRA
max,279.4,185.1,315.1,103.3,Brazil,BRA
min,8.0,6.9,20.7,7.6,Australia,AUS
25%,21.75,15.05,50.75,16.05,Australia,AUS
50%,32.5,24.0,68.7,20.9,Australia,AUS
75%,52.1,33.45,93.4,25.65,Australia,AUS
max,111.3,73.4,208.7,50.1,Australia,AUS
min,102.9,192.4,92.0,171.7,Indonesia,IDN
25%,177.35,246.85,154.85,253.25,Indonesia,IDN
50%,227.5,271.5,179.6,278.5,Indonesia,IDN
75%,265.4,296.5,201.35,295.85,Indonesia,IDN
max,334.1,358.3,261.5,344.1,Indonesia,IDN
