year,min,25%,50%,75%,max,country,iso3,tipo
1960,13.4,20.65,31.35,54.12,90.8,Australia,AUS,pr
1961,8.8,15.7,26.1,44.3,68.7,Australia,AUS,pr
1962,16.8,18.5,23.65,48.92,114.1,Australia,AUS,pr
1963,12.3,20.95,32.8,49.5,99.7,Australia,AUS,pr
1964,16.5,27.07,34.6,42.5,76.3,Australia,AUS,pr
1965,12.6,18.1,23.75,29.13,71.5,Australia,AUS,pr
1966,16.2,22.62,29.95,37.53,85.5,Australia,AUS,pr
1967,7.6,14.92,19.95,44.98,117.6,Australia,AUS,pr
1968,13.5,21.55,39.2,59.68,102.2,Australia,AUS,pr
1969,13.6,18.6,26.35,52.45,91.2,Australia,AUS,pr
1970,8.5,17.45,35.0,43.35,66.5,Australia,AUS,pr
1971,16.0,19.95,32.6,61.12,92.1,Australia,AUS,pr
1972,9.3,16.3,19.8,39.2,78.2,Australia,AUS,pr
1973,25.2,33.5,37.55,78.62,97.2,Australia,AUS,pr
1974,15.1,30.72,41.85,72.75,208.7,Australia,AUS,pr
1975,15.1,24.05,36.25,66.72,112.5,Australia,AUS,pr
1976,11.3,13.8,26.5,56.12,133.0,Australia,AUS,pr
1977,7.9,13.82,30.3,57.88,105.2,Australia,AUS,pr
1978,22.8,32.2,38.45,49.28,104.7,Australia,AUS,pr
1979,10.4,20.95,28.45,44.88,90.2,Australia,AUS,pr
1980,6.9,23.42,30.75,40.55,93.2,Australia,AUS,pr
1981,10.5,19.05,32.9,48.32,134.9,Australia,AUS,pr
1982,7.6,13.75,18.0,50.25,92.0,Australia,AUS,pr
1983,18.0,23.67,38.95,50.2,111.3,Australia,AUS,pr
1984,12.1,24.17,28.15,58.42,144.4,Australia,AUS,pr
1985,11.5,22.88,31.05,45.48,64.0,Australia,AUS,pr
1986,18.6,23.08,29.05,40.72,79.5,Australia,AUS,pr
1987,9.7,19.12,27.7,44.38,95.5,Australia,AUS,pr
1988,10.0,22.45,38.35,46.0,94.8,Australia,AUS,pr
1989,7.2,23.25,41.6,45.37,96.1,Australia,AUS,pr
1990,12.7,20.25,33.7,48.95,69.8,Australia,AUS,pr
1991,8.4,14.85,22.15,37.38,127.4,Australia,AUS,pr
1992,11.7,30.05,34.8,40.03,85.4,Australia,AUS,pr
1993,10.2,26.57,30.75,41.47,101.8,Australia,AUS,pr
1994,7.7,10.25,16.3,44.45,100.8,Australia,AUS,pr
1995,10.7,26.07,30.55,55.3,104.0,Australia,AUS,pr
1996,22.2,24.3,32.6,48.6,75.6,Australia,AUS,pr
1997,12.8,17.82,28.5,50.47,113.8,Australia,AUS,pr
1998,24.8,32.3,39.9,54.0,77.5,Australia,AUS,pr
1999,14.3,20.08,36.6,81.43,96.1,Australia,AUS,pr
2000,11.8,18.42,52.35,73.25,141.8,Australia,AUS,pr
2001,14.8,17.73,29.8,53.15,107.5,Australia,AUS,pr
2002,8.1,12.47,15.85,28.95,101.5,Australia,AUS,pr
2003,13.5,20.48,28.2,47.1,113.7,Australia,AUS,pr
2004,15.0,17.75,27.55,56.35,103.9,Australia,AUS,pr
2005,11.6,21.05,35.75,40.0,66.1,Australia,AUS,pr
2006,8.1,13.55,22.5,53.13,116.7,Australia,AUS,pr
2007,9.6,17.68,25.9,56.95,104.2,Australia,AUS,pr
2008,10.3,15.4,23.55,58.7,109.6,Australia,AUS,pr
2009,12.1,16.5,25.5,37.5,129.6,Australia,AUS,pr
2010,14.8,29.33,41.5,69.08,102.2,Australia,AUS,pr
2011,14.8,20.48,28.85,71.12,100.6,Australia,AUS,pr
2012,11.6,17.83,26.05,52.32,95.4,Australia,AUS,pr
2013,12.4,20.9,29.9,48.95,71.7,Australia,AUS,pr
2014,13.6,18.85,26.45,52.75,85.8,Australia,AUS,pr
2015,11.3,20.0,28.45,49.25,103.9,Australia,AUS,pr
2016,21.2,27.78,31.5,57.12,81.3,Australia,AUS,pr
2017,12.5,16.05,29.6,54.55,98.2,Australia,AUS,pr
2018,12.3,17.65,22.9,54.48,86.7,Australia,AUS,pr
2019,10.9,16.2,21.85,40.55,68.7,Australia,AUS,pr
2020,18.1,22.55,27.8,57.75,86.2,Australia,AUS,pr
