year,min,25%,50%,75%,max,country,iso3,tipo
1960,13.8,15.37,21.95,25.48,28.2,Australia,AUS,tas
1961,13.2,16.77,23.0,25.95,27.9,Australia,AUS,tas
1962,14.4,16.85,21.8,26.12,27.6,Australia,AUS,tas
1963,13.5,17.48,21.85,26.12,27.2,Australia,AUS,tas
1964,14.8,17.08,21.45,25.63,27.5,Australia,AUS,tas
1965,13.0,17.73,22.3,25.83,28.4,Australia,AUS,tas
1966,13.5,16.42,21.5,25.52,27.5,Australia,AUS,tas
1967,13.3,17.23,23.1,25.67,27.8,Australia,AUS,tas
1968,13.0,15.92,22.3,25.65,28.2,Australia,AUS,tas
1969,14.4,16.97,22.4,25.43,28.9,Australia,AUS,tas
1970,13.7,16.75,22.3,25.62,27.8,Australia,AUS,tas
1971,13.4,16.8,22.0,25.83,28.2,Australia,AUS,tas
1972,13.8,17.58,22.15,25.9,28.7,Australia,AUS,tas
1973,15.4,18.2,22.65,25.95,28.7,Australia,AUS,tas
1974,14.1,16.97,21.3,25.6,26.8,Australia,AUS,tas
1975,14.5,17.5,21.1,25.4,27.0,Australia,AUS,tas
1976,14.0,16.7,21.15,25.28,27.5,Australia,AUS,tas
1977,13.6,17.2,22.3,26.08,27.8,Australia,AUS,tas
1978,13.6,16.9,21.8,26.05,27.7,Australia,AUS,tas
1979,14.1,16.55,22.2,26.55,28.9,Australia,AUS,tas
1980,14.1,18.4,22.65,26.65,28.0,Australia,AUS,tas
1981,14.5,17.62,22.95,25.25,28.3,Australia,AUS,tas
1982,13.0,17.65,21.9,26.67,28.5,Australia,AUS,tas
1983,13.2,17.88,21.85,26.2,29.2,Australia,AUS,tas
1984,13.3,17.08,22.05,25.65,26.9,Australia,AUS,tas
1985,14.2,17.7,21.9,26.48,28.4,Australia,AUS,tas
1986,13.8,17.75,21.9,26.85,27.8,Australia,AUS,tas
1987,14.2,17.3,22.5,25.82,27.8,Australia,AUS,tas
1988,15.0,18.35,23.45,26.18,28.9,Australia,AUS,tas
1989,13.5,17.65,22.45,25.78,27.6,Australia,AUS,tas
1990,14.4,17.8,22.4,26.7,28.4,Australia,AUS,tas
1991,14.5,17.95,23.15,25.98,28.2,Australia,AUS,tas
1992,14.7,17.7,22.3,26.33,27.5,Australia,AUS,tas
1993,14.8,18.05,22.45,25.8,28.3,Australia,AUS,tas
1994,14.5,17.58,22.45,25.8,28.5,Australia,AUS,tas
1995,14.4,17.35,21.75,25.72,28.0,Australia,AUS,tas
1996,14.8,17.92,22.25,25.75,27.8,Australia,AUS,tas
1997,13.4,17.17,22.45,26.1,27.9,Australia,AUS,tas
1998,14.2,18.62,22.6,26.62,28.5,Australia,AUS,tas
1999,14.7,18.23,21.95,25.72,28.9,Australia,AUS,tas
2000,14.1,16.38,21.8,25.62,27.0,Australia,AUS,tas
2001,14.3,16.9,21.55,24.88,28.8,Australia,AUS,tas
2002,14.4,18.3,23.35,26.28,27.7,Australia,AUS,tas
2003,14.8,18.12,22.25,26.2,28.4,Australia,AUS,tas
2004,14.2,17.17,23.35,25.95,28.1,Australia,AUS,tas
2005,14.9,18.25,23.75,26.62,28.1,Australia,AUS,tas
2006,13.6,16.75,22.3,26.58,28.7,Australia,AUS,tas
2007,13.2,18.6,23.0,25.88,28.4,Australia,AUS,tas
2008,14.0,17.3,22.45,25.78,28.7,Australia,AUS,tas
2009,14.5,17.58,22.35,26.78,28.1,Australia,AUS,tas
2010,14.4,17.18,22.2,25.5,28.2,Australia,AUS,tas
2011,14.3,16.67,22.05,25.67,28.3,Australia,AUS,tas
2012,13.6,16.98,22.55,26.48,28.0,Australia,AUS,tas
2013,15.3,18.42,23.35,26.38,29.4,Australia,AUS,tas
2014,14.4,18.6,23.6,26.92,28.8,Australia,AUS,tas
2015,14.4,17.35,22.9,27.12,28.8,Australia,AUS,tas
2016,14.8,18.12,22.85,27.05,28.3,Australia,AUS,tas
2017,15.2,18.05,22.85,27.02,28.5,Australia,AUS,tas
2018,15.1,17.5,23.95,26.62,29.0,Australia,AUS,tas
2019,15.0,17.7,23.55,27.2,29.9,Australia,AUS,tas
2020,14.8,17.1,23.3,27.13,28.9,Australia,AUS,tas
