year,min,25%,50%,75%,max,country,iso3,tipo
1960,20.5,21.82,29.2,32.15,35.1,Australia,AUS,tasmax
1961,20.4,24.08,30.2,33.07,35.1,Australia,AUS,tasmax
1962,21.1,23.65,29.1,33.82,34.1,Australia,AUS,tasmax
1963,20.3,23.72,28.95,32.93,34.5,Australia,AUS,tasmax
1964,21.7,23.98,28.25,32.83,34.6,Australia,AUS,tasmax
1965,20.1,24.7,29.7,33.17,36.1,Australia,AUS,tasmax
1966,20.3,23.22,28.65,32.72,34.1,Australia,AUS,tasmax
1967,20.5,24.12,29.95,32.75,34.7,Australia,AUS,tasmax
1968,19.1,21.48,29.65,32.95,34.9,Australia,AUS,tasmax
1969,21.1,24.15,29.9,33.17,36.3,Australia,AUS,tasmax
1970,21.5,23.22,29.55,32.72,35.1,Australia,AUS,tasmax
1971,20.4,23.8,29.05,32.12,35.4,Australia,AUS,tasmax
1972,21.0,24.52,29.7,33.05,36.5,Australia,AUS,tasmax
1973,21.1,24.78,29.4,32.4,35.4,Australia,AUS,tasmax
1974,20.9,23.15,27.7,31.72,34.1,Australia,AUS,tasmax
1975,21.4,24.8,27.75,32.55,34.4,Australia,AUS,tasmax
1976,21.4,24.15,28.0,31.8,35.1,Australia,AUS,tasmax
1977,20.8,24.5,29.6,33.3,34.9,Australia,AUS,tasmax
1978,19.6,23.6,29.15,33.0,34.4,Australia,AUS,tasmax
1979,21.5,22.85,29.35,33.55,35.9,Australia,AUS,tasmax
1980,20.6,25.0,29.65,33.92,35.1,Australia,AUS,tasmax
1981,20.7,24.05,30.5,31.95,34.6,Australia,AUS,tasmax
1982,20.5,24.8,29.35,34.0,35.3,Australia,AUS,tasmax
1983,20.0,24.17,29.15,32.5,36.2,Australia,AUS,tasmax
1984,19.3,24.1,29.05,32.58,34.0,Australia,AUS,tasmax
1985,20.8,24.45,28.75,33.22,36.0,Australia,AUS,tasmax
1986,19.5,24.35,28.85,34.22,34.9,Australia,AUS,tasmax
1987,21.3,23.7,29.7,32.68,34.7,Australia,AUS,tasmax
1988,21.6,24.35,30.15,32.75,36.1,Australia,AUS,tasmax
1989,19.7,23.75,29.15,32.48,34.6,Australia,AUS,tasmax
1990,20.4,24.1,29.3,33.75,35.3,Australia,AUS,tasmax
1991,21.3,24.78,30.65,33.1,34.7,Australia,AUS,tasmax
1992,21.4,23.6,28.85,33.12,34.6,Australia,AUS,tasmax
1993,20.8,24.42,29.55,33.02,35.1,Australia,AUS,tasmax
1994,21.9,25.15,30.0,32.9,35.9,Australia,AUS,tasmax
1995,21.0,24.08,28.75,32.65,34.5,Australia,AUS,tasmax
1996,21.2,24.6,29.25,32.98,34.8,Australia,AUS,tasmax
1997,20.4,23.28,29.8,33.38,34.9,Australia,AUS,tasmax
1998,20.1,25.2,29.25,33.6,35.4,Australia,AUS,tasmax
1999,21.7,25.25,29.0,32.02,35.7,Australia,AUS,tasmax
2000,20.7,23.1,28.9,32.3,33.8,Australia,AUS,tasmax
2001,21.2,24.28,28.7,31.88,35.8,Australia,AUS,tasmax
2002,22.4,25.72,31.2,33.22,35.2,Australia,AUS,tasmax
2003,21.8,24.9,29.35,33.33,35.5,Australia,AUS,tasmax
2004,21.0,23.78,30.8,33.1,35.0,Australia,AUS,tasmax
2005,21.5,25.28,31.0,33.78,35.3,Australia,AUS,tasmax
2006,20.6,24.48,29.6,34.0,35.1,Australia,AUS,tasmax
2007,19.5,25.38,30.5,33.05,35.4,Australia,AUS,tasmax
2008,21.2,24.55,30.0,32.52,35.6,Australia,AUS,tasmax
2009,21.4,25.07,29.7,33.9,34.8,Australia,AUS,tasmax
2010,20.6,23.78,28.85,31.98,35.1,Australia,AUS,tasmax
2011,21.2,24.25,28.9,32.52,35.0,Australia,AUS,tasmax
2012,20.8,24.52,29.7,33.72,35.3,Australia,AUS,tasmax
2013,21.4,25.35,31.05,33.58,36.8,Australia,AUS,tasmax
2014,21.8,25.32,30.95,33.9,35.8,Australia,AUS,tasmax
2015,21.2,24.15,30.1,34.4,36.0,Australia,AUS,tasmax
2016,21.1,25.0,30.25,33.78,35.3,Australia,AUS,tasmax
2017,22.6,25.33,30.05,33.8,35.2,Australia,AUS,tasmax
2018,22.1,24.8,31.45,33.4,36.1,Australia,AUS,tasmax
2019,21.9,24.8,31.1,34.33,37.6,Australia,AUS,tasmax
2020,22.2,24.22,30.35,33.92,35.8,Australia,AUS,tasmax
