year,min,25%,50%,75%,max,country,iso3,tipo
1960,6.9,9.2,14.75,18.6,21.3,Australia,AUS,tasmin
1961,6.1,9.57,15.85,18.7,20.7,Australia,AUS,tasmin
1962,7.7,10.12,14.55,18.58,21.1,Australia,AUS,tasmin
1963,6.8,10.28,14.8,19.6,20.6,Australia,AUS,tasmin
1964,7.7,10.42,14.7,18.35,20.4,Australia,AUS,tasmin
1965,6.0,10.8,14.9,18.92,20.8,Australia,AUS,tasmin
1966,6.8,9.72,14.5,18.28,20.9,Australia,AUS,tasmin
1967,6.2,9.85,15.75,18.15,20.8,Australia,AUS,tasmin
1968,7.0,10.32,15.0,18.78,21.4,Australia,AUS,tasmin
1969,7.7,9.45,15.0,18.82,21.5,Australia,AUS,tasmin
1970,6.0,10.35,15.05,18.53,20.9,Australia,AUS,tasmin
1971,6.4,9.9,15.0,19.42,21.1,Australia,AUS,tasmin
1972,6.5,10.58,14.6,18.68,21.0,Australia,AUS,tasmin
1973,9.6,11.35,15.85,19.48,22.1,Australia,AUS,tasmin
1974,7.3,10.65,15.0,19.0,21.2,Australia,AUS,tasmin
1975,7.7,10.3,14.55,18.55,20.6,Australia,AUS,tasmin
1976,6.6,9.23,14.25,18.68,20.6,Australia,AUS,tasmin
1977,6.1,10.07,15.05,18.88,21.3,Australia,AUS,tasmin
1978,7.6,10.25,14.5,19.08,21.1,Australia,AUS,tasmin
1979,6.8,10.55,15.0,19.5,22.0,Australia,AUS,tasmin
1980,7.7,11.28,15.65,19.4,21.0,Australia,AUS,tasmin
1981,8.2,11.3,15.45,18.3,22.0,Australia,AUS,tasmin
1982,5.5,10.48,14.5,19.32,21.8,Australia,AUS,tasmin
1983,6.5,11.55,15.5,20.05,22.2,Australia,AUS,tasmin
1984,7.3,10.05,15.1,18.45,20.3,Australia,AUS,tasmin
1985,7.2,10.65,15.15,19.58,21.3,Australia,AUS,tasmin
1986,8.1,11.38,15.0,19.47,20.7,Australia,AUS,tasmin
1987,7.1,11.18,15.3,18.88,21.0,Australia,AUS,tasmin
1988,8.4,11.75,16.45,19.62,21.7,Australia,AUS,tasmin
1989,7.2,10.53,15.85,19.68,20.7,Australia,AUS,tasmin
1990,8.2,10.75,15.6,19.85,21.6,Australia,AUS,tasmin
1991,7.7,11.4,15.7,18.92,21.7,Australia,AUS,tasmin
1992,7.5,11.15,15.7,19.47,21.1,Australia,AUS,tasmin
1993,8.7,11.47,15.45,18.95,21.6,Australia,AUS,tasmin
1994,6.9,10.2,14.95,18.65,21.3,Australia,AUS,tasmin
1995,7.8,11.15,14.8,18.75,21.5,Australia,AUS,tasmin
1996,8.5,11.3,15.3,19.08,20.9,Australia,AUS,tasmin
1997,6.5,11.1,15.05,18.9,21.9,Australia,AUS,tasmin
1998,8.4,12.12,16.0,19.65,21.6,Australia,AUS,tasmin
1999,7.7,11.3,15.1,19.38,22.1,Australia,AUS,tasmin
2000,7.4,9.85,15.45,19.48,21.2,Australia,AUS,tasmin
2001,7.4,9.9,14.45,18.33,21.9,Australia,AUS,tasmin
2002,6.4,10.92,15.55,19.1,20.4,Australia,AUS,tasmin
2003,7.8,11.38,15.15,18.92,21.7,Australia,AUS,tasmin
2004,7.5,10.52,15.95,19.12,21.5,Australia,AUS,tasmin
2005,8.4,11.42,16.6,19.53,21.0,Australia,AUS,tasmin
2006,6.6,9.55,15.35,19.7,22.4,Australia,AUS,tasmin
2007,7.0,11.15,15.55,19.45,21.5,Australia,AUS,tasmin
2008,6.9,10.15,15.05,18.9,21.8,Australia,AUS,tasmin
2009,7.7,10.68,15.1,19.32,21.4,Australia,AUS,tasmin
2010,8.1,10.6,15.6,19.1,21.3,Australia,AUS,tasmin
2011,7.5,9.7,15.05,18.85,21.7,Australia,AUS,tasmin
2012,6.5,9.48,15.0,19.0,21.3,Australia,AUS,tasmin
2013,8.5,11.78,15.7,19.65,22.0,Australia,AUS,tasmin
2014,7.0,11.27,16.3,19.67,21.8,Australia,AUS,tasmin
2015,7.6,10.72,15.8,19.75,21.6,Australia,AUS,tasmin
2016,8.6,11.6,15.5,20.52,21.6,Australia,AUS,tasmin
2017,7.9,10.75,15.65,20.28,22.1,Australia,AUS,tasmin
2018,7.4,10.28,16.5,19.85,22.0,Australia,AUS,tasmin
2019,8.0,10.68,16.1,20.48,22.7,Australia,AUS,tasmin
2020,7.4,10.3,16.25,19.73,22.1,Australia,AUS,tasmin
