year,min,25%,50%,75%,max,country,iso3,tipo
1960,23.1,23.93,25.25,25.52,25.9,Brazil,BRA,tas
1961,23.3,24.93,25.5,25.8,26.2,Brazil,BRA,tas
1962,22.6,24.28,25.45,25.72,26.1,Brazil,BRA,tas
1963,23.1,24.65,25.5,25.95,27.0,Brazil,BRA,tas
1964,22.9,24.45,25.25,25.42,26.0,Brazil,BRA,tas
1965,23.5,24.55,25.15,25.8,25.9,Brazil,BRA,tas
1966,23.5,24.38,25.45,26.0,26.1,Brazil,BRA,tas
1967,23.2,24.78,25.4,25.7,26.3,Brazil,BRA,tas
1968,23.0,24.0,25.0,25.58,26.1,Brazil,BRA,tas
1969,23.6,24.7,25.6,25.92,26.3,Brazil,BRA,tas
1970,23.4,24.65,25.5,25.8,26.1,Brazil,BRA,tas
1971,22.6,23.72,24.9,25.33,25.7,Brazil,BRA,tas
1972,23.6,24.45,25.25,25.63,26.1,Brazil,BRA,tas
1973,22.9,24.12,25.45,25.88,26.4,Brazil,BRA,tas
1974,22.8,23.8,24.8,25.15,25.4,Brazil,BRA,tas
1975,22.3,23.85,25.05,25.3,25.4,Brazil,BRA,tas
1976,22.7,24.08,24.65,25.22,25.6,Brazil,BRA,tas
1977,23.4,24.25,25.35,25.63,25.7,Brazil,BRA,tas
1978,23.0,23.87,25.15,25.63,25.8,Brazil,BRA,tas
1979,22.6,24.58,25.0,25.6,25.9,Brazil,BRA,tas
1980,23.3,24.62,25.35,25.63,25.8,Brazil,BRA,tas
1981,22.4,24.4,25.1,25.63,25.8,Brazil,BRA,tas
1982,23.7,24.2,25.15,25.52,25.9,Brazil,BRA,tas
1983,23.4,24.67,25.4,25.7,26.2,Brazil,BRA,tas
1984,23.4,24.35,25.1,25.63,26.0,Brazil,BRA,tas
1985,22.9,24.22,25.3,25.63,25.8,Brazil,BRA,tas
1986,23.2,24.75,25.35,25.6,26.0,Brazil,BRA,tas
1987,23.6,24.45,25.7,26.08,26.5,Brazil,BRA,tas
1988,22.7,24.45,25.65,25.92,26.4,Brazil,BRA,tas
1989,22.6,24.18,25.25,25.42,25.8,Brazil,BRA,tas
1990,22.8,24.28,25.75,26.0,26.5,Brazil,BRA,tas
1991,23.2,24.52,25.45,25.65,26.0,Brazil,BRA,tas
1992,22.7,24.52,25.3,25.52,25.8,Brazil,BRA,tas
1993,23.4,24.3,25.3,25.72,26.0,Brazil,BRA,tas
1994,23.3,24.72,25.4,25.83,26.2,Brazil,BRA,tas
1995,23.8,24.72,25.8,25.9,26.1,Brazil,BRA,tas
1996,23.0,24.65,25.4,25.92,26.2,Brazil,BRA,tas
1997,23.7,24.6,25.6,26.02,26.8,Brazil,BRA,tas
1998,23.9,25.18,26.05,26.3,26.7,Brazil,BRA,tas
1999,23.7,24.22,25.75,26.0,26.1,Brazil,BRA,tas
2000,22.9,24.75,25.4,25.83,26.5,Brazil,BRA,tas
2001,23.2,24.98,25.85,26.02,26.3,Brazil,BRA,tas
2002,24.0,25.2,26.0,26.3,27.0,Brazil,BRA,tas
2003,23.9,24.7,25.85,26.25,26.5,Brazil,BRA,tas
2004,23.6,24.55,26.0,26.2,26.4,Brazil,BRA,tas
2005,23.8,25.25,25.95,26.42,26.8,Brazil,BRA,tas
2006,23.9,24.82,25.8,26.25,26.6,Brazil,BRA,tas
2007,23.8,24.55,26.15,26.3,26.7,Brazil,BRA,tas
2008,23.4,24.95,25.6,25.85,26.7,Brazil,BRA,tas
2009,23.4,24.92,25.9,26.13,27.0,Brazil,BRA,tas
2010,23.7,24.85,26.2,26.5,27.0,Brazil,BRA,tas
2011,24.1,24.92,25.75,26.0,26.1,Brazil,BRA,tas
2012,24.0,25.0,25.75,26.42,26.9,Brazil,BRA,tas
2013,24.1,24.82,26.0,26.3,26.4,Brazil,BRA,tas
2014,24.0,25.12,25.95,26.35,26.9,Brazil,BRA,tas
2015,24.5,25.67,26.15,26.9,27.1,Brazil,BRA,tas
2016,23.9,25.38,26.45,26.5,26.8,Brazil,BRA,tas
2017,24.1,25.42,26.25,26.4,26.7,Brazil,BRA,tas
2018,23.8,24.85,26.05,26.33,26.6,Brazil,BRA,tas
2019,24.2,25.3,26.35,26.6,27.0,Brazil,BRA,tas
2020,24.3,25.32,26.55,26.63,27.2,Brazil,BRA,tas
