year,min,25%,50%,75%,max,country,iso3,tipo
1960,28.6,29.52,30.35,30.52,31.6,Brazil,BRA,tasmax
1961,28.9,30.08,30.45,31.45,32.2,Brazil,BRA,tasmax
1962,28.7,29.55,30.5,30.85,31.9,Brazil,BRA,tasmax
1963,28.8,30.02,30.6,31.35,32.7,Brazil,BRA,tasmax
1964,28.6,29.95,30.4,30.8,31.4,Brazil,BRA,tasmax
1965,29.5,29.67,30.4,30.92,31.8,Brazil,BRA,tasmax
1966,29.6,29.92,30.65,30.9,31.8,Brazil,BRA,tasmax
1967,28.8,29.9,30.45,30.95,32.0,Brazil,BRA,tasmax
1968,28.3,29.42,30.3,30.72,31.6,Brazil,BRA,tasmax
1969,29.5,30.25,30.75,31.15,31.9,Brazil,BRA,tasmax
1970,29.4,30.22,30.65,30.9,31.6,Brazil,BRA,tasmax
1971,28.2,29.32,30.1,30.4,31.0,Brazil,BRA,tasmax
1972,29.4,29.92,30.25,31.05,31.4,Brazil,BRA,tasmax
1973,28.9,29.82,30.65,30.88,31.4,Brazil,BRA,tasmax
1974,28.6,29.38,30.0,30.3,30.8,Brazil,BRA,tasmax
1975,28.4,29.35,30.05,30.38,31.1,Brazil,BRA,tasmax
1976,28.4,29.3,29.95,30.52,31.0,Brazil,BRA,tasmax
1977,29.0,30.08,30.5,30.68,31.3,Brazil,BRA,tasmax
1978,28.7,29.78,30.35,30.65,31.4,Brazil,BRA,tasmax
1979,28.4,29.62,30.25,30.75,31.6,Brazil,BRA,tasmax
1980,29.1,30.12,30.55,30.7,31.5,Brazil,BRA,tasmax
1981,28.5,30.02,30.45,30.7,30.9,Brazil,BRA,tasmax
1982,29.1,29.75,30.35,30.78,31.4,Brazil,BRA,tasmax
1983,29.1,30.3,30.55,30.72,31.0,Brazil,BRA,tasmax
1984,29.0,29.82,30.3,30.58,31.6,Brazil,BRA,tasmax
1985,28.6,29.9,30.3,30.75,31.4,Brazil,BRA,tasmax
1986,29.2,30.0,30.5,30.72,31.1,Brazil,BRA,tasmax
1987,29.3,30.37,30.75,31.22,32.1,Brazil,BRA,tasmax
1988,28.7,30.08,30.8,31.13,31.7,Brazil,BRA,tasmax
1989,28.8,29.78,30.25,30.6,31.1,Brazil,BRA,tasmax
1990,28.8,30.12,30.6,30.75,31.9,Brazil,BRA,tasmax
1991,29.3,30.12,30.35,30.95,31.3,Brazil,BRA,tasmax
1992,28.8,30.17,30.35,30.52,31.3,Brazil,BRA,tasmax
1993,29.3,29.98,30.4,30.88,31.6,Brazil,BRA,tasmax
1994,29.3,30.17,30.45,30.98,31.8,Brazil,BRA,tasmax
1995,29.3,30.22,30.8,31.15,31.8,Brazil,BRA,tasmax
1996,28.6,29.98,30.85,30.9,31.5,Brazil,BRA,tasmax
1997,29.4,30.15,30.65,31.45,32.5,Brazil,BRA,tasmax
1998,29.6,30.9,31.25,31.63,32.1,Brazil,BRA,tasmax
1999,29.2,29.98,30.85,31.02,31.8,Brazil,BRA,tasmax
2000,29.1,30.1,30.65,31.1,32.2,Brazil,BRA,tasmax
2001,28.9,30.6,30.8,31.52,31.9,Brazil,BRA,tasmax
2002,29.7,30.7,30.95,31.52,32.7,Brazil,BRA,tasmax
2003,29.9,30.45,31.0,31.4,31.9,Brazil,BRA,tasmax
2004,29.6,30.45,30.95,31.3,32.2,Brazil,BRA,tasmax
2005,29.9,30.68,31.15,31.5,32.5,Brazil,BRA,tasmax
2006,29.3,30.45,31.2,31.4,32.2,Brazil,BRA,tasmax
2007,29.6,30.6,31.0,31.38,32.3,Brazil,BRA,tasmax
2008,29.1,30.3,30.5,31.52,32.4,Brazil,BRA,tasmax
2009,29.1,30.38,30.75,31.48,32.2,Brazil,BRA,tasmax
2010,29.4,30.58,31.25,31.5,32.4,Brazil,BRA,tasmax
2011,29.7,30.37,30.7,31.15,32.0,Brazil,BRA,tasmax
2012,29.8,30.45,30.65,31.48,32.5,Brazil,BRA,tasmax
2013,30.1,30.35,31.0,31.3,32.0,Brazil,BRA,tasmax
2014,30.0,30.4,31.0,31.55,32.5,Brazil,BRA,tasmax
2015,30.2,30.72,31.25,32.12,33.0,Brazil,BRA,tasmax
2016,29.5,31.08,31.3,31.8,32.4,Brazil,BRA,tasmax
2017,30.2,30.6,31.15,31.52,32.3,Brazil,BRA,tasmax
2018,29.5,30.7,31.0,31.22,32.3,Brazil,BRA,tasmax
2019,30.2,30.88,31.25,31.65,32.6,Brazil,BRA,tasmax
2020,30.0,30.62,31.4,31.83,32.8,Brazil,BRA,tasmax
