year,min,25%,50%,75%,max,country,iso3,tipo
1960,17.0,18.1,20.05,20.55,20.8,Brazil,BRA,tasmin
1961,17.4,19.15,20.45,20.7,20.9,Brazil,BRA,tasmin
1962,16.5,18.52,19.9,20.8,20.8,Brazil,BRA,tasmin
1963,17.4,18.65,20.4,21.0,21.3,Brazil,BRA,tasmin
1964,16.8,18.8,19.7,20.55,21.2,Brazil,BRA,tasmin
1965,17.4,19.05,20.05,20.62,21.1,Brazil,BRA,tasmin
1966,17.5,18.88,20.4,20.95,21.3,Brazil,BRA,tasmin
1967,17.4,19.3,20.25,20.62,21.0,Brazil,BRA,tasmin
1968,17.3,17.95,19.85,20.52,21.0,Brazil,BRA,tasmin
1969,17.6,19.32,20.25,21.02,21.4,Brazil,BRA,tasmin
1970,17.3,19.05,20.35,20.92,21.2,Brazil,BRA,tasmin
1971,17.0,18.2,19.4,20.62,20.8,Brazil,BRA,tasmin
1972,17.6,19.22,19.85,20.5,21.2,Brazil,BRA,tasmin
1973,17.0,18.85,20.25,21.1,21.6,Brazil,BRA,tasmin
1974,16.7,18.4,19.6,20.12,20.6,Brazil,BRA,tasmin
1975,16.2,18.27,19.7,20.22,20.6,Brazil,BRA,tasmin
1976,16.8,18.42,19.7,20.12,20.6,Brazil,BRA,tasmin
1977,17.8,18.48,20.05,20.7,20.9,Brazil,BRA,tasmin
1978,17.1,18.38,19.95,20.65,21.0,Brazil,BRA,tasmin
1979,16.9,18.7,20.05,20.5,20.8,Brazil,BRA,tasmin
1980,17.3,18.52,20.2,20.62,20.8,Brazil,BRA,tasmin
1981,16.3,18.55,19.85,20.7,20.8,Brazil,BRA,tasmin
1982,17.6,18.55,19.95,20.6,20.7,Brazil,BRA,tasmin
1983,17.7,18.7,20.2,20.92,21.4,Brazil,BRA,tasmin
1984,17.3,18.55,20.15,20.65,21.3,Brazil,BRA,tasmin
1985,16.9,18.82,20.2,20.7,20.9,Brazil,BRA,tasmin
1986,17.2,18.85,20.3,20.72,20.9,Brazil,BRA,tasmin
1987,18.0,18.97,20.9,21.02,21.4,Brazil,BRA,tasmin
1988,16.7,18.95,20.4,20.9,21.7,Brazil,BRA,tasmin
1989,16.6,18.52,20.1,20.7,20.9,Brazil,BRA,tasmin
1990,16.9,18.52,20.85,21.1,21.4,Brazil,BRA,tasmin
1991,17.3,19.12,20.2,20.92,21.1,Brazil,BRA,tasmin
1992,16.7,18.7,20.1,20.6,21.0,Brazil,BRA,tasmin
1993,17.4,18.9,20.45,20.75,20.9,Brazil,BRA,tasmin
1994,17.2,19.23,20.5,20.72,21.0,Brazil,BRA,tasmin
1995,18.2,19.0,20.35,20.95,21.3,Brazil,BRA,tasmin
1996,17.4,19.0,20.4,20.98,21.3,Brazil,BRA,tasmin
1997,18.1,19.0,20.5,21.12,21.5,Brazil,BRA,tasmin
1998,18.2,19.52,20.75,21.5,22.0,Brazil,BRA,tasmin
1999,17.7,18.62,20.3,21.12,21.3,Brazil,BRA,tasmin
2000,16.8,19.02,20.6,20.9,21.1,Brazil,BRA,tasmin
2001,17.6,19.32,20.8,21.12,21.3,Brazil,BRA,tasmin
2002,18.2,19.42,21.2,21.25,21.6,Brazil,BRA,tasmin
2003,17.8,19.3,20.7,21.38,21.6,Brazil,BRA,tasmin
2004,17.5,19.05,20.85,21.22,21.4,Brazil,BRA,tasmin
2005,17.7,19.25,21.05,21.33,21.8,Brazil,BRA,tasmin
2006,18.2,18.85,20.7,21.33,21.8,Brazil,BRA,tasmin
2007,17.7,19.05,21.1,21.25,21.8,Brazil,BRA,tasmin
2008,17.7,18.98,20.65,21.0,21.2,Brazil,BRA,tasmin
2009,17.8,19.38,20.7,21.15,21.9,Brazil,BRA,tasmin
2010,18.1,19.45,20.85,21.4,22.3,Brazil,BRA,tasmin
2011,18.2,19.38,20.7,21.02,21.2,Brazil,BRA,tasmin
2012,17.9,19.4,20.9,21.18,21.7,Brazil,BRA,tasmin
2013,18.1,19.6,20.75,21.42,21.6,Brazil,BRA,tasmin
2014,18.0,19.58,21.05,21.4,21.5,Brazil,BRA,tasmin
2015,18.5,19.82,21.2,21.58,22.0,Brazil,BRA,tasmin
2016,18.2,19.8,21.35,21.72,21.9,Brazil,BRA,tasmin
2017,18.0,20.08,21.1,21.5,21.6,Brazil,BRA,tasmin
2018,18.2,19.38,21.05,21.4,21.6,Brazil,BRA,tasmin
2019,18.2,20.12,21.3,21.72,21.9,Brazil,BRA,tasmin
2020,18.3,19.58,21.25,21.7,21.9,Brazil,BRA,tasmin
