year,min,25%,50%,75%,max,country,iso3,tipo
1960,22.7,27.45,34.1,44.08,59.2,Canada,CAN,pr
1961,23.3,26.15,33.45,45.3,54.0,Canada,CAN,pr
1962,20.1,29.38,34.45,45.62,60.8,Canada,CAN,pr
1963,24.0,27.35,32.3,45.9,64.9,Canada,CAN,pr
1964,23.1,29.5,34.6,47.82,58.3,Canada,CAN,pr
1965,16.9,29.75,35.7,46.9,56.2,Canada,CAN,pr
1966,18.4,28.48,36.85,45.32,59.9,Canada,CAN,pr
1967,21.1,27.1,34.3,45.5,58.8,Canada,CAN,pr
1968,22.4,26.55,33.45,49.08,58.6,Canada,CAN,pr
1969,19.0,28.38,33.35,43.28,59.5,Canada,CAN,pr
1970,20.8,23.28,32.6,49.47,55.6,Canada,CAN,pr
1971,23.5,27.3,35.45,48.65,57.7,Canada,CAN,pr
1972,22.2,29.08,32.45,50.18,55.7,Canada,CAN,pr
1973,22.8,26.75,37.35,48.62,61.4,Canada,CAN,pr
1974,24.3,30.95,34.65,44.62,60.8,Canada,CAN,pr
1975,19.9,28.1,37.75,44.35,60.4,Canada,CAN,pr
1976,25.0,27.98,34.9,43.15,60.5,Canada,CAN,pr
1977,22.2,28.18,39.7,46.45,60.1,Canada,CAN,pr
1978,15.4,26.42,34.35,47.97,63.8,Canada,CAN,pr
1979,24.0,29.02,35.0,47.73,58.2,Canada,CAN,pr
1980,18.8,26.9,36.75,50.55,62.9,Canada,CAN,pr
1981,22.0,28.02,33.9,50.47,55.2,Canada,CAN,pr
1982,23.2,29.07,34.85,46.95,61.7,Canada,CAN,pr
1983,22.3,28.17,36.1,48.55,64.7,Canada,CAN,pr
1984,22.8,26.75,37.35,50.3,57.7,Canada,CAN,pr
1985,22.1,25.05,32.45,46.7,60.5,Canada,CAN,pr
1986,21.0,28.45,35.0,48.75,62.3,Canada,CAN,pr
1987,20.9,24.3,33.45,44.82,62.0,Canada,CAN,pr
1988,24.2,25.65,37.55,50.32,62.1,Canada,CAN,pr
1989,16.5,27.15,38.2,46.92,56.6,Canada,CAN,pr
1990,21.7,28.92,39.1,47.68,55.3,Canada,CAN,pr
1991,21.8,25.52,36.25,50.32,58.4,Canada,CAN,pr
1992,21.2,27.17,33.1,48.02,59.4,Canada,CAN,pr
1993,18.7,25.2,34.3,49.15,69.6,Canada,CAN,pr
1994,22.4,27.0,37.2,48.8,59.3,Canada,CAN,pr
1995,22.5,25.72,35.25,44.9,60.4,Canada,CAN,pr
1996,24.5,28.98,36.1,47.88,60.3,Canada,CAN,pr
1997,20.7,28.35,32.8,53.35,65.9,Canada,CAN,pr
1998,20.8,28.28,32.85,47.88,59.1,Canada,CAN,pr
1999,23.2,29.62,37.35,50.32,61.5,Canada,CAN,pr
2000,20.1,26.2,33.05,48.65,63.3,Canada,CAN,pr
2001,20.8,24.15,35.8,46.68,59.6,Canada,CAN,pr
2002,22.1,26.28,31.6,48.6,64.1,Canada,CAN,pr
2003,21.1,27.48,33.25,48.1,56.2,Canada,CAN,pr
2004,18.7,26.95,35.45,44.05,58.1,Canada,CAN,pr
2005,22.4,28.42,36.4,52.25,61.4,Canada,CAN,pr
2006,22.9,28.32,38.1,44.38,61.1,Canada,CAN,pr
2007,23.1,29.68,35.1,48.55,56.9,Canada,CAN,pr
2008,23.6,26.45,36.75,47.58,61.1,Canada,CAN,pr
2009,20.7,27.1,32.45,46.42,61.3,Canada,CAN,pr
2010,18.5,25.3,34.8,52.68,60.5,Canada,CAN,pr
2011,21.9,27.2,33.75,48.1,60.9,Canada,CAN,pr
2012,20.8,27.18,33.7,45.03,56.0,Canada,CAN,pr
2013,19.8,25.1,36.15,48.98,59.4,Canada,CAN,pr
2014,20.5,28.88,33.9,47.12,59.7,Canada,CAN,pr
2015,21.5,27.35,33.5,46.35,57.0,Canada,CAN,pr
2016,24.9,26.3,32.6,49.0,60.0,Canada,CAN,pr
2017,23.3,27.67,36.15,46.42,57.2,Canada,CAN,pr
2018,22.0,27.5,33.25,47.38,54.5,Canada,CAN,pr
2019,19.6,27.55,31.9,49.3,58.9,Canada,CAN,pr
2020,20.3,26.55,33.4,45.68,56.7,Canada,CAN,pr
