year,min,25%,50%,75%,max,country,iso3,tipo
1960,-24.0,-19.92,-7.05,4.77,11.4,Canada,CAN,tas
1961,-24.5,-21.12,-8.1,3.55,11.7,Canada,CAN,tas
1962,-26.5,-18.27,-6.9,4.47,10.9,Canada,CAN,tas
1963,-25.3,-20.8,-5.55,4.15,11.1,Canada,CAN,tas
1964,-24.2,-21.75,-8.0,3.63,10.8,Canada,CAN,tas
1965,-26.1,-19.42,-7.5,2.53,10.3,Canada,CAN,tas
1966,-28.8,-18.75,-8.4,5.22,11.2,Canada,CAN,tas
1967,-26.2,-19.98,-8.2,4.8,10.6,Canada,CAN,tas
1968,-26.0,-18.08,-6.3,4.85,10.0,Canada,CAN,tas
1969,-27.1,-17.7,-6.8,3.72,10.6,Canada,CAN,tas
1970,-25.4,-19.25,-7.35,4.12,11.3,Canada,CAN,tas
1971,-26.6,-19.55,-6.45,4.7,10.9,Canada,CAN,tas
1972,-28.6,-21.22,-9.55,2.33,9.6,Canada,CAN,tas
1973,-24.6,-18.25,-6.6,5.02,11.6,Canada,CAN,tas
1974,-27.7,-20.2,-8.8,3.3,11.1,Canada,CAN,tas
1975,-26.7,-21.2,-7.3,4.65,12.0,Canada,CAN,tas
1976,-24.2,-20.95,-6.6,4.97,10.9,Canada,CAN,tas
1977,-24.0,-17.5,-5.75,4.7,10.5,Canada,CAN,tas
1978,-24.8,-20.03,-8.55,3.8,10.1,Canada,CAN,tas
1979,-30.4,-19.25,-7.4,4.32,11.5,Canada,CAN,tas
1980,-24.4,-18.85,-5.95,3.35,10.6,Canada,CAN,tas
1981,-19.7,-15.48,-7.3,4.8,11.4,Canada,CAN,tas
1982,-28.8,-20.65,-8.2,4.38,11.2,Canada,CAN,tas
1983,-24.3,-20.18,-7.2,4.77,11.1,Canada,CAN,tas
1984,-25.0,-19.05,-6.4,3.5,11.6,Canada,CAN,tas
1985,-25.4,-18.27,-8.1,4.45,10.8,Canada,CAN,tas
1986,-22.4,-18.6,-7.9,3.5,10.4,Canada,CAN,tas
1987,-20.9,-17.27,-6.25,5.65,11.2,Canada,CAN,tas
1988,-24.6,-17.3,-5.7,5.0,11.5,Canada,CAN,tas
1989,-25.3,-21.88,-6.8,4.92,12.1,Canada,CAN,tas
1990,-26.5,-18.3,-7.45,4.82,11.6,Canada,CAN,tas
1991,-26.2,-18.9,-7.25,4.68,11.4,Canada,CAN,tas
1992,-23.2,-17.92,-7.85,3.18,9.8,Canada,CAN,tas
1993,-23.9,-17.95,-6.7,4.0,10.9,Canada,CAN,tas
1994,-27.0,-17.6,-6.15,5.48,12.0,Canada,CAN,tas
1995,-23.4,-19.6,-6.25,5.22,10.9,Canada,CAN,tas
1996,-27.6,-20.1,-7.65,4.9,11.5,Canada,CAN,tas
1997,-25.2,-17.9,-7.65,5.32,11.7,Canada,CAN,tas
1998,-25.6,-17.55,-4.55,6.15,12.5,Canada,CAN,tas
1999,-24.2,-16.12,-6.25,5.22,10.8,Canada,CAN,tas
2000,-24.2,-16.58,-7.0,4.1,11.8,Canada,CAN,tas
2001,-23.6,-17.08,-6.8,5.68,11.7,Canada,CAN,tas
2002,-23.3,-17.5,-8.15,5.3,11.4,Canada,CAN,tas
2003,-24.7,-18.48,-5.95,5.28,12.0,Canada,CAN,tas
2004,-26.2,-19.8,-6.9,4.3,11.2,Canada,CAN,tas
2005,-24.8,-16.88,-5.1,5.22,11.1,Canada,CAN,tas
2006,-20.3,-16.2,-5.35,6.12,12.0,Canada,CAN,tas
2007,-22.9,-19.88,-5.75,4.62,12.7,Canada,CAN,tas
2008,-24.3,-20.78,-6.2,4.95,11.9,Canada,CAN,tas
2009,-23.5,-19.65,-7.25,6.07,11.2,Canada,CAN,tas
2010,-21.2,-14.8,-3.75,4.97,12.1,Canada,CAN,tas
2011,-22.7,-18.42,-6.95,5.6,12.0,Canada,CAN,tas
2012,-23.1,-17.65,-6.6,6.35,12.8,Canada,CAN,tas
2013,-23.9,-18.3,-6.7,5.65,11.2,Canada,CAN,tas
2014,-24.4,-19.35,-7.05,4.97,12.0,Canada,CAN,tas
2015,-24.8,-18.3,-6.45,5.3,11.7,Canada,CAN,tas
2016,-21.3,-16.92,-7.05,5.62,11.9,Canada,CAN,tas
2017,-21.4,-18.97,-6.6,5.75,11.8,Canada,CAN,tas
2018,-24.7,-17.82,-8.4,3.55,11.9,Canada,CAN,tas
2019,-25.1,-17.75,-6.85,4.98,11.4,Canada,CAN,tas
2020,-22.9,-18.4,-7.95,4.7,11.9,Canada,CAN,tas
