year,min,25%,50%,75%,max,country,iso3,tipo
1960,-19.4,-15.48,-2.75,8.9,16.5,Canada,CAN,tasmax
1961,-20.1,-16.25,-3.65,7.98,17.0,Canada,CAN,tasmax
1962,-21.3,-13.0,-2.45,8.85,16.0,Canada,CAN,tasmax
1963,-20.5,-15.47,-0.8,8.3,15.9,Canada,CAN,tasmax
1964,-19.9,-16.62,-3.4,7.75,15.8,Canada,CAN,tasmax
1965,-21.1,-14.02,-2.95,6.7,15.2,Canada,CAN,tasmax
1966,-24.3,-14.02,-4.1,9.7,16.2,Canada,CAN,tasmax
1967,-21.0,-15.25,-3.8,9.4,15.7,Canada,CAN,tasmax
1968,-21.4,-12.9,-2.05,8.9,14.8,Canada,CAN,tasmax
1969,-22.7,-13.25,-2.4,7.8,15.7,Canada,CAN,tasmax
1970,-21.0,-13.9,-2.95,8.12,16.3,Canada,CAN,tasmax
1971,-22.2,-14.35,-2.05,8.85,15.9,Canada,CAN,tasmax
1972,-23.9,-16.17,-4.8,6.3,14.5,Canada,CAN,tasmax
1973,-19.4,-13.1,-2.3,9.43,16.7,Canada,CAN,tasmax
1974,-23.2,-15.65,-4.1,7.67,16.1,Canada,CAN,tasmax
1975,-22.1,-16.08,-2.95,9.02,17.0,Canada,CAN,tasmax
1976,-19.4,-15.65,-2.1,9.4,15.9,Canada,CAN,tasmax
1977,-20.0,-12.5,-0.9,8.9,15.3,Canada,CAN,tasmax
1978,-20.2,-14.63,-4.0,7.83,15.0,Canada,CAN,tasmax
1979,-25.8,-14.18,-3.15,8.62,16.7,Canada,CAN,tasmax
1980,-20.1,-13.55,-1.4,7.7,15.4,Canada,CAN,tasmax
1981,-15.0,-10.48,-3.1,8.9,16.5,Canada,CAN,tasmax
1982,-24.1,-15.55,-3.75,8.65,16.3,Canada,CAN,tasmax
1983,-19.9,-15.12,-2.85,9.0,16.0,Canada,CAN,tasmax
1984,-20.3,-14.0,-1.9,7.52,16.7,Canada,CAN,tasmax
1985,-20.4,-14.03,-3.8,8.68,15.9,Canada,CAN,tasmax
1986,-18.0,-14.0,-3.35,7.7,15.1,Canada,CAN,tasmax
1987,-16.2,-12.8,-1.75,10.08,16.1,Canada,CAN,tasmax
1988,-19.9,-12.45,-1.3,9.12,16.5,Canada,CAN,tasmax
1989,-20.6,-16.67,-2.1,9.32,17.5,Canada,CAN,tasmax
1990,-21.3,-14.35,-3.1,9.2,16.7,Canada,CAN,tasmax
1991,-21.4,-13.48,-2.7,8.75,16.4,Canada,CAN,tasmax
1992,-18.5,-12.75,-3.55,7.12,14.8,Canada,CAN,tasmax
1993,-18.9,-12.82,-2.3,8.3,15.6,Canada,CAN,tasmax
1994,-22.6,-12.6,-1.9,9.77,17.2,Canada,CAN,tasmax
1995,-18.4,-14.68,-2.05,9.78,15.6,Canada,CAN,tasmax
1996,-22.8,-14.82,-3.45,9.05,16.5,Canada,CAN,tasmax
1997,-20.6,-13.4,-3.35,9.52,16.5,Canada,CAN,tasmax
1998,-21.6,-12.6,-0.1,10.35,17.6,Canada,CAN,tasmax
1999,-19.7,-11.32,-1.95,9.48,15.7,Canada,CAN,tasmax
2000,-19.5,-11.52,-2.45,8.15,16.9,Canada,CAN,tasmax
2001,-18.4,-12.2,-2.4,10.1,16.6,Canada,CAN,tasmax
2002,-18.4,-13.1,-3.8,9.57,16.3,Canada,CAN,tasmax
2003,-20.0,-13.95,-1.55,9.5,17.2,Canada,CAN,tasmax
2004,-22.1,-14.38,-2.4,8.52,16.3,Canada,CAN,tasmax
2005,-20.1,-12.0,-0.75,9.32,15.9,Canada,CAN,tasmax
2006,-16.0,-11.42,-0.95,10.62,17.0,Canada,CAN,tasmax
2007,-18.2,-14.85,-1.4,8.68,17.8,Canada,CAN,tasmax
2008,-19.3,-15.62,-1.8,9.15,16.9,Canada,CAN,tasmax
2009,-19.1,-15.18,-3.15,10.45,16.3,Canada,CAN,tasmax
2010,-16.9,-9.7,0.55,9.02,17.2,Canada,CAN,tasmax
2011,-17.7,-13.25,-2.55,9.98,17.0,Canada,CAN,tasmax
2012,-18.5,-12.5,-2.4,10.82,18.0,Canada,CAN,tasmax
2013,-19.8,-13.2,-2.4,10.05,16.2,Canada,CAN,tasmax
2014,-19.5,-14.85,-2.8,9.2,17.0,Canada,CAN,tasmax
2015,-19.8,-13.3,-2.0,9.62,16.6,Canada,CAN,tasmax
2016,-17.3,-11.92,-2.7,9.93,16.7,Canada,CAN,tasmax
2017,-16.8,-14.0,-2.2,10.18,17.0,Canada,CAN,tasmax
2018,-19.4,-12.9,-3.85,7.8,17.1,Canada,CAN,tasmax
2019,-20.1,-12.65,-2.6,9.25,16.4,Canada,CAN,tasmax
2020,-18.7,-13.45,-3.55,8.95,16.8,Canada,CAN,tasmax
