year,min,25%,50%,75%,max,country,iso3,tipo
1960,-28.7,-24.55,-11.45,0.75,6.4,Canada,CAN,tasmin
1961,-29.0,-25.98,-12.6,-0.78,6.4,Canada,CAN,tasmin
1962,-31.7,-23.65,-11.45,0.18,5.8,Canada,CAN,tasmin
1963,-30.2,-25.58,-10.35,0.03,6.3,Canada,CAN,tasmin
1964,-29.2,-26.8,-12.65,-0.4,5.9,Canada,CAN,tasmin
1965,-31.3,-24.85,-12.05,-1.6,5.4,Canada,CAN,tasmin
1966,-33.2,-23.7,-12.7,0.82,6.2,Canada,CAN,tasmin
1967,-31.4,-24.7,-12.7,0.22,5.6,Canada,CAN,tasmin
1968,-30.6,-23.1,-10.6,0.82,5.1,Canada,CAN,tasmin
1969,-31.5,-22.2,-11.25,-0.25,5.5,Canada,CAN,tasmin
1970,-29.8,-24.68,-11.85,0.05,6.3,Canada,CAN,tasmin
1971,-31.1,-24.82,-10.85,0.57,6.0,Canada,CAN,tasmin
1972,-33.3,-26.38,-14.25,-1.72,4.8,Canada,CAN,tasmin
1973,-29.9,-23.42,-10.85,0.73,6.5,Canada,CAN,tasmin
1974,-32.3,-24.85,-13.5,-1.05,6.1,Canada,CAN,tasmin
1975,-31.3,-26.32,-11.7,0.2,7.0,Canada,CAN,tasmin
1976,-29.1,-26.32,-11.1,0.45,5.9,Canada,CAN,tasmin
1977,-28.0,-22.5,-10.6,0.5,5.8,Canada,CAN,tasmin
1978,-29.4,-25.22,-13.1,-0.12,5.3,Canada,CAN,tasmin
1979,-35.1,-24.12,-11.7,0.05,6.4,Canada,CAN,tasmin
1980,-29.0,-24.13,-10.45,-0.65,5.9,Canada,CAN,tasmin
1981,-24.4,-20.4,-11.05,0.7,6.3,Canada,CAN,tasmin
1982,-33.6,-25.92,-12.7,0.1,6.2,Canada,CAN,tasmin
1983,-28.7,-25.22,-11.6,0.57,6.3,Canada,CAN,tasmin
1984,-29.8,-24.1,-10.9,-0.5,6.6,Canada,CAN,tasmin
1985,-30.4,-23.5,-12.45,0.3,5.8,Canada,CAN,tasmin
1986,-27.1,-23.65,-12.5,-0.65,5.7,Canada,CAN,tasmin
1987,-25.8,-21.6,-10.8,1.3,6.3,Canada,CAN,tasmin
1988,-29.3,-22.35,-10.1,0.9,6.6,Canada,CAN,tasmin
1989,-30.2,-26.85,-11.45,0.48,6.7,Canada,CAN,tasmin
1990,-31.7,-23.2,-11.85,0.55,6.5,Canada,CAN,tasmin
1991,-31.0,-24.3,-11.7,0.68,6.5,Canada,CAN,tasmin
1992,-28.0,-23.15,-12.25,-0.78,4.9,Canada,CAN,tasmin
1993,-29.0,-23.18,-11.1,-0.27,6.4,Canada,CAN,tasmin
1994,-31.7,-22.67,-10.5,1.25,6.8,Canada,CAN,tasmin
1995,-28.4,-24.63,-10.5,0.65,6.3,Canada,CAN,tasmin
1996,-32.5,-25.2,-11.9,0.72,6.6,Canada,CAN,tasmin
1997,-29.8,-22.37,-11.95,1.15,6.9,Canada,CAN,tasmin
1998,-29.7,-22.55,-9.05,2.0,7.6,Canada,CAN,tasmin
1999,-28.7,-21.0,-10.55,0.98,6.0,Canada,CAN,tasmin
2000,-28.9,-21.7,-11.5,0.15,6.8,Canada,CAN,tasmin
2001,-28.8,-21.95,-11.15,1.38,6.8,Canada,CAN,tasmin
2002,-28.3,-21.98,-12.25,1.08,6.5,Canada,CAN,tasmin
2003,-29.6,-23.07,-10.4,1.15,6.9,Canada,CAN,tasmin
2004,-30.5,-25.3,-11.4,0.05,6.1,Canada,CAN,tasmin
2005,-29.5,-21.83,-9.4,1.12,6.3,Canada,CAN,tasmin
2006,-25.4,-21.15,-9.75,1.72,6.9,Canada,CAN,tasmin
2007,-27.6,-24.8,-10.1,0.58,7.7,Canada,CAN,tasmin
2008,-29.3,-26.05,-10.7,0.77,7.0,Canada,CAN,tasmin
2009,-28.0,-24.15,-11.3,1.75,6.2,Canada,CAN,tasmin
2010,-25.5,-19.75,-8.05,0.95,7.2,Canada,CAN,tasmin
2011,-27.7,-23.1,-11.3,1.18,7.0,Canada,CAN,tasmin
2012,-27.6,-22.82,-10.8,1.88,7.7,Canada,CAN,tasmin
2013,-28.1,-23.4,-10.95,1.32,6.3,Canada,CAN,tasmin
2014,-29.2,-23.85,-11.3,0.65,7.0,Canada,CAN,tasmin
2015,-29.8,-22.92,-10.95,1.05,6.9,Canada,CAN,tasmin
2016,-25.8,-22.0,-11.0,1.4,7.1,Canada,CAN,tasmin
2017,-26.1,-24.02,-11.0,1.4,6.7,Canada,CAN,tasmin
2018,-30.0,-22.78,-13.0,-0.72,6.7,Canada,CAN,tasmin
2019,-30.2,-22.9,-11.15,0.73,6.5,Canada,CAN,tasmin
2020,-27.6,-22.95,-12.35,0.52,7.1,Canada,CAN,tasmin
