year,min,25%,50%,75%,max,country,iso3,tipo
1960,5.6,17.9,32.0,73.78,109.5,China,CHN,pr
1961,8.1,24.8,41.3,75.7,114.4,China,CHN,pr
1962,7.2,14.95,33.3,73.8,114.9,China,CHN,pr
1963,2.0,19.18,33.2,63.85,120.2,China,CHN,pr
1964,6.5,16.48,51.95,73.68,112.2,China,CHN,pr
1965,6.2,18.52,46.0,56.9,105.0,China,CHN,pr
1966,9.3,13.0,38.55,59.0,112.7,China,CHN,pr
1967,6.1,20.27,35.8,74.3,99.6,China,CHN,pr
1968,9.2,15.0,34.5,66.22,105.0,China,CHN,pr
1969,3.7,18.0,38.75,65.5,121.0,China,CHN,pr
1970,10.7,14.92,36.8,74.25,126.3,China,CHN,pr
1971,9.3,13.28,32.45,73.32,106.9,China,CHN,pr
1972,7.8,20.48,38.95,67.55,91.7,China,CHN,pr
1973,2.4,14.92,48.05,83.85,114.5,China,CHN,pr
1974,11.3,14.8,39.15,69.4,112.4,China,CHN,pr
1975,11.4,17.58,47.5,73.85,104.6,China,CHN,pr
1976,5.6,17.35,41.65,67.3,101.1,China,CHN,pr
1977,8.3,17.05,47.5,69.18,121.7,China,CHN,pr
1978,6.2,16.3,34.15,74.35,91.2,China,CHN,pr
1979,9.6,13.5,35.45,73.62,116.0,China,CHN,pr
1980,6.1,13.42,41.85,69.18,114.7,China,CHN,pr
1981,4.0,22.65,40.8,64.3,117.7,China,CHN,pr
1982,6.0,22.58,37.25,67.57,103.1,China,CHN,pr
1983,9.4,21.9,48.55,79.4,106.3,China,CHN,pr
1984,8.1,12.78,35.65,75.73,106.1,China,CHN,pr
1985,8.3,22.33,33.6,75.3,107.9,China,CHN,pr
1986,4.0,15.8,35.85,58.82,112.6,China,CHN,pr
1987,4.6,21.18,41.2,67.2,109.8,China,CHN,pr
1988,7.4,15.7,29.0,74.05,110.5,China,CHN,pr
1989,10.4,19.35,37.55,66.12,106.3,China,CHN,pr
1990,9.2,26.7,41.45,73.53,116.1,China,CHN,pr
1991,11.9,15.08,35.35,61.35,118.8,China,CHN,pr
1992,11.7,18.55,39.55,67.18,99.9,China,CHN,pr
1993,7.3,23.8,31.35,73.35,114.1,China,CHN,pr
1994,7.4,19.55,36.3,68.45,115.7,China,CHN,pr
1995,5.7,15.37,38.3,65.68,112.6,China,CHN,pr
1996,5.0,18.6,36.55,64.25,133.2,China,CHN,pr
1997,12.4,20.12,35.85,62.92,109.0,China,CHN,pr
1998,8.2,19.4,39.85,81.18,128.3,China,CHN,pr
1999,4.9,15.3,41.4,71.58,111.8,China,CHN,pr
2000,9.5,17.82,46.75,66.25,103.1,China,CHN,pr
2001,14.0,16.4,38.0,65.78,102.9,China,CHN,pr
2002,11.2,18.53,43.95,77.65,107.8,China,CHN,pr
2003,8.1,16.77,38.2,74.43,102.9,China,CHN,pr
2004,12.2,17.23,29.45,74.58,115.4,China,CHN,pr
2005,8.1,18.35,31.5,78.85,102.8,China,CHN,pr
2006,7.6,19.98,36.2,70.1,107.0,China,CHN,pr
2007,8.0,15.5,34.65,65.85,111.4,China,CHN,pr
2008,5.3,19.73,38.25,71.35,114.6,China,CHN,pr
2009,5.9,19.1,34.5,63.8,104.1,China,CHN,pr
2010,11.5,16.62,41.7,76.02,108.1,China,CHN,pr
2011,6.7,16.32,29.9,65.38,97.5,China,CHN,pr
2012,13.5,24.55,35.85,72.95,125.3,China,CHN,pr
2013,6.6,18.48,34.6,78.9,123.2,China,CHN,pr
2014,4.8,20.23,32.3,75.65,107.6,China,CHN,pr
2015,11.5,20.65,40.35,75.68,99.8,China,CHN,pr
2016,10.6,20.27,48.85,75.35,122.5,China,CHN,pr
2017,5.9,13.88,42.85,67.23,115.0,China,CHN,pr
2018,8.4,21.35,33.1,70.77,124.7,China,CHN,pr
2019,11.0,18.58,37.95,69.55,114.6,China,CHN,pr
2020,5.6,17.58,31.8,82.55,112.5,China,CHN,pr
