year,min,25%,50%,75%,max,country,iso3,tipo
1960,-9.2,-1.65,6.7,15.2,19.6,China,CHN,tas
1961,-9.0,-1.55,7.9,15.02,20.0,China,CHN,tas
1962,-9.3,-2.62,7.05,15.0,19.7,China,CHN,tas
1963,-9.5,-1.52,6.95,14.98,19.4,China,CHN,tas
1964,-8.8,-2.03,7.9,14.53,19.2,China,CHN,tas
1965,-7.8,-1.8,7.4,14.5,19.2,China,CHN,tas
1966,-8.1,-1.98,7.05,14.4,19.3,China,CHN,tas
1967,-9.4,-3.55,7.2,14.72,19.5,China,CHN,tas
1968,-9.1,-1.4,6.85,14.5,19.4,China,CHN,tas
1969,-10.0,-2.92,7.55,14.42,19.3,China,CHN,tas
1970,-9.5,-3.0,7.1,14.45,19.4,China,CHN,tas
1971,-8.9,-1.65,7.55,14.55,19.7,China,CHN,tas
1972,-8.0,-2.22,7.0,14.38,19.3,China,CHN,tas
1973,-7.8,-1.2,7.55,14.87,19.5,China,CHN,tas
1974,-8.6,-1.95,7.7,14.47,19.5,China,CHN,tas
1975,-8.1,-1.65,8.0,15.45,19.3,China,CHN,tas
1976,-7.8,-2.8,6.95,14.35,18.5,China,CHN,tas
1977,-10.9,-1.75,7.9,15.18,19.6,China,CHN,tas
1978,-9.5,-1.23,7.75,15.0,19.7,China,CHN,tas
1979,-7.5,-2.0,7.7,14.25,18.9,China,CHN,tas
1980,-8.8,-1.58,7.1,14.55,19.5,China,CHN,tas
1981,-8.7,-2.88,7.45,14.82,20.2,China,CHN,tas
1982,-6.9,-1.48,8.05,14.45,19.4,China,CHN,tas
1983,-8.3,-1.2,7.55,15.12,19.0,China,CHN,tas
1984,-9.7,-1.72,7.35,14.48,19.0,China,CHN,tas
1985,-8.9,-2.08,7.95,14.3,19.2,China,CHN,tas
1986,-8.0,-2.2,6.8,14.73,19.4,China,CHN,tas
1987,-7.4,-1.4,7.65,14.85,19.4,China,CHN,tas
1988,-7.1,-1.72,7.85,15.25,19.9,China,CHN,tas
1989,-7.8,-1.62,8.0,14.87,19.3,China,CHN,tas
1990,-8.0,-0.1,7.6,15.18,19.5,China,CHN,tas
1991,-8.1,-1.6,7.4,14.95,19.8,China,CHN,tas
1992,-7.7,-2.1,7.6,14.38,19.0,China,CHN,tas
1993,-9.0,-1.35,7.35,14.72,18.9,China,CHN,tas
1994,-7.5,-1.3,7.75,14.95,20.1,China,CHN,tas
1995,-8.2,-0.8,7.55,15.28,19.4,China,CHN,tas
1996,-8.5,-1.95,7.25,14.85,19.4,China,CHN,tas
1997,-7.7,-1.72,7.7,14.73,19.9,China,CHN,tas
1998,-8.7,-0.2,9.45,15.92,19.9,China,CHN,tas
1999,-6.8,-0.3,8.35,15.62,20.0,China,CHN,tas
2000,-8.8,-2.5,7.7,15.35,20.7,China,CHN,tas
2001,-8.2,-0.43,8.2,15.55,20.6,China,CHN,tas
2002,-6.6,-0.88,7.85,15.18,20.2,China,CHN,tas
2003,-7.5,-0.92,8.15,15.5,19.4,China,CHN,tas
2004,-7.4,-0.4,8.5,15.32,19.7,China,CHN,tas
2005,-8.0,-0.92,8.45,16.18,20.3,China,CHN,tas
2006,-7.3,-0.05,8.6,15.4,20.3,China,CHN,tas
2007,-6.9,-0.03,8.3,15.65,19.9,China,CHN,tas
2008,-9.2,-0.9,8.7,15.58,20.1,China,CHN,tas
2009,-7.3,-1.82,9.15,15.62,19.9,China,CHN,tas
2010,-7.3,-0.68,7.25,15.6,20.7,China,CHN,tas
2011,-10.5,-0.92,8.6,15.12,20.1,China,CHN,tas
2012,-9.7,-2.05,8.25,15.3,20.2,China,CHN,tas
2013,-8.4,-0.77,8.1,15.25,20.1,China,CHN,tas
2014,-6.7,-0.75,8.9,15.4,20.0,China,CHN,tas
2015,-6.3,-0.43,8.55,15.18,19.9,China,CHN,tas
2016,-8.4,-1.27,8.55,15.87,20.5,China,CHN,tas
2017,-6.5,-0.55,8.5,15.77,21.0,China,CHN,tas
2018,-8.5,-1.23,8.4,15.3,20.5,China,CHN,tas
2019,-6.9,-0.47,9.05,16.0,20.0,China,CHN,tas
2020,-6.9,-0.12,8.05,15.52,19.9,China,CHN,tas
