year,min,25%,50%,75%,max,country,iso3,tipo
1960,-1.48,5.16,14.76,21.45,25.92,China,CHN,tasmax
1961,-2.0,4.19,14.08,21.16,25.33,China,CHN,tasmax
1962,-1.64,5.4,13.76,21.23,25.08,China,CHN,tasmax
1963,-2.12,5.14,14.31,20.48,24.85,China,CHN,tasmax
1964,-0.75,5.02,14.17,20.91,24.94,China,CHN,tasmax
1965,-1.3,5.18,13.6,20.83,24.93,China,CHN,tasmax
1966,-2.02,2.84,13.86,21.01,25.32,China,CHN,tasmax
1967,-1.99,5.6,13.62,20.8,25.21,China,CHN,tasmax
1968,-3.12,4.06,14.32,20.96,24.93,China,CHN,tasmax
1969,-2.33,3.86,13.94,20.6,24.91,China,CHN,tasmax
1970,-1.53,5.56,14.36,20.44,25.42,China,CHN,tasmax
1971,-1.34,4.45,13.7,21.03,25.04,China,CHN,tasmax
1972,-1.14,5.74,14.11,21.01,25.28,China,CHN,tasmax
1973,-2.24,4.98,14.54,20.67,25.03,China,CHN,tasmax
1974,-1.04,4.88,14.5,21.43,25.12,China,CHN,tasmax
1975,-0.51,3.84,13.57,20.44,24.2,China,CHN,tasmax
1976,-4.34,4.7,14.36,21.28,25.17,China,CHN,tasmax
1977,-2.58,5.26,14.66,21.32,25.59,China,CHN,tasmax
1978,-0.38,5.09,14.58,20.6,24.47,China,CHN,tasmax
1979,-1.93,5.11,13.69,20.78,25.2,China,CHN,tasmax
1980,-1.88,3.59,13.98,20.82,25.5,China,CHN,tasmax
1981,-0.23,4.65,14.54,20.68,25.02,China,CHN,tasmax
1982,-1.67,5.29,13.88,21.07,24.55,China,CHN,tasmax
1983,-2.88,5.0,13.98,20.48,24.5,China,CHN,tasmax
1984,-2.11,4.46,14.63,20.49,24.9,China,CHN,tasmax
1985,-0.73,4.27,13.27,21.07,24.99,China,CHN,tasmax
1986,-0.22,5.41,14.1,20.88,24.9,China,CHN,tasmax
1987,-0.28,4.76,14.42,21.12,25.49,China,CHN,tasmax
1988,-1.33,4.69,14.38,20.81,24.68,China,CHN,tasmax
1989,-1.28,6.54,14.01,21.27,24.98,China,CHN,tasmax
1990,-1.62,5.19,13.9,21.15,25.26,China,CHN,tasmax
1991,-0.95,4.84,14.28,20.35,24.71,China,CHN,tasmax
1992,-2.5,5.22,13.97,20.9,24.07,China,CHN,tasmax
1993,-0.55,5.43,14.26,21.3,25.91,China,CHN,tasmax
1994,-1.71,5.96,13.87,21.21,24.99,China,CHN,tasmax
1995,-1.8,4.44,13.64,20.97,24.56,China,CHN,tasmax
1996,-0.61,4.89,14.31,21.01,25.62,China,CHN,tasmax
1997,-2.12,6.66,16.06,22.08,25.08,China,CHN,tasmax
1998,0.01,6.36,14.8,21.66,25.3,China,CHN,tasmax
1999,-2.23,4.01,13.92,21.75,26.24,China,CHN,tasmax
2000,-1.48,6.46,14.6,21.42,26.32,China,CHN,tasmax
2001,-0.45,5.95,14.3,21.17,25.5,China,CHN,tasmax
2002,-0.42,5.52,14.62,21.31,24.81,China,CHN,tasmax
2003,-0.96,6.33,15.22,21.35,25.17,China,CHN,tasmax
2004,-1.55,5.5,14.94,22.07,25.62,China,CHN,tasmax
2005,-0.68,6.4,15.14,21.5,25.85,China,CHN,tasmax
2006,0.05,6.96,14.66,22.0,25.42,China,CHN,tasmax
2007,-3.02,5.69,15.09,21.43,25.49,China,CHN,tasmax
2008,-0.36,4.75,15.68,21.59,25.4,China,CHN,tasmax
2009,-0.37,6.15,13.43,21.36,26.07,China,CHN,tasmax
2010,-4.15,5.78,15.07,20.96,25.53,China,CHN,tasmax
2011,-3.37,4.29,14.76,21.37,25.3,China,CHN,tasmax
2012,-1.44,5.68,14.6,21.19,25.45,China,CHN,tasmax
2013,-0.08,5.46,15.33,21.12,25.57,China,CHN,tasmax
2014,0.42,5.77,15.02,20.87,25.65,China,CHN,tasmax
2015,-2.04,5.44,14.75,21.7,26.04,China,CHN,tasmax
2016,0.16,6.08,14.83,21.7,26.66,China,CHN,tasmax
2017,-1.76,5.36,14.98,21.55,25.85,China,CHN,tasmax
2018,-0.42,6.07,15.56,22.11,25.52,China,CHN,tasmax
2019,-0.44,6.43,14.58,21.41,25.26,China,CHN,tasmax
