year,min,25%,50%,75%,max,country,iso3,tipo
1960,-15.9,-8.15,0.15,9.12,14.0,China,CHN,tasmin
1961,-15.7,-7.75,1.25,8.68,14.1,China,CHN,tasmin
1962,-16.0,-8.93,0.3,8.9,14.1,China,CHN,tasmin
1963,-16.7,-7.85,0.5,8.95,13.8,China,CHN,tasmin
1964,-14.9,-8.55,1.8,8.72,13.6,China,CHN,tasmin
1965,-14.7,-8.52,0.9,8.15,13.5,China,CHN,tasmin
1966,-14.8,-8.55,0.75,8.02,13.7,China,CHN,tasmin
1967,-16.1,-9.4,0.7,8.43,13.7,China,CHN,tasmin
1968,-15.5,-7.72,0.3,8.3,13.6,China,CHN,tasmin
1969,-16.0,-9.32,1.05,8.27,13.6,China,CHN,tasmin
1970,-15.9,-9.33,0.4,8.4,13.9,China,CHN,tasmin
1971,-15.6,-8.25,0.9,8.72,13.9,China,CHN,tasmin
1972,-14.0,-8.25,0.5,8.05,13.6,China,CHN,tasmin
1973,-13.9,-7.67,1.25,8.72,13.7,China,CHN,tasmin
1974,-15.0,-8.43,1.1,8.57,13.9,China,CHN,tasmin
1975,-14.4,-7.78,1.8,9.6,13.6,China,CHN,tasmin
1976,-14.5,-8.88,0.55,8.28,12.7,China,CHN,tasmin
1977,-16.6,-7.6,1.6,9.12,14.0,China,CHN,tasmin
1978,-15.6,-7.2,1.05,8.72,13.8,China,CHN,tasmin
1979,-13.9,-8.48,1.1,8.38,13.4,China,CHN,tasmin
1980,-14.9,-7.78,0.8,8.55,13.8,China,CHN,tasmin
1981,-14.8,-8.65,1.25,8.93,14.8,China,CHN,tasmin
1982,-13.5,-7.1,1.7,8.65,13.7,China,CHN,tasmin
1983,-14.4,-7.6,1.45,9.35,13.6,China,CHN,tasmin
1984,-15.8,-8.08,1.0,8.57,13.6,China,CHN,tasmin
1985,-14.9,-8.07,1.5,8.57,13.5,China,CHN,tasmin
1986,-14.6,-8.05,0.6,8.5,13.8,China,CHN,tasmin
1987,-13.9,-7.52,1.45,8.85,13.8,China,CHN,tasmin
1988,-13.1,-7.78,1.5,9.38,14.3,China,CHN,tasmin
1989,-13.6,-7.4,1.85,9.12,13.9,China,CHN,tasmin
1990,-13.9,-6.28,1.45,9.18,14.0,China,CHN,tasmin
1991,-13.9,-7.85,1.15,8.95,14.3,China,CHN,tasmin
1992,-13.8,-8.55,1.1,8.55,13.3,China,CHN,tasmin
1993,-14.9,-7.35,0.95,8.6,13.7,China,CHN,tasmin
1994,-13.7,-7.58,1.45,9.15,14.3,China,CHN,tasmin
1995,-14.2,-7.18,1.5,9.42,13.8,China,CHN,tasmin
1996,-14.6,-7.78,1.1,8.82,14.2,China,CHN,tasmin
1997,-14.2,-7.82,1.25,8.55,14.1,China,CHN,tasmin
1998,-14.6,-6.55,3.05,9.82,14.7,China,CHN,tasmin
1999,-12.9,-6.52,2.2,9.75,14.6,China,CHN,tasmin
2000,-14.5,-8.4,1.65,9.45,15.1,China,CHN,tasmin
2001,-14.2,-6.8,2.0,9.7,14.8,China,CHN,tasmin
2002,-12.4,-7.1,1.7,9.15,14.8,China,CHN,tasmin
2003,-13.9,-6.82,1.95,9.7,14.0,China,CHN,tasmin
2004,-13.3,-6.55,2.0,9.42,14.2,China,CHN,tasmin
2005,-13.7,-6.85,2.2,10.28,15.0,China,CHN,tasmin
2006,-13.2,-6.02,2.4,9.4,14.8,China,CHN,tasmin
2007,-13.2,-6.55,2.2,9.73,14.4,China,CHN,tasmin
2008,-14.6,-6.92,2.5,9.7,14.6,China,CHN,tasmin
2009,-13.5,-7.72,2.8,9.82,14.5,China,CHN,tasmin
2010,-13.4,-6.85,1.3,9.98,15.3,China,CHN,tasmin
2011,-16.1,-7.18,2.3,9.4,14.6,China,CHN,tasmin
2012,-15.4,-7.88,1.9,9.43,15.0,China,CHN,tasmin
2013,-14.7,-6.78,1.8,9.4,14.9,China,CHN,tasmin
2014,-13.1,-6.5,2.7,9.73,14.5,China,CHN,tasmin
2015,-12.3,-6.12,2.25,9.68,14.1,China,CHN,tasmin
2016,-14.1,-7.3,2.65,10.15,15.0,China,CHN,tasmin
2017,-12.4,-6.68,2.4,9.98,15.2,China,CHN,tasmin
2018,-14.4,-7.2,2.05,9.6,15.2,China,CHN,tasmin
2019,-12.8,-6.42,2.75,9.98,14.4,China,CHN,tasmin
2020,-12.6,-6.12,1.7,9.8,14.4,China,CHN,tasmin
