year,min,25%,50%,75%,max,country,iso3,tipo
1960,31.7,47.0,62.4,75.5,116.5,Germany,DEU,pr
1961,38.2,50.15,61.2,76.75,89.4,Germany,DEU,pr
1962,19.2,43.28,56.55,66.12,78.2,Germany,DEU,pr
1963,11.2,35.12,49.25,61.1,112.1,Germany,DEU,pr
1964,22.0,40.2,48.85,62.5,73.6,Germany,DEU,pr
1965,14.4,58.25,74.4,90.5,120.2,Germany,DEU,pr
1966,36.5,57.53,64.45,99.98,111.5,Germany,DEU,pr
1967,41.6,50.02,63.35,74.08,78.5,Germany,DEU,pr
1968,29.4,41.55,62.0,77.53,104.5,Germany,DEU,pr
1969,18.7,37.45,44.65,74.45,99.1,Germany,DEU,pr
1970,39.6,53.3,65.25,78.8,94.5,Germany,DEU,pr
1971,27.4,29.78,32.65,60.42,110.9,Germany,DEU,pr
1972,11.3,24.85,50.7,75.1,93.5,Germany,DEU,pr
1973,22.6,41.52,56.95,61.6,85.9,Germany,DEU,pr
1974,17.5,47.65,64.4,81.82,107.9,Germany,DEU,pr
1975,16.9,44.42,53.6,60.38,80.4,Germany,DEU,pr
1976,19.1,29.85,39.95,56.35,89.8,Germany,DEU,pr
1977,37.8,44.2,60.6,75.38,91.7,Germany,DEU,pr
1978,19.5,38.43,69.35,78.75,87.8,Germany,DEU,pr
1979,25.5,50.68,61.6,77.55,88.0,Germany,DEU,pr
1980,37.9,42.85,53.65,69.97,119.7,Germany,DEU,pr
1981,30.3,69.3,72.6,86.6,110.0,Germany,DEU,pr
1982,13.2,38.3,58.0,69.38,83.8,Germany,DEU,pr
1983,30.3,45.35,54.45,63.95,113.3,Germany,DEU,pr
1984,20.0,45.03,55.65,79.4,98.5,Germany,DEU,pr
1985,15.4,45.75,58.85,64.1,97.3,Germany,DEU,pr
1986,14.4,54.72,65.1,79.75,87.1,Germany,DEU,pr
1987,38.6,48.22,60.8,80.58,108.3,Germany,DEU,pr
1988,24.4,49.1,62.95,77.12,107.7,Germany,DEU,pr
1989,18.7,41.38,49.8,65.7,77.7,Germany,DEU,pr
1990,32.2,40.1,55.2,76.65,109.6,Germany,DEU,pr
1991,22.2,34.12,45.3,59.68,108.5,Germany,DEU,pr
1992,30.4,36.97,58.1,83.48,92.4,Germany,DEU,pr
1993,18.4,33.22,65.1,77.38,126.6,Germany,DEU,pr
1994,26.9,54.22,69.45,75.68,89.5,Germany,DEU,pr
1995,23.1,49.72,68.7,76.43,87.1,Germany,DEU,pr
1996,5.4,32.12,48.05,73.12,87.6,Germany,DEU,pr
1997,10.1,39.93,51.35,66.73,101.6,Germany,DEU,pr
1998,20.2,51.05,59.05,79.5,126.7,Germany,DEU,pr
1999,39.6,52.9,59.35,69.62,99.2,Germany,DEU,pr
2000,37.3,50.1,59.9,70.02,100.7,Germany,DEU,pr
2001,41.2,49.5,66.5,74.42,109.6,Germany,DEU,pr
2002,38.4,55.08,75.15,91.72,106.6,Germany,DEU,pr
2003,15.3,35.12,45.5,62.53,67.6,Germany,DEU,pr
2004,33.9,41.52,56.45,73.88,96.2,Germany,DEU,pr
2005,38.1,46.98,51.55,58.68,112.8,Germany,DEU,pr
2006,23.1,43.6,51.4,61.65,122.6,Germany,DEU,pr
2007,6.6,57.47,75.15,94.98,115.9,Germany,DEU,pr
2008,32.4,40.97,61.05,72.28,81.9,Germany,DEU,pr
2009,26.7,39.88,66.3,76.55,99.8,Germany,DEU,pr
2010,20.7,37.95,62.45,77.93,135.2,Germany,DEU,pr
2011,2.8,26.2,49.45,85.85,104.4,Germany,DEU,pr
2012,14.0,44.52,56.75,81.58,96.1,Germany,DEU,pr
2013,33.4,40.15,56.4,73.53,117.1,Germany,DEU,pr
2014,17.3,38.5,50.55,72.78,118.6,Germany,DEU,pr
2015,20.6,44.68,51.75,63.22,83.7,Germany,DEU,pr
2016,26.6,47.88,53.35,65.85,108.1,Germany,DEU,pr
2017,39.4,49.22,64.95,74.72,114.7,Germany,DEU,pr
2018,17.6,32.97,45.8,51.32,86.9,Germany,DEU,pr
2019,25.1,51.52,61.05,63.1,73.7,Germany,DEU,pr
2020,17.7,37.1,50.85,72.0,98.9,Germany,DEU,pr
