year,min,25%,50%,75%,max,country,iso3,tipo
1960,-0.2,3.7,8.45,13.65,16.4,Germany,DEU,tas
1961,-0.8,4.28,10.7,15.68,16.7,Germany,DEU,tas
1962,-3.1,1.38,8.85,13.28,16.3,Germany,DEU,tas
1963,-7.2,1.37,8.6,14.65,18.0,Germany,DEU,tas
1964,-2.3,0.82,8.1,14.65,18.2,Germany,DEU,tas
1965,-1.6,2.03,7.9,13.8,15.7,Germany,DEU,tas
1966,-2.8,3.08,10.0,14.32,17.0,Germany,DEU,tas
1967,0.3,3.85,9.15,14.45,18.9,Germany,DEU,tas
1968,-1.9,3.28,10.0,14.48,16.8,Germany,DEU,tas
1969,-4.5,1.0,8.9,14.52,18.6,Germany,DEU,tas
1970,-2.4,1.33,7.5,14.45,17.2,Germany,DEU,tas
1971,-1.0,2.98,9.05,14.02,18.4,Germany,DEU,tas
1972,-2.2,3.9,7.4,12.38,17.9,Germany,DEU,tas
1973,0.1,2.9,6.6,15.08,18.2,Germany,DEU,tas
1974,3.2,4.9,7.1,13.85,17.6,Germany,DEU,tas
1975,1.4,3.75,7.5,15.1,19.2,Germany,DEU,tas
1976,-0.9,1.5,8.55,14.05,19.4,Germany,DEU,tas
1977,0.4,4.65,8.5,13.1,16.6,Germany,DEU,tas
1978,-1.1,3.62,8.15,13.18,15.7,Germany,DEU,tas
1979,-4.2,3.75,7.85,14.15,16.5,Germany,DEU,tas
1980,-2.7,2.95,7.3,14.58,17.0,Germany,DEU,tas
1981,-2.1,3.48,8.3,14.75,16.8,Germany,DEU,tas
1982,-2.0,4.0,8.45,16.42,19.1,Germany,DEU,tas
1983,-1.3,3.9,9.25,14.82,20.5,Germany,DEU,tas
1984,-0.2,2.12,9.0,13.1,17.6,Germany,DEU,tas
1985,-5.4,2.68,8.7,13.9,17.7,Germany,DEU,tas
1986,-6.1,3.05,8.35,14.65,17.3,Germany,DEU,tas
1987,-5.8,1.65,9.6,14.35,17.1,Germany,DEU,tas
1988,2.2,3.27,9.25,14.55,17.5,Germany,DEU,tas
1989,2.6,3.5,9.3,15.22,18.0,Germany,DEU,tas
1990,0.8,5.68,9.35,14.52,18.9,Germany,DEU,tas
1991,-1.9,3.53,8.15,14.18,19.4,Germany,DEU,tas
1992,1.0,4.72,7.6,15.4,19.6,Germany,DEU,tas
1993,-0.2,2.85,9.45,15.08,16.4,Germany,DEU,tas
1994,0.0,5.9,8.3,14.35,21.5,Germany,DEU,tas
1995,-1.8,3.53,10.45,13.45,20.4,Germany,DEU,tas
1996,-2.0,0.6,9.3,12.5,17.6,Germany,DEU,tas
1997,-2.2,4.27,7.5,14.95,20.2,Germany,DEU,tas
1998,1.1,4.12,9.05,14.8,17.3,Germany,DEU,tas
1999,0.5,3.5,9.4,15.88,19.2,Germany,DEU,tas
2000,1.0,5.03,10.8,15.08,18.2,Germany,DEU,tas
2001,-0.3,3.65,9.85,14.42,19.0,Germany,DEU,tas
2002,0.3,5.48,8.45,14.78,19.2,Germany,DEU,tas
2003,-1.5,4.88,7.55,15.72,20.5,Germany,DEU,tas
2004,-0.4,4.0,10.05,14.87,18.8,Germany,DEU,tas
2005,-0.9,3.48,10.6,15.85,18.3,Germany,DEU,tas
2006,-2.4,3.95,10.55,16.27,21.7,Germany,DEU,tas
2007,1.6,4.45,10.3,15.15,17.6,Germany,DEU,tas
2008,1.2,4.47,8.85,15.4,18.4,Germany,DEU,tas
2009,-1.7,3.7,10.35,15.25,19.3,Germany,DEU,tas
2010,-3.6,3.4,8.9,14.0,20.8,Germany,DEU,tas
2011,1.0,5.0,11.0,16.05,18.2,Germany,DEU,tas
2012,-2.3,4.73,9.0,14.85,19.1,Germany,DEU,tas
2013,-0.6,2.95,9.9,14.35,19.9,Germany,DEU,tas
2014,2.0,6.4,11.75,15.75,19.7,Germany,DEU,tas
2015,1.3,6.37,8.95,14.25,20.3,Germany,DEU,tas
2016,0.9,4.0,8.6,17.35,19.0,Germany,DEU,tas
2017,-1.6,4.75,9.75,15.35,18.5,Germany,DEU,tas
2018,-1.6,3.65,11.8,16.65,20.7,Germany,DEU,tas
2019,0.4,5.28,10.6,15.85,19.7,Germany,DEU,tas
2020,3.2,5.6,10.75,16.1,20.6,Germany,DEU,tas
