year,min,25%,50%,75%,max,country,iso3,tipo
1960,2.5,7.07,12.45,18.88,21.7,Germany,DEU,tasmax
1961,1.8,7.45,14.9,20.3,22.0,Germany,DEU,tasmax
1962,-0.3,4.35,13.4,18.3,21.3,Germany,DEU,tasmax
1963,-4.1,5.18,12.9,19.27,23.5,Germany,DEU,tasmax
1964,0.3,4.1,12.2,19.77,24.0,Germany,DEU,tasmax
1965,1.1,4.45,12.3,18.2,20.5,Germany,DEU,tasmax
1966,-0.2,6.08,13.85,18.88,22.2,Germany,DEU,tasmax
1967,2.7,6.85,13.5,18.92,24.4,Germany,DEU,tasmax
1968,0.2,5.57,14.5,18.82,21.5,Germany,DEU,tasmax
1969,-2.2,4.12,13.35,19.58,23.8,Germany,DEU,tasmax
1970,0.0,4.27,10.75,19.38,22.9,Germany,DEU,tasmax
1971,2.0,5.62,14.1,18.7,24.2,Germany,DEU,tasmax
1972,-0.0,6.52,11.7,16.83,22.8,Germany,DEU,tasmax
1973,2.2,5.82,10.6,20.28,24.2,Germany,DEU,tasmax
1974,5.6,7.35,11.95,18.38,22.7,Germany,DEU,tasmax
1975,3.6,6.57,11.1,20.05,24.7,Germany,DEU,tasmax
1976,1.5,5.22,12.85,19.53,25.2,Germany,DEU,tasmax
1977,2.5,7.3,12.3,17.88,21.4,Germany,DEU,tasmax
1978,1.9,6.05,12.3,17.27,20.3,Germany,DEU,tasmax
1979,-1.6,6.22,12.0,18.82,21.3,Germany,DEU,tasmax
1980,-0.2,5.68,11.3,19.15,21.7,Germany,DEU,tasmax
1981,0.5,6.2,12.45,19.33,21.5,Germany,DEU,tasmax
1982,1.0,7.65,12.65,21.5,24.4,Germany,DEU,tasmax
1983,1.9,6.9,13.4,19.6,26.6,Germany,DEU,tasmax
1984,2.4,5.72,13.25,16.9,22.6,Germany,DEU,tasmax
1985,-2.4,5.65,12.85,18.45,22.9,Germany,DEU,tasmax
1986,-2.7,6.3,12.4,19.67,22.5,Germany,DEU,tasmax
1987,-2.9,4.32,13.95,18.42,21.7,Germany,DEU,tasmax
1988,4.7,5.98,13.5,19.7,22.6,Germany,DEU,tasmax
1989,5.1,6.57,13.5,20.23,23.1,Germany,DEU,tasmax
1990,3.0,9.35,13.75,19.9,24.6,Germany,DEU,tasmax
1991,1.8,6.05,12.7,18.75,24.7,Germany,DEU,tasmax
1992,3.5,7.72,11.6,21.0,24.8,Germany,DEU,tasmax
1993,2.4,5.48,13.65,20.3,21.4,Germany,DEU,tasmax
1994,3.1,8.75,12.6,18.45,27.4,Germany,DEU,tasmax
1995,0.4,7.15,14.5,17.92,25.9,Germany,DEU,tasmax
1996,0.5,4.1,13.95,16.8,22.5,Germany,DEU,tasmax
1997,0.4,7.38,11.9,20.33,25.7,Germany,DEU,tasmax
1998,3.6,7.5,12.6,19.9,22.4,Germany,DEU,tasmax
1999,3.3,6.22,13.6,20.92,24.4,Germany,DEU,tasmax
2000,3.6,8.45,15.0,19.9,23.4,Germany,DEU,tasmax
2001,2.4,6.75,13.8,19.52,24.3,Germany,DEU,tasmax
2002,2.5,8.35,12.75,19.67,24.0,Germany,DEU,tasmax
2003,2.4,8.3,12.65,21.5,26.3,Germany,DEU,tasmax
2004,2.1,6.82,14.65,19.83,23.9,Germany,DEU,tasmax
2005,1.9,6.65,15.35,20.75,23.3,Germany,DEU,tasmax
2006,0.5,6.85,14.95,20.9,27.8,Germany,DEU,tasmax
2007,3.8,7.25,15.2,20.42,22.6,Germany,DEU,tasmax
2008,3.3,8.12,13.05,21.05,23.7,Germany,DEU,tasmax
2009,1.1,7.02,14.95,20.05,25.1,Germany,DEU,tasmax
2010,-1.4,6.2,13.7,18.62,26.5,Germany,DEU,tasmax
2011,3.4,7.85,16.15,21.02,23.3,Germany,DEU,tasmax
2012,1.1,7.3,13.4,20.3,24.7,Germany,DEU,tasmax
2013,1.7,5.9,14.15,18.73,25.7,Germany,DEU,tasmax
2014,4.6,9.3,16.15,20.3,24.8,Germany,DEU,tasmax
2015,4.4,10.0,13.6,19.0,26.0,Germany,DEU,tasmax
2016,3.6,7.02,12.7,22.38,24.0,Germany,DEU,tasmax
2017,1.4,7.45,14.05,20.78,23.8,Germany,DEU,tasmax
2018,1.3,6.52,17.15,22.4,26.7,Germany,DEU,tasmax
2019,2.7,8.25,15.5,21.08,25.2,Germany,DEU,tasmax
2020,5.3,9.7,15.45,21.4,26.2,Germany,DEU,tasmax
