year,min,25%,50%,75%,max,country,iso3,tipo
1960,0.6,1.4,2.25,2.95,5.2,Egypt,EGY,pr
1961,0.8,1.55,2.95,4.75,11.3,Egypt,EGY,pr
1962,0.6,1.28,1.75,2.73,6.5,Egypt,EGY,pr
1963,1.1,1.52,2.15,3.4,6.6,Egypt,EGY,pr
1964,0.6,1.52,2.45,3.23,6.9,Egypt,EGY,pr
1965,1.0,1.37,1.9,3.7,9.8,Egypt,EGY,pr
1966,1.2,1.9,3.1,5.42,7.6,Egypt,EGY,pr
1967,1.1,2.0,2.85,4.7,6.4,Egypt,EGY,pr
1968,1.1,2.48,2.95,3.45,7.9,Egypt,EGY,pr
1969,0.7,1.4,2.65,4.15,10.6,Egypt,EGY,pr
1970,0.7,1.65,2.15,2.9,4.7,Egypt,EGY,pr
1971,0.6,1.87,2.0,3.62,7.7,Egypt,EGY,pr
1972,1.0,2.08,2.3,3.2,6.7,Egypt,EGY,pr
1973,0.9,1.25,2.1,3.0,4.4,Egypt,EGY,pr
1974,0.4,1.4,2.0,4.03,16.7,Egypt,EGY,pr
1975,0.6,1.05,2.15,3.5,9.9,Egypt,EGY,pr
1976,0.9,2.17,2.55,2.92,4.2,Egypt,EGY,pr
1977,0.7,1.78,2.55,3.63,8.0,Egypt,EGY,pr
1978,0.9,1.55,2.65,3.45,6.8,Egypt,EGY,pr
1979,1.0,2.05,2.65,3.62,9.3,Egypt,EGY,pr
1980,0.6,1.48,2.25,2.7,5.9,Egypt,EGY,pr
1981,0.5,1.37,1.7,2.2,3.4,Egypt,EGY,pr
1982,1.3,2.33,3.4,4.3,8.4,Egypt,EGY,pr
1983,0.8,1.28,2.65,3.32,7.5,Egypt,EGY,pr
1984,0.8,1.25,2.1,2.85,4.5,Egypt,EGY,pr
1985,1.3,1.65,2.3,3.12,13.9,Egypt,EGY,pr
1986,0.7,1.98,2.7,3.7,6.8,Egypt,EGY,pr
1987,0.8,1.25,1.85,4.1,9.6,Egypt,EGY,pr
1988,1.3,1.67,2.5,5.32,11.7,Egypt,EGY,pr
1989,1.3,1.98,2.45,4.73,7.9,Egypt,EGY,pr
1990,0.9,1.78,2.6,3.42,6.2,Egypt,EGY,pr
1991,1.5,2.1,3.05,4.68,8.8,Egypt,EGY,pr
1992,0.5,1.37,1.95,3.55,8.0,Egypt,EGY,pr
1993,0.8,1.37,2.65,4.07,15.0,Egypt,EGY,pr
1994,1.1,1.52,2.75,4.3,11.4,Egypt,EGY,pr
1995,1.0,1.35,1.85,2.52,5.4,Egypt,EGY,pr
1996,1.1,1.68,2.25,2.8,4.8,Egypt,EGY,pr
1997,1.0,1.95,2.7,3.8,5.9,Egypt,EGY,pr
1998,0.7,1.7,2.75,3.5,10.2,Egypt,EGY,pr
1999,0.7,1.05,1.55,2.82,5.7,Egypt,EGY,pr
2000,1.3,1.8,2.4,3.47,8.3,Egypt,EGY,pr
2001,1.1,1.68,1.8,2.3,4.2,Egypt,EGY,pr
2002,0.8,1.25,2.2,3.7,7.7,Egypt,EGY,pr
2003,0.5,1.2,1.85,3.18,4.3,Egypt,EGY,pr
2004,0.6,1.4,2.3,3.12,7.4,Egypt,EGY,pr
2005,0.7,1.72,2.65,4.68,6.5,Egypt,EGY,pr
2006,0.9,1.23,2.7,2.95,4.0,Egypt,EGY,pr
2007,1.3,1.67,2.2,2.75,4.5,Egypt,EGY,pr
2008,0.4,1.17,1.85,2.85,8.2,Egypt,EGY,pr
2009,0.8,1.0,1.55,2.8,3.3,Egypt,EGY,pr
2010,0.4,0.8,1.7,2.62,4.4,Egypt,EGY,pr
2011,0.9,1.78,2.4,2.65,4.4,Egypt,EGY,pr
2012,1.5,1.58,2.15,2.73,4.9,Egypt,EGY,pr
2013,0.8,1.45,2.05,3.22,9.1,Egypt,EGY,pr
2014,0.9,1.62,2.85,3.75,7.7,Egypt,EGY,pr
2015,1.6,2.42,2.85,3.38,4.2,Egypt,EGY,pr
2016,1.4,1.58,2.3,2.68,5.2,Egypt,EGY,pr
2017,1.0,1.55,1.75,2.5,3.0,Egypt,EGY,pr
2018,1.4,2.03,2.8,5.28,13.7,Egypt,EGY,pr
2019,1.0,2.18,2.85,3.58,7.9,Egypt,EGY,pr
2020,1.4,1.9,2.45,4.23,7.8,Egypt,EGY,pr
