year,min,25%,50%,75%,max,country,iso3,tipo
1960,13.3,18.17,24.65,27.6,29.1,Egypt,EGY,tas
1961,12.9,15.45,22.55,26.75,30.4,Egypt,EGY,tas
1962,13.7,18.77,23.5,28.0,30.2,Egypt,EGY,tas
1963,14.8,16.9,24.35,28.3,29.9,Egypt,EGY,tas
1964,11.6,17.47,23.05,26.35,28.7,Egypt,EGY,tas
1965,13.2,17.25,22.15,27.78,29.4,Egypt,EGY,tas
1966,13.4,16.77,24.2,28.05,29.3,Egypt,EGY,tas
1967,11.9,15.12,22.75,27.15,29.1,Egypt,EGY,tas
1968,12.1,16.42,23.0,28.1,30.3,Egypt,EGY,tas
1969,12.2,18.8,22.95,28.05,29.9,Egypt,EGY,tas
1970,13.0,17.55,22.75,27.1,28.7,Egypt,EGY,tas
1971,13.7,16.95,21.85,27.25,29.1,Egypt,EGY,tas
1972,12.5,16.62,23.9,28.33,29.6,Egypt,EGY,tas
1973,12.7,16.7,23.15,27.45,29.7,Egypt,EGY,tas
1974,11.8,17.62,24.45,27.58,29.0,Egypt,EGY,tas
1975,12.0,17.02,23.6,27.2,28.9,Egypt,EGY,tas
1976,12.3,17.1,23.95,27.48,28.8,Egypt,EGY,tas
1977,12.9,16.42,21.95,27.75,29.6,Egypt,EGY,tas
1978,12.5,16.45,23.95,27.8,29.7,Egypt,EGY,tas
1979,13.1,18.6,24.4,27.67,29.8,Egypt,EGY,tas
1980,12.8,17.38,23.5,27.42,29.6,Egypt,EGY,tas
1981,11.2,16.45,24.5,27.45,29.4,Egypt,EGY,tas
1982,13.1,15.68,23.9,27.7,29.4,Egypt,EGY,tas
1983,10.9,15.38,21.7,27.32,29.6,Egypt,EGY,tas
1984,12.7,17.5,23.35,27.78,28.4,Egypt,EGY,tas
1985,14.1,17.8,22.35,27.65,29.6,Egypt,EGY,tas
1986,13.1,17.6,23.35,28.75,29.9,Egypt,EGY,tas
1987,13.9,16.95,21.9,27.85,29.9,Egypt,EGY,tas
1988,13.5,16.15,22.95,28.75,30.6,Egypt,EGY,tas
1989,11.1,16.88,24.05,28.33,30.0,Egypt,EGY,tas
1990,13.4,16.88,24.05,27.25,29.6,Egypt,EGY,tas
1991,12.6,17.97,24.6,27.4,29.2,Egypt,EGY,tas
1992,11.9,16.08,23.25,27.2,30.0,Egypt,EGY,tas
1993,12.5,16.88,24.4,28.35,30.0,Egypt,EGY,tas
1994,13.2,16.58,25.15,28.28,29.9,Egypt,EGY,tas
1995,13.1,16.77,23.0,29.38,31.0,Egypt,EGY,tas
1996,14.0,17.62,22.65,28.65,30.1,Egypt,EGY,tas
1997,13.0,16.02,22.7,27.85,30.3,Egypt,EGY,tas
1998,13.6,15.97,24.7,28.72,31.3,Egypt,EGY,tas
1999,14.0,17.7,23.7,28.78,30.7,Egypt,EGY,tas
2000,13.0,16.2,23.5,27.72,30.5,Egypt,EGY,tas
2001,13.9,18.0,23.75,28.58,31.0,Egypt,EGY,tas
2002,12.2,18.6,23.9,28.8,31.2,Egypt,EGY,tas
2003,14.0,16.18,24.15,28.7,30.5,Egypt,EGY,tas
2004,13.5,18.22,23.85,27.95,30.4,Egypt,EGY,tas
2005,13.8,17.8,23.5,28.78,30.7,Egypt,EGY,tas
2006,14.0,17.4,23.65,29.1,31.1,Egypt,EGY,tas
2007,13.1,17.73,24.1,28.13,30.7,Egypt,EGY,tas
2008,12.4,19.28,24.0,29.5,31.0,Egypt,EGY,tas
2009,14.9,17.25,24.6,28.98,30.3,Egypt,EGY,tas
2010,15.8,20.03,25.6,29.85,31.6,Egypt,EGY,tas
2011,14.3,17.02,23.35,28.55,30.7,Egypt,EGY,tas
2012,12.3,16.7,25.1,29.0,31.4,Egypt,EGY,tas
2013,14.4,19.33,23.05,28.83,30.2,Egypt,EGY,tas
2014,14.6,18.52,24.5,29.07,30.6,Egypt,EGY,tas
2015,13.3,18.73,24.15,29.5,31.4,Egypt,EGY,tas
2016,13.1,19.3,25.5,29.28,31.4,Egypt,EGY,tas
2017,13.2,18.18,23.65,29.12,31.3,Egypt,EGY,tas
2018,13.9,19.2,24.65,29.58,31.1,Egypt,EGY,tas
2019,12.9,16.88,24.15,29.13,31.2,Egypt,EGY,tas
2020,12.6,18.2,24.3,28.3,30.9,Egypt,EGY,tas
