year,min,25%,50%,75%,max,country,iso3,tipo
1960,20.5,25.7,32.25,34.9,36.3,Egypt,EGY,tasmax
1961,20.3,23.0,30.05,34.42,38.4,Egypt,EGY,tasmax
1962,20.8,26.5,31.0,35.2,37.4,Egypt,EGY,tasmax
1963,21.9,24.67,31.95,35.48,37.1,Egypt,EGY,tasmax
1964,18.8,24.48,30.7,33.65,36.3,Egypt,EGY,tasmax
1965,20.2,24.45,29.85,35.05,37.1,Egypt,EGY,tasmax
1966,20.5,24.4,31.75,35.12,37.0,Egypt,EGY,tasmax
1967,19.1,22.58,30.3,34.28,36.4,Egypt,EGY,tasmax
1968,19.3,24.0,30.6,35.42,38.0,Egypt,EGY,tasmax
1969,19.1,26.05,30.4,35.33,37.9,Egypt,EGY,tasmax
1970,20.1,24.62,30.25,34.48,36.1,Egypt,EGY,tasmax
1971,20.5,24.02,29.45,35.18,36.2,Egypt,EGY,tasmax
1972,19.5,24.05,31.45,35.52,36.7,Egypt,EGY,tasmax
1973,20.0,23.87,30.9,34.55,36.9,Egypt,EGY,tasmax
1974,18.9,24.82,32.25,34.72,36.2,Egypt,EGY,tasmax
1975,18.9,24.6,31.05,34.28,36.4,Egypt,EGY,tasmax
1976,19.2,24.52,31.5,34.88,36.3,Egypt,EGY,tasmax
1977,19.8,23.9,29.4,35.18,36.8,Egypt,EGY,tasmax
1978,19.6,23.4,31.5,35.15,36.8,Egypt,EGY,tasmax
1979,20.0,26.25,31.9,34.8,37.5,Egypt,EGY,tasmax
1980,19.9,24.8,31.05,35.45,36.6,Egypt,EGY,tasmax
1981,18.1,23.4,31.95,34.6,36.7,Egypt,EGY,tasmax
1982,20.2,23.0,31.6,34.98,36.4,Egypt,EGY,tasmax
1983,17.7,22.82,29.2,34.62,37.1,Egypt,EGY,tasmax
1984,19.7,24.58,30.95,35.38,36.0,Egypt,EGY,tasmax
1985,21.7,25.25,29.8,35.35,37.0,Egypt,EGY,tasmax
1986,20.1,24.6,30.85,36.03,37.1,Egypt,EGY,tasmax
1987,21.1,24.45,29.4,35.07,37.0,Egypt,EGY,tasmax
1988,20.3,23.28,30.5,36.17,37.7,Egypt,EGY,tasmax
1989,18.2,24.33,31.5,35.8,37.3,Egypt,EGY,tasmax
1990,20.3,24.32,31.65,34.58,36.9,Egypt,EGY,tasmax
1991,19.4,25.08,32.2,34.78,36.5,Egypt,EGY,tasmax
1992,19.2,23.32,30.8,34.4,37.8,Egypt,EGY,tasmax
1993,19.7,24.58,32.15,35.33,37.1,Egypt,EGY,tasmax
1994,20.3,23.93,32.9,35.58,37.5,Egypt,EGY,tasmax
1995,20.2,23.95,30.7,36.4,38.8,Egypt,EGY,tasmax
1996,20.9,25.0,30.3,36.35,37.3,Egypt,EGY,tasmax
1997,20.3,23.32,30.3,35.22,37.6,Egypt,EGY,tasmax
1998,20.5,23.3,32.1,35.97,38.7,Egypt,EGY,tasmax
1999,20.9,25.25,31.05,36.12,37.9,Egypt,EGY,tasmax
2000,19.9,23.5,31.0,34.88,37.5,Egypt,EGY,tasmax
2001,20.9,25.17,31.15,35.78,38.3,Egypt,EGY,tasmax
2002,18.9,25.95,31.4,36.3,38.3,Egypt,EGY,tasmax
2003,21.0,23.28,31.65,35.98,37.6,Egypt,EGY,tasmax
2004,20.2,25.65,31.25,35.75,37.6,Egypt,EGY,tasmax
2005,20.6,24.7,30.9,36.05,37.8,Egypt,EGY,tasmax
2006,20.8,24.45,31.15,36.15,38.2,Egypt,EGY,tasmax
2007,20.1,25.35,31.6,35.82,37.8,Egypt,EGY,tasmax
2008,19.3,26.2,31.55,36.55,38.5,Egypt,EGY,tasmax
2009,22.1,24.92,32.2,35.98,37.9,Egypt,EGY,tasmax
2010,22.8,27.6,33.2,36.9,38.7,Egypt,EGY,tasmax
2011,21.4,24.05,30.8,35.72,37.9,Egypt,EGY,tasmax
2012,19.4,24.22,32.7,36.25,38.6,Egypt,EGY,tasmax
2013,21.4,26.85,30.65,36.3,37.6,Egypt,EGY,tasmax
2014,21.7,25.75,32.05,36.2,37.6,Egypt,EGY,tasmax
2015,20.3,25.85,31.7,37.17,38.8,Egypt,EGY,tasmax
2016,20.0,26.45,33.05,36.22,39.2,Egypt,EGY,tasmax
2017,20.2,25.3,31.15,36.38,38.7,Egypt,EGY,tasmax
2018,20.9,26.08,32.1,36.67,39.0,Egypt,EGY,tasmax
2019,19.9,24.28,31.75,36.45,39.0,Egypt,EGY,tasmax
2020,19.5,25.1,32.15,35.95,38.2,Egypt,EGY,tasmax
