year,min,25%,50%,75%,max,country,iso3,tipo
1960,6.2,11.18,16.9,20.12,22.0,Egypt,EGY,tasmin
1961,5.7,7.92,15.05,19.22,22.5,Egypt,EGY,tasmin
1962,6.5,11.08,16.4,20.72,23.1,Egypt,EGY,tasmin
1963,7.5,9.2,16.7,21.18,22.8,Egypt,EGY,tasmin
1964,4.5,9.95,15.4,18.95,21.5,Egypt,EGY,tasmin
1965,6.3,9.92,14.5,20.4,22.3,Egypt,EGY,tasmin
1966,6.3,9.25,16.6,20.75,22.2,Egypt,EGY,tasmin
1967,4.7,7.92,15.2,20.0,21.9,Egypt,EGY,tasmin
1968,5.0,8.93,15.4,21.17,22.6,Egypt,EGY,tasmin
1969,5.3,11.62,15.55,20.7,22.1,Egypt,EGY,tasmin
1970,6.0,9.88,15.2,19.45,21.5,Egypt,EGY,tasmin
1971,7.0,9.92,14.25,20.15,22.1,Egypt,EGY,tasmin
1972,5.6,8.98,16.45,20.8,22.5,Egypt,EGY,tasmin
1973,5.4,8.92,15.45,20.18,22.5,Egypt,EGY,tasmin
1974,4.7,10.0,16.45,20.38,22.0,Egypt,EGY,tasmin
1975,5.2,9.55,16.2,20.03,21.7,Egypt,EGY,tasmin
1976,5.5,9.75,16.45,20.22,21.5,Egypt,EGY,tasmin
1977,6.1,9.02,14.5,20.62,22.7,Egypt,EGY,tasmin
1978,5.5,9.5,16.45,20.25,22.7,Egypt,EGY,tasmin
1979,6.1,11.08,16.95,20.6,22.6,Egypt,EGY,tasmin
1980,5.8,10.03,16.0,20.0,22.6,Egypt,EGY,tasmin
1981,4.4,9.62,16.85,20.25,22.4,Egypt,EGY,tasmin
1982,6.0,8.38,16.1,20.45,22.3,Egypt,EGY,tasmin
1983,4.1,8.0,14.25,20.15,22.2,Egypt,EGY,tasmin
1984,5.8,9.98,15.8,20.23,21.3,Egypt,EGY,tasmin
1985,6.6,10.42,14.95,20.27,22.5,Egypt,EGY,tasmin
1986,6.2,10.6,15.65,21.38,22.8,Egypt,EGY,tasmin
1987,6.7,9.42,14.45,20.72,22.9,Egypt,EGY,tasmin
1988,6.6,9.2,15.45,21.75,23.7,Egypt,EGY,tasmin
1989,4.1,9.42,16.55,21.0,22.7,Egypt,EGY,tasmin
1990,6.4,9.8,16.45,20.15,22.3,Egypt,EGY,tasmin
1991,5.8,10.45,17.0,20.15,21.9,Egypt,EGY,tasmin
1992,4.7,8.85,15.55,20.23,23.0,Egypt,EGY,tasmin
1993,5.3,9.52,16.45,21.18,22.9,Egypt,EGY,tasmin
1994,6.2,9.3,17.25,20.82,22.7,Egypt,EGY,tasmin
1995,5.9,9.7,15.4,22.35,23.3,Egypt,EGY,tasmin
1996,7.1,10.25,15.05,21.02,22.9,Egypt,EGY,tasmin
1997,5.8,8.72,15.15,20.5,23.1,Egypt,EGY,tasmin
1998,6.7,8.73,17.4,21.35,24.0,Egypt,EGY,tasmin
1999,7.1,10.25,16.4,21.1,23.5,Egypt,EGY,tasmin
2000,6.1,8.9,16.05,20.55,23.6,Egypt,EGY,tasmin
2001,7.0,11.0,16.4,20.98,23.8,Egypt,EGY,tasmin
2002,5.6,11.28,16.5,21.38,24.0,Egypt,EGY,tasmin
2003,6.9,9.08,16.75,21.6,23.5,Egypt,EGY,tasmin
2004,6.7,10.95,16.55,20.83,23.2,Egypt,EGY,tasmin
2005,6.9,10.55,16.2,21.4,23.6,Egypt,EGY,tasmin
2006,7.2,10.42,16.3,22.05,24.0,Egypt,EGY,tasmin
2007,6.0,10.2,16.7,21.02,23.7,Egypt,EGY,tasmin
2008,5.6,12.05,16.5,22.42,23.9,Egypt,EGY,tasmin
2009,7.7,9.7,16.65,21.88,23.2,Egypt,EGY,tasmin
2010,8.9,12.55,17.65,22.75,24.6,Egypt,EGY,tasmin
2011,7.3,10.0,15.9,21.48,23.7,Egypt,EGY,tasmin
2012,5.3,9.35,17.55,21.82,24.3,Egypt,EGY,tasmin
2013,7.5,11.68,15.55,21.48,22.8,Egypt,EGY,tasmin
2014,7.6,11.1,17.0,21.85,23.7,Egypt,EGY,tasmin
2015,6.4,11.1,16.7,21.92,24.1,Egypt,EGY,tasmin
2016,6.2,11.72,18.05,22.35,23.7,Egypt,EGY,tasmin
2017,6.3,10.68,16.2,21.9,24.2,Egypt,EGY,tasmin
2018,6.9,12.32,17.2,22.12,23.9,Egypt,EGY,tasmin
2019,5.9,9.6,16.65,21.72,24.2,Egypt,EGY,tasmin
2020,5.8,10.88,16.55,20.88,23.7,Egypt,EGY,tasmin
