year,min,25%,50%,75%,max,country,iso3,tipo
1960,23.5,71.0,84.6,104.6,163.8,France,FRA,pr
1961,7.4,53.12,59.55,86.25,101.4,France,FRA,pr
1962,26.0,48.95,66.7,79.9,100.2,France,FRA,pr
1963,36.2,50.7,64.3,85.85,133.1,France,FRA,pr
1964,22.0,55.62,64.95,67.32,89.3,France,FRA,pr
1965,16.3,54.7,78.65,101.12,150.2,France,FRA,pr
1966,34.5,65.65,72.9,99.4,140.3,France,FRA,pr
1967,29.1,42.12,59.65,76.65,97.6,France,FRA,pr
1968,38.5,63.6,75.55,84.32,118.4,France,FRA,pr
1969,17.8,60.02,74.05,81.42,102.8,France,FRA,pr
1970,38.1,55.22,68.6,82.12,106.4,France,FRA,pr
1971,27.3,45.38,68.5,84.3,95.7,France,FRA,pr
1972,53.6,57.42,67.75,82.25,103.2,France,FRA,pr
1973,17.3,48.35,59.75,74.45,81.6,France,FRA,pr
1974,43.6,61.25,66.4,89.52,117.3,France,FRA,pr
1975,28.5,45.15,64.6,89.68,119.0,France,FRA,pr
1976,11.6,38.12,55.25,87.82,125.1,France,FRA,pr
1977,16.2,77.1,88.75,98.68,121.9,France,FRA,pr
1978,16.1,40.55,71.5,95.12,121.7,France,FRA,pr
1979,31.2,63.3,78.35,103.98,139.7,France,FRA,pr
1980,31.5,56.92,69.3,84.72,94.5,France,FRA,pr
1981,32.2,44.82,78.25,98.62,154.2,France,FRA,pr
1982,21.8,64.32,69.45,90.93,128.7,France,FRA,pr
1983,40.0,54.8,59.3,73.43,125.5,France,FRA,pr
1984,21.1,57.05,64.95,107.02,131.2,France,FRA,pr
1985,17.5,46.82,61.25,67.28,116.2,France,FRA,pr
1986,32.7,57.82,69.4,79.45,118.5,France,FRA,pr
1987,46.6,57.82,64.05,81.62,146.3,France,FRA,pr
1988,40.4,54.95,71.4,95.92,134.5,France,FRA,pr
1989,26.5,41.5,45.65,64.2,131.5,France,FRA,pr
1990,16.5,44.18,63.35,76.35,116.7,France,FRA,pr
1991,25.2,37.92,55.1,77.12,98.0,France,FRA,pr
1992,25.1,55.18,65.6,92.35,123.0,France,FRA,pr
1993,17.9,42.6,69.65,107.28,156.2,France,FRA,pr
1994,34.6,59.92,79.1,88.07,146.9,France,FRA,pr
1995,28.3,52.72,68.7,93.85,119.0,France,FRA,pr
1996,37.4,51.82,66.95,82.45,158.5,France,FRA,pr
1997,12.0,44.63,60.4,89.3,125.7,France,FRA,pr
1998,18.6,41.25,55.25,89.68,143.1,France,FRA,pr
1999,56.3,63.3,78.7,87.52,130.8,France,FRA,pr
2000,24.1,55.15,73.55,100.72,141.1,France,FRA,pr
2001,37.6,52.45,68.15,93.78,137.9,France,FRA,pr
2002,36.9,60.28,78.85,92.6,146.0,France,FRA,pr
2003,28.8,44.98,51.7,78.68,106.7,France,FRA,pr
2004,30.2,42.65,54.55,78.62,124.9,France,FRA,pr
2005,36.8,41.98,55.45,64.65,90.2,France,FRA,pr
2006,33.2,53.58,68.8,82.2,105.2,France,FRA,pr
2007,34.1,52.0,65.85,84.98,119.9,France,FRA,pr
2008,37.0,69.95,78.15,89.2,105.3,France,FRA,pr
2009,35.9,53.4,57.3,77.65,108.8,France,FRA,pr
2010,30.9,63.2,71.65,78.72,101.7,France,FRA,pr
2011,20.6,44.3,50.8,71.9,123.3,France,FRA,pr
2012,11.2,50.85,73.15,92.18,120.9,France,FRA,pr
2013,43.4,66.08,74.85,88.3,117.5,France,FRA,pr
2014,36.1,54.02,74.4,101.95,125.2,France,FRA,pr
2015,25.0,53.45,58.5,68.3,90.2,France,FRA,pr
2016,19.5,38.8,73.7,94.82,105.7,France,FRA,pr
2017,29.2,50.3,63.0,69.93,104.0,France,FRA,pr
2018,26.5,53.18,75.0,86.25,125.0,France,FRA,pr
2019,33.6,43.45,56.05,77.32,143.5,France,FRA,pr
2020,18.1,52.1,62.95,78.47,121.3,France,FRA,pr
