year,min,25%,50%,75%,max,country,iso3,tipo
1960,3.1,7.2,10.35,15.15,17.7,France,FRA,tas
1961,3.2,7.13,12.05,16.95,18.6,France,FRA,tas
1962,1.0,4.57,10.3,15.58,18.7,France,FRA,tas
1963,-1.7,4.97,10.45,15.27,18.6,France,FRA,tas
1964,0.8,5.33,9.6,16.75,19.7,France,FRA,tas
1965,1.4,6.15,10.35,14.25,17.1,France,FRA,tas
1966,2.3,5.87,11.65,16.58,17.1,France,FRA,tas
1967,2.5,6.5,10.6,15.35,19.9,France,FRA,tas
1968,3.0,6.02,10.75,15.27,17.8,France,FRA,tas
1969,1.0,5.78,10.95,15.03,19.2,France,FRA,tas
1970,2.2,4.38,9.75,16.88,18.3,France,FRA,tas
1971,2.7,4.22,11.3,15.08,19.7,France,FRA,tas
1972,3.2,6.8,9.75,13.45,18.1,France,FRA,tas
1973,2.6,5.22,8.95,16.85,20.1,France,FRA,tas
1974,5.4,7.12,8.5,14.85,18.6,France,FRA,tas
1975,2.5,5.9,9.55,15.88,19.8,France,FRA,tas
1976,3.1,5.5,10.3,15.75,20.3,France,FRA,tas
1977,3.6,6.85,10.15,14.65,17.6,France,FRA,tas
1978,3.1,5.85,9.6,15.15,17.2,France,FRA,tas
1979,1.4,6.1,10.25,15.82,18.6,France,FRA,tas
1980,2.0,5.92,9.5,15.28,18.8,France,FRA,tas
1981,2.5,6.2,10.65,16.0,18.8,France,FRA,tas
1982,4.6,5.95,10.35,17.52,20.3,France,FRA,tas
1983,2.3,6.45,10.25,16.53,22.2,France,FRA,tas
1984,3.4,4.98,9.85,14.97,18.9,France,FRA,tas
1985,-1.3,4.85,11.1,15.8,19.5,France,FRA,tas
1986,-0.6,5.63,10.45,15.5,18.9,France,FRA,tas
1987,-1.2,4.77,11.0,15.6,18.6,France,FRA,tas
1988,4.7,6.25,11.5,15.72,18.7,France,FRA,tas
1989,3.9,6.5,11.15,16.52,20.3,France,FRA,tas
1990,2.8,8.22,11.1,15.92,20.6,France,FRA,tas
1991,1.9,5.93,9.9,15.75,20.9,France,FRA,tas
1992,2.4,6.92,9.55,15.62,20.1,France,FRA,tas
1993,3.2,5.98,10.4,15.27,18.7,France,FRA,tas
1994,5.0,8.02,11.1,15.55,21.6,France,FRA,tas
1995,3.9,7.07,11.7,15.05,21.3,France,FRA,tas
1996,2.9,5.72,11.05,15.08,18.7,France,FRA,tas
1997,2.0,7.98,11.3,16.53,21.4,France,FRA,tas
1998,4.4,5.72,10.4,16.38,19.8,France,FRA,tas
1999,4.1,5.8,11.25,16.9,20.3,France,FRA,tas
2000,3.5,7.52,11.2,17.12,19.9,France,FRA,tas
2001,2.4,5.85,11.5,15.48,20.1,France,FRA,tas
2002,4.5,8.35,11.4,16.15,18.6,France,FRA,tas
2003,2.8,7.67,10.65,17.38,21.3,France,FRA,tas
2004,3.9,6.08,11.6,17.4,19.7,France,FRA,tas
2005,2.3,5.83,12.35,17.4,20.0,France,FRA,tas
2006,2.5,6.05,12.25,17.77,22.8,France,FRA,tas
2007,4.0,7.1,12.2,15.88,18.2,France,FRA,tas
2008,3.4,6.78,10.5,15.58,19.2,France,FRA,tas
2009,1.8,6.45,11.85,17.15,20.7,France,FRA,tas
2010,1.2,5.85,11.25,16.0,20.9,France,FRA,tas
2011,3.9,7.88,13.1,17.32,19.4,France,FRA,tas
2012,1.0,7.3,11.15,16.5,20.7,France,FRA,tas
2013,2.5,5.48,10.55,16.42,21.5,France,FRA,tas
2014,5.3,8.25,12.65,17.8,19.3,France,FRA,tas
2015,3.7,7.88,11.45,16.05,21.4,France,FRA,tas
2016,4.7,6.52,10.6,17.52,20.3,France,FRA,tas
2017,2.0,6.92,11.9,16.32,20.1,France,FRA,tas
2018,2.3,6.98,12.9,18.15,22.0,France,FRA,tas
2019,3.5,7.35,11.6,17.7,21.7,France,FRA,tas
2020,5.7,8.07,12.25,17.4,21.2,France,FRA,tas
