year,min,25%,50%,75%,max,country,iso3,tipo
1960,-0.2,3.32,6.25,10.38,12.5,France,FRA,tasmin
1961,0.3,3.1,7.3,11.6,13.1,France,FRA,tasmin
1962,-2.5,1.42,5.8,10.02,12.9,France,FRA,tasmin
1963,-4.7,1.15,6.35,11.05,13.2,France,FRA,tasmin
1964,-2.1,1.92,5.4,11.52,13.6,France,FRA,tasmin
1965,-2.1,2.53,6.05,9.75,12.1,France,FRA,tasmin
1966,-0.7,2.25,7.15,11.3,12.1,France,FRA,tasmin
1967,-0.3,3.02,5.65,10.25,14.0,France,FRA,tasmin
1968,-0.2,2.05,5.9,10.65,12.6,France,FRA,tasmin
1969,-1.7,2.3,6.2,10.28,13.5,France,FRA,tasmin
1970,-0.6,1.15,5.7,11.45,13.3,France,FRA,tasmin
1971,-0.6,1.28,6.05,10.15,13.8,France,FRA,tasmin
1972,0.5,2.82,5.4,8.5,12.7,France,FRA,tasmin
1973,-0.0,0.5,4.35,11.48,14.5,France,FRA,tasmin
1974,2.2,3.68,4.4,10.27,12.9,France,FRA,tasmin
1975,-0.0,2.72,5.25,10.9,14.3,France,FRA,tasmin
1976,0.4,1.17,5.95,10.77,14.5,France,FRA,tasmin
1977,1.1,3.58,5.85,9.6,12.9,France,FRA,tasmin
1978,0.3,2.2,5.2,10.17,12.3,France,FRA,tasmin
1979,-1.6,2.78,5.8,10.75,13.1,France,FRA,tasmin
1980,-0.7,2.42,5.2,10.65,13.7,France,FRA,tasmin
1981,-1.1,2.75,6.6,11.2,13.3,France,FRA,tasmin
1982,1.4,2.15,6.5,12.3,14.7,France,FRA,tasmin
1983,-0.9,2.62,6.0,11.58,16.2,France,FRA,tasmin
1984,0.1,1.25,6.1,10.45,13.1,France,FRA,tasmin
1985,-4.5,1.12,6.2,10.7,14.0,France,FRA,tasmin
1986,-3.6,1.67,6.55,10.45,13.4,France,FRA,tasmin
1987,-3.9,1.8,6.1,11.0,13.8,France,FRA,tasmin
1988,1.1,3.0,7.2,11.0,13.2,France,FRA,tasmin
1989,0.5,2.9,6.4,11.15,14.7,France,FRA,tasmin
1990,-0.0,4.18,7.0,10.62,14.6,France,FRA,tasmin
1991,-2.1,2.92,6.05,11.02,14.9,France,FRA,tasmin
1992,-0.5,3.28,5.95,10.85,15.0,France,FRA,tasmin
1993,-0.1,2.22,6.65,10.9,13.0,France,FRA,tasmin
1994,1.6,4.28,7.65,11.22,15.9,France,FRA,tasmin
1995,1.0,3.28,7.0,10.55,15.7,France,FRA,tasmin
1996,-0.1,2.15,6.45,9.85,13.2,France,FRA,tasmin
1997,-0.7,4.03,6.6,11.45,16.1,France,FRA,tasmin
1998,1.4,1.82,6.75,11.88,13.8,France,FRA,tasmin
1999,1.0,2.62,7.15,11.98,14.9,France,FRA,tasmin
2000,0.6,3.9,7.25,12.25,14.4,France,FRA,tasmin
2001,-0.7,2.63,7.45,10.9,14.8,France,FRA,tasmin
2002,1.1,4.15,7.15,11.2,13.9,France,FRA,tasmin
2003,-0.6,3.42,6.15,11.72,15.4,France,FRA,tasmin
2004,1.0,2.05,6.75,12.25,14.8,France,FRA,tasmin
2005,-0.8,2.15,7.45,12.15,14.6,France,FRA,tasmin
2006,-0.3,2.35,7.5,12.8,16.7,France,FRA,tasmin
2007,0.8,3.6,7.15,10.77,13.4,France,FRA,tasmin
2008,0.7,3.0,6.1,10.62,14.0,France,FRA,tasmin
2009,-1.5,2.15,7.4,11.9,14.6,France,FRA,tasmin
2010,-1.6,1.7,6.4,10.72,15.2,France,FRA,tasmin
2011,1.0,3.58,7.9,12.05,14.2,France,FRA,tasmin
2012,-3.0,3.78,6.95,11.28,14.9,France,FRA,tasmin
2013,-0.6,1.82,6.15,11.5,15.7,France,FRA,tasmin
2014,2.6,3.58,7.75,12.45,14.3,France,FRA,tasmin
2015,0.2,4.35,6.9,10.92,15.7,France,FRA,tasmin
2016,1.3,2.75,6.1,12.72,14.4,France,FRA,tasmin
2017,-1.3,3.42,7.2,11.1,14.7,France,FRA,tasmin
2018,-1.1,4.25,8.15,12.45,16.0,France,FRA,tasmin
2019,0.5,4.1,6.5,12.35,15.7,France,FRA,tasmin
2020,2.8,4.08,7.65,12.2,15.6,France,FRA,tasmin
