year,min,25%,50%,75%,max,country,iso3,tipo
1960,2.5,4.7,8.7,12.45,14.5,United Kingdom,GBR,tas
1961,1.6,5.55,9.0,12.98,13.9,United Kingdom,GBR,tas
1962,1.8,3.55,7.65,11.6,13.2,United Kingdom,GBR,tas
1963,-1.4,4.25,8.05,12.02,13.5,United Kingdom,GBR,tas
1964,2.7,3.6,7.75,12.45,14.4,United Kingdom,GBR,tas
1965,2.3,3.55,8.35,11.55,13.5,United Kingdom,GBR,tas
1966,2.1,4.4,7.4,12.92,13.8,United Kingdom,GBR,tas
1967,3.6,4.78,7.9,12.5,14.8,United Kingdom,GBR,tas
1968,1.0,4.75,7.6,12.77,14.2,United Kingdom,GBR,tas
1969,0.2,3.65,7.95,12.72,15.1,United Kingdom,GBR,tas
1970,1.9,3.38,7.95,13.08,14.6,United Kingdom,GBR,tas
1971,3.8,5.18,8.55,11.75,15.2,United Kingdom,GBR,tas
1972,3.1,5.12,8.45,10.72,14.2,United Kingdom,GBR,tas
1973,3.4,4.8,7.1,12.98,14.9,United Kingdom,GBR,tas
1974,4.6,5.48,7.05,11.2,13.8,United Kingdom,GBR,tas
1975,3.9,5.12,7.9,12.23,16.7,United Kingdom,GBR,tas
1976,1.4,4.45,8.25,12.8,16.5,United Kingdom,GBR,tas
1977,2.0,5.1,7.7,11.58,14.7,United Kingdom,GBR,tas
1978,1.4,4.97,8.9,12.45,13.8,United Kingdom,GBR,tas
1979,-0.3,4.22,7.4,12.1,14.4,United Kingdom,GBR,tas
1980,1.7,4.57,7.8,12.77,14.4,United Kingdom,GBR,tas
1981,0.4,5.62,6.8,12.35,14.9,United Kingdom,GBR,tas
1982,1.9,4.68,8.4,12.92,15.2,United Kingdom,GBR,tas
1983,1.2,5.35,7.7,12.35,17.1,United Kingdom,GBR,tas
1984,2.2,4.32,8.1,12.38,15.9,United Kingdom,GBR,tas
1985,0.2,3.45,8.45,11.82,14.6,United Kingdom,GBR,tas
1986,-1.1,4.47,8.05,10.88,14.3,United Kingdom,GBR,tas
1987,0.6,4.45,8.5,11.62,14.6,United Kingdom,GBR,tas
1988,3.8,5.1,8.2,12.42,14.0,United Kingdom,GBR,tas
1989,3.6,5.75,8.3,12.88,16.4,United Kingdom,GBR,tas
1990,3.6,5.8,8.8,11.98,16.1,United Kingdom,GBR,tas
1991,1.4,5.32,8.0,11.62,15.9,United Kingdom,GBR,tas
1992,3.1,5.75,7.1,12.42,14.8,United Kingdom,GBR,tas
1993,3.9,4.57,7.7,11.78,13.8,United Kingdom,GBR,tas
1994,2.5,5.72,8.95,11.9,15.9,United Kingdom,GBR,tas
1995,1.8,4.82,8.95,12.65,17.2,United Kingdom,GBR,tas
1996,2.2,3.85,7.75,12.7,15.1,United Kingdom,GBR,tas
1997,2.1,6.55,8.65,12.72,17.0,United Kingdom,GBR,tas
1998,4.3,6.05,7.9,12.85,14.5,United Kingdom,GBR,tas
1999,3.6,5.58,9.0,12.92,15.8,United Kingdom,GBR,tas
2000,4.0,5.57,7.95,13.08,15.1,United Kingdom,GBR,tas
2001,2.8,3.98,9.0,12.3,15.1,United Kingdom,GBR,tas
2002,4.6,6.07,8.4,13.12,15.4,United Kingdom,GBR,tas
2003,3.4,5.95,8.45,13.38,16.3,United Kingdom,GBR,tas
2004,4.1,5.32,8.8,13.52,16.0,United Kingdom,GBR,tas
2005,3.4,5.55,8.85,13.72,15.2,United Kingdom,GBR,tas
2006,3.4,5.03,8.9,14.42,17.2,United Kingdom,GBR,tas
2007,4.5,5.95,10.05,12.8,14.4,United Kingdom,GBR,tas
2008,3.2,5.07,7.85,12.58,15.3,United Kingdom,GBR,tas
2009,2.7,5.22,9.5,13.18,15.4,United Kingdom,GBR,tas
2010,0.1,3.8,8.6,13.13,15.6,United Kingdom,GBR,tas
2011,2.9,5.45,10.25,12.9,14.0,United Kingdom,GBR,tas
2012,4.0,5.4,7.95,12.1,15.4,United Kingdom,GBR,tas
2013,2.4,5.02,7.85,12.82,16.7,United Kingdom,GBR,tas
2014,4.3,6.1,10.0,13.88,16.3,United Kingdom,GBR,tas
2015,3.4,6.58,8.8,12.1,14.7,United Kingdom,GBR,tas
2016,3.6,5.22,8.05,13.98,15.5,United Kingdom,GBR,tas
2017,3.9,5.57,9.4,12.9,15.1,United Kingdom,GBR,tas
2018,2.1,5.43,8.95,12.9,16.8,United Kingdom,GBR,tas
2019,3.7,5.7,8.8,13.1,16.2,United Kingdom,GBR,tas
2020,4.4,5.48,9.1,13.15,15.8,United Kingdom,GBR,tas
