year,min,25%,50%,75%,max,country,iso3,tipo
1960,5.4,7.57,12.15,16.6,19.4,United Kingdom,GBR,tasmax
1961,4.5,8.38,12.55,17.42,18.1,United Kingdom,GBR,tasmax
1962,5.1,6.52,11.7,15.3,17.2,United Kingdom,GBR,tasmax
1963,1.3,7.45,11.85,15.85,17.8,United Kingdom,GBR,tasmax
1964,5.8,6.25,11.45,16.58,18.5,United Kingdom,GBR,tasmax
1965,5.0,6.35,12.25,15.0,17.7,United Kingdom,GBR,tasmax
1966,4.3,7.22,10.6,16.73,17.9,United Kingdom,GBR,tasmax
1967,6.0,7.87,11.45,16.4,19.1,United Kingdom,GBR,tasmax
1968,3.9,7.55,11.8,16.35,18.1,United Kingdom,GBR,tasmax
1969,2.9,6.5,12.15,16.7,19.6,United Kingdom,GBR,tasmax
1970,5.0,6.38,11.1,16.78,19.6,United Kingdom,GBR,tasmax
1971,6.3,8.25,12.5,15.82,20.0,United Kingdom,GBR,tasmax
1972,5.4,8.15,12.15,14.77,18.5,United Kingdom,GBR,tasmax
1973,6.2,7.95,10.85,17.05,19.3,United Kingdom,GBR,tasmax
1974,7.3,8.28,10.75,14.92,18.1,United Kingdom,GBR,tasmax
1975,6.9,7.9,11.7,16.58,21.6,United Kingdom,GBR,tasmax
1976,3.8,7.18,11.7,16.62,21.7,United Kingdom,GBR,tasmax
1977,4.6,7.78,11.85,15.3,19.0,United Kingdom,GBR,tasmax
1978,4.2,8.1,12.15,16.23,17.4,United Kingdom,GBR,tasmax
1979,2.8,6.78,11.25,16.25,18.7,United Kingdom,GBR,tasmax
1980,4.2,7.35,11.65,16.55,18.2,United Kingdom,GBR,tasmax
1981,3.4,8.55,10.55,16.23,19.4,United Kingdom,GBR,tasmax
1982,5.0,8.17,12.15,17.0,19.7,United Kingdom,GBR,tasmax
1983,4.0,8.25,10.9,15.85,22.2,United Kingdom,GBR,tasmax
1984,5.0,7.08,12.6,15.95,20.8,United Kingdom,GBR,tasmax
1985,3.0,6.85,12.1,15.9,18.5,United Kingdom,GBR,tasmax
1986,1.3,7.55,11.4,15.2,18.2,United Kingdom,GBR,tasmax
1987,3.0,7.05,12.3,15.35,18.5,United Kingdom,GBR,tasmax
1988,6.7,8.5,11.75,16.02,18.0,United Kingdom,GBR,tasmax
1989,6.3,8.75,11.75,17.12,21.5,United Kingdom,GBR,tasmax
1990,6.2,8.57,12.55,16.5,20.6,United Kingdom,GBR,tasmax
1991,4.5,8.3,11.35,15.7,20.2,United Kingdom,GBR,tasmax
1992,5.8,8.88,10.55,17.15,19.2,United Kingdom,GBR,tasmax
1993,6.5,7.52,11.1,15.55,17.7,United Kingdom,GBR,tasmax
1994,5.2,8.88,11.95,15.52,20.6,United Kingdom,GBR,tasmax
1995,4.3,7.9,13.35,16.6,22.6,United Kingdom,GBR,tasmax
1996,4.9,6.28,11.9,16.85,19.4,United Kingdom,GBR,tasmax
1997,4.7,9.72,12.7,16.58,21.4,United Kingdom,GBR,tasmax
1998,6.8,9.02,11.1,16.47,18.8,United Kingdom,GBR,tasmax
1999,6.3,8.7,12.55,17.02,20.4,United Kingdom,GBR,tasmax
2000,6.7,8.35,11.35,16.85,19.5,United Kingdom,GBR,tasmax
2001,5.4,7.07,12.45,16.28,19.2,United Kingdom,GBR,tasmax
2002,6.6,9.3,12.1,17.05,19.3,United Kingdom,GBR,tasmax
2003,5.8,9.02,12.5,17.85,20.9,United Kingdom,GBR,tasmax
2004,6.3,8.45,12.05,17.27,19.7,United Kingdom,GBR,tasmax
2005,5.7,8.22,12.85,17.6,19.2,United Kingdom,GBR,tasmax
2006,5.8,7.4,12.85,18.55,22.4,United Kingdom,GBR,tasmax
2007,7.0,9.15,14.1,16.72,18.3,United Kingdom,GBR,tasmax
2008,5.8,8.3,11.5,16.88,19.4,United Kingdom,GBR,tasmax
2009,5.1,8.65,13.1,17.2,19.4,United Kingdom,GBR,tasmax
2010,2.8,6.38,12.6,17.05,19.7,United Kingdom,GBR,tasmax
2011,5.3,8.98,14.25,17.02,18.4,United Kingdom,GBR,tasmax
2012,6.5,7.98,11.55,15.92,19.4,United Kingdom,GBR,tasmax
2013,5.2,7.45,11.95,16.78,21.7,United Kingdom,GBR,tasmax
2014,6.7,9.42,13.5,18.02,21.0,United Kingdom,GBR,tasmax
2015,6.2,9.25,12.75,16.27,18.8,United Kingdom,GBR,tasmax
2016,6.5,8.2,11.8,17.9,19.7,United Kingdom,GBR,tasmax
2017,6.4,8.25,12.95,17.17,19.4,United Kingdom,GBR,tasmax
2018,5.0,7.68,12.5,17.52,21.8,United Kingdom,GBR,tasmax
2019,6.2,8.82,12.55,17.2,20.6,United Kingdom,GBR,tasmax
2020,6.6,8.68,12.95,17.38,19.8,United Kingdom,GBR,tasmax
