year,min,25%,50%,75%,max,country,iso3,tipo
1960,-0.6,1.92,5.25,8.55,10.2,United Kingdom,GBR,tasmin
1961,-1.4,2.72,5.1,8.55,9.9,United Kingdom,GBR,tasmin
1962,-1.9,0.62,3.65,7.6,9.4,United Kingdom,GBR,tasmin
1963,-4.1,1.05,4.35,8.2,9.5,United Kingdom,GBR,tasmin
1964,-0.3,1.08,4.1,8.2,10.3,United Kingdom,GBR,tasmin
1965,-0.3,0.52,4.4,8.02,9.3,United Kingdom,GBR,tasmin
1966,-0.0,1.7,4.0,9.15,9.8,United Kingdom,GBR,tasmin
1967,1.1,1.67,4.15,8.3,10.6,United Kingdom,GBR,tasmin
1968,-1.9,1.48,3.85,8.9,10.3,United Kingdom,GBR,tasmin
1969,-2.5,0.75,3.95,8.48,11.1,United Kingdom,GBR,tasmin
1970,-1.3,0.92,4.85,9.3,10.4,United Kingdom,GBR,tasmin
1971,1.1,1.93,4.6,7.85,10.5,United Kingdom,GBR,tasmin
1972,0.9,1.95,4.75,6.67,9.8,United Kingdom,GBR,tasmin
1973,0.3,1.42,3.45,8.85,10.5,United Kingdom,GBR,tasmin
1974,1.4,2.63,4.05,7.5,9.8,United Kingdom,GBR,tasmin
1975,0.9,2.22,3.95,7.93,11.8,United Kingdom,GBR,tasmin
1976,-1.0,1.9,4.75,8.98,11.4,United Kingdom,GBR,tasmin
1977,-0.6,2.45,3.8,7.88,10.4,United Kingdom,GBR,tasmin
1978,-1.4,1.93,5.15,8.52,10.2,United Kingdom,GBR,tasmin
1979,-3.4,1.6,3.6,8.08,10.2,United Kingdom,GBR,tasmin
1980,-0.9,1.8,4.0,9.0,10.6,United Kingdom,GBR,tasmin
1981,-2.7,2.27,3.5,8.65,10.5,United Kingdom,GBR,tasmin
1982,-1.1,1.28,4.4,8.88,10.8,United Kingdom,GBR,tasmin
1983,-1.5,2.32,4.7,8.75,12.0,United Kingdom,GBR,tasmin
1984,-0.6,1.55,4.35,8.9,11.0,United Kingdom,GBR,tasmin
1985,-2.5,0.15,4.6,7.9,10.7,United Kingdom,GBR,tasmin
1986,-3.6,1.05,4.7,6.8,10.4,United Kingdom,GBR,tasmin
1987,-1.9,1.78,4.65,7.98,10.7,United Kingdom,GBR,tasmin
1988,1.0,1.95,5.15,8.75,10.3,United Kingdom,GBR,tasmin
1989,0.9,2.3,4.75,8.32,11.3,United Kingdom,GBR,tasmin
1990,1.0,2.92,5.0,8.02,11.6,United Kingdom,GBR,tasmin
1991,-1.6,2.5,4.6,7.62,11.9,United Kingdom,GBR,tasmin
1992,0.4,2.62,3.65,8.82,10.9,United Kingdom,GBR,tasmin
1993,1.3,1.9,4.45,7.95,10.0,United Kingdom,GBR,tasmin
1994,-0.2,2.7,5.5,8.3,11.1,United Kingdom,GBR,tasmin
1995,-0.6,1.83,4.8,8.57,11.8,United Kingdom,GBR,tasmin
1996,-0.8,1.62,3.7,8.32,10.7,United Kingdom,GBR,tasmin
1997,-0.5,3.22,5.4,8.85,12.7,United Kingdom,GBR,tasmin
1998,1.8,3.08,4.9,9.25,10.5,United Kingdom,GBR,tasmin
1999,1.0,2.52,5.45,8.88,11.3,United Kingdom,GBR,tasmin
2000,1.4,2.78,4.65,9.3,10.9,United Kingdom,GBR,tasmin
2001,0.2,1.0,5.3,9.02,11.1,United Kingdom,GBR,tasmin
2002,2.6,2.77,5.45,9.25,11.6,United Kingdom,GBR,tasmin
2003,0.3,2.35,4.7,8.98,12.1,United Kingdom,GBR,tasmin
2004,1.5,2.42,5.55,9.83,12.2,United Kingdom,GBR,tasmin
2005,1.0,2.98,4.9,9.85,11.3,United Kingdom,GBR,tasmin
2006,1.0,2.8,5.45,10.05,12.1,United Kingdom,GBR,tasmin
2007,1.9,3.12,5.8,8.98,10.6,United Kingdom,GBR,tasmin
2008,0.7,2.43,4.6,8.8,11.9,United Kingdom,GBR,tasmin
2009,0.2,1.88,5.65,9.12,11.4,United Kingdom,GBR,tasmin
2010,-2.7,0.77,4.15,9.12,11.5,United Kingdom,GBR,tasmin
2011,0.5,2.38,6.35,8.8,10.2,United Kingdom,GBR,tasmin
2012,1.5,2.4,4.35,8.35,11.4,United Kingdom,GBR,tasmin
2013,-0.4,2.05,4.15,8.8,11.8,United Kingdom,GBR,tasmin
2014,1.9,2.78,6.25,9.65,11.7,United Kingdom,GBR,tasmin
2015,0.6,2.62,5.55,7.95,10.7,United Kingdom,GBR,tasmin
2016,0.7,2.15,4.75,10.15,11.3,United Kingdom,GBR,tasmin
2017,1.4,2.92,5.55,9.25,11.0,United Kingdom,GBR,tasmin
2018,-0.8,3.3,5.4,8.68,11.9,United Kingdom,GBR,tasmin
2019,1.3,2.88,4.7,9.12,11.9,United Kingdom,GBR,tasmin
2020,2.0,2.95,5.65,9.02,11.8,United Kingdom,GBR,tasmin
