year,min,25%,50%,75%,max,country,iso3,tipo
1960,25.2,25.5,25.7,25.92,26.1,Indonesia,IDN,tas
1961,25.0,25.28,25.75,25.9,26.0,Indonesia,IDN,tas
1962,25.0,25.3,25.5,25.8,26.1,Indonesia,IDN,tas
1963,25.0,25.17,25.65,26.0,26.2,Indonesia,IDN,tas
1964,25.1,25.4,25.55,25.92,26.1,Indonesia,IDN,tas
1965,25.0,25.32,25.5,25.75,26.3,Indonesia,IDN,tas
1966,25.0,25.55,25.75,25.92,26.2,Indonesia,IDN,tas
1967,25.0,25.4,25.55,25.72,25.9,Indonesia,IDN,tas
1968,25.2,25.37,25.7,25.8,25.9,Indonesia,IDN,tas
1969,25.3,25.67,25.8,26.02,26.2,Indonesia,IDN,tas
1970,25.2,25.6,25.85,26.02,26.1,Indonesia,IDN,tas
1971,25.1,25.3,25.55,25.8,26.0,Indonesia,IDN,tas
1972,25.2,25.58,25.7,26.05,26.4,Indonesia,IDN,tas
1973,25.6,25.7,26.0,26.13,26.4,Indonesia,IDN,tas
1974,25.1,25.37,25.6,25.9,26.0,Indonesia,IDN,tas
1975,25.3,25.5,25.6,25.72,26.0,Indonesia,IDN,tas
1976,24.9,25.2,25.45,25.8,25.9,Indonesia,IDN,tas
1977,25.1,25.28,25.6,25.9,26.1,Indonesia,IDN,tas
1978,25.3,25.58,25.65,25.83,26.2,Indonesia,IDN,tas
1979,25.3,25.6,25.75,26.0,26.1,Indonesia,IDN,tas
1980,25.3,25.6,25.8,26.02,26.3,Indonesia,IDN,tas
1981,25.3,25.7,25.95,26.1,26.3,Indonesia,IDN,tas
1982,25.3,25.65,25.75,26.0,26.3,Indonesia,IDN,tas
1983,25.5,25.75,25.95,26.22,26.6,Indonesia,IDN,tas
1984,25.1,25.3,25.55,25.8,25.8,Indonesia,IDN,tas
1985,25.0,25.65,25.85,25.92,26.1,Indonesia,IDN,tas
1986,25.4,25.7,25.85,26.0,26.3,Indonesia,IDN,tas
1987,25.6,25.78,26.15,26.33,26.5,Indonesia,IDN,tas
1988,25.5,25.75,26.0,26.22,26.4,Indonesia,IDN,tas
1989,25.5,25.6,25.8,26.02,26.1,Indonesia,IDN,tas
1990,25.5,25.78,26.05,26.3,26.6,Indonesia,IDN,tas
1991,25.7,25.8,25.95,26.2,26.4,Indonesia,IDN,tas
1992,25.4,25.87,26.0,26.15,26.4,Indonesia,IDN,tas
1993,25.6,25.7,25.95,26.1,26.3,Indonesia,IDN,tas
1994,25.6,25.8,26.0,26.2,26.3,Indonesia,IDN,tas
1995,25.6,25.87,26.0,26.15,26.4,Indonesia,IDN,tas
1996,25.6,25.85,26.05,26.22,26.3,Indonesia,IDN,tas
1997,25.7,25.95,26.2,26.3,26.5,Indonesia,IDN,tas
1998,25.8,26.17,26.4,26.63,26.9,Indonesia,IDN,tas
1999,25.6,25.9,26.0,26.1,26.4,Indonesia,IDN,tas
2000,25.6,25.8,26.1,26.3,26.4,Indonesia,IDN,tas
2001,25.7,25.98,26.05,26.3,26.4,Indonesia,IDN,tas
2002,25.8,26.0,26.2,26.5,26.7,Indonesia,IDN,tas
2003,25.6,25.9,26.1,26.25,26.7,Indonesia,IDN,tas
2004,25.6,25.98,26.1,26.25,26.7,Indonesia,IDN,tas
2005,25.8,26.0,26.1,26.25,26.5,Indonesia,IDN,tas
2006,25.6,25.78,26.05,26.22,26.3,Indonesia,IDN,tas
2007,25.7,25.87,26.0,26.15,26.4,Indonesia,IDN,tas
2008,25.4,25.67,25.95,26.2,26.3,Indonesia,IDN,tas
2009,25.7,25.9,26.3,26.42,26.6,Indonesia,IDN,tas
2010,25.8,26.08,26.3,26.5,26.7,Indonesia,IDN,tas
2011,25.8,25.87,26.05,26.3,26.4,Indonesia,IDN,tas
2012,25.6,26.08,26.2,26.4,26.5,Indonesia,IDN,tas
2013,25.8,26.08,26.3,26.42,26.5,Indonesia,IDN,tas
2014,25.6,25.9,26.35,26.5,26.7,Indonesia,IDN,tas
2015,25.8,26.0,26.3,26.6,26.7,Indonesia,IDN,tas
2016,25.9,26.3,26.4,26.55,26.9,Indonesia,IDN,tas
2017,25.9,26.08,26.2,26.4,26.6,Indonesia,IDN,tas
2018,25.9,26.0,26.25,26.42,26.6,Indonesia,IDN,tas
2019,25.8,26.17,26.4,26.6,26.8,Indonesia,IDN,tas
2020,25.9,26.17,26.45,26.52,26.8,Indonesia,IDN,tas
