year,min,25%,50%,75%,max,country,iso3,tipo
1960,30.0,30.25,30.7,30.7,31.3,Indonesia,IDN,tasmax
1961,29.9,30.17,30.5,30.7,31.0,Indonesia,IDN,tasmax
1962,29.7,30.08,30.25,30.52,30.9,Indonesia,IDN,tasmax
1963,29.3,30.1,30.65,30.78,31.2,Indonesia,IDN,tasmax
1964,29.9,30.3,30.35,30.6,30.8,Indonesia,IDN,tasmax
1965,29.6,30.17,30.4,30.63,31.3,Indonesia,IDN,tasmax
1966,30.0,30.3,30.5,30.9,31.0,Indonesia,IDN,tasmax
1967,29.9,30.15,30.4,30.63,31.1,Indonesia,IDN,tasmax
1968,29.9,30.15,30.5,30.72,30.9,Indonesia,IDN,tasmax
1969,30.2,30.4,30.7,30.95,31.2,Indonesia,IDN,tasmax
1970,30.0,30.4,30.65,30.9,31.1,Indonesia,IDN,tasmax
1971,29.8,30.17,30.3,30.83,30.9,Indonesia,IDN,tasmax
1972,29.8,30.5,30.8,31.05,31.6,Indonesia,IDN,tasmax
1973,30.3,30.7,30.8,30.9,31.4,Indonesia,IDN,tasmax
1974,29.9,30.32,30.65,30.9,31.2,Indonesia,IDN,tasmax
1975,30.2,30.3,30.55,30.9,31.1,Indonesia,IDN,tasmax
1976,29.5,30.2,30.55,30.83,31.0,Indonesia,IDN,tasmax
1977,29.7,30.17,30.4,30.9,31.3,Indonesia,IDN,tasmax
1978,30.1,30.37,30.5,30.75,31.1,Indonesia,IDN,tasmax
1979,30.3,30.4,30.75,30.83,31.4,Indonesia,IDN,tasmax
1980,30.2,30.3,30.65,31.0,31.3,Indonesia,IDN,tasmax
1981,29.9,30.55,30.8,31.02,31.4,Indonesia,IDN,tasmax
1982,30.1,30.58,30.75,31.13,31.5,Indonesia,IDN,tasmax
1983,30.3,30.65,30.85,31.22,31.5,Indonesia,IDN,tasmax
1984,29.7,30.12,30.3,30.52,30.9,Indonesia,IDN,tasmax
1985,30.0,30.5,30.6,30.75,31.0,Indonesia,IDN,tasmax
1986,29.8,30.5,30.7,30.83,31.3,Indonesia,IDN,tasmax
1987,30.0,30.67,31.05,31.1,31.4,Indonesia,IDN,tasmax
1988,30.0,30.55,30.7,30.95,31.3,Indonesia,IDN,tasmax
1989,30.0,30.37,30.55,30.8,31.0,Indonesia,IDN,tasmax
1990,30.1,30.78,30.9,31.15,31.4,Indonesia,IDN,tasmax
1991,30.3,30.58,30.85,31.0,31.2,Indonesia,IDN,tasmax
1992,30.3,30.6,30.9,31.02,31.2,Indonesia,IDN,tasmax
1993,30.2,30.58,30.75,30.9,31.2,Indonesia,IDN,tasmax
1994,30.3,30.58,30.75,30.92,31.2,Indonesia,IDN,tasmax
1995,30.3,30.48,30.7,31.0,31.4,Indonesia,IDN,tasmax
1996,30.0,30.6,30.75,31.13,31.3,Indonesia,IDN,tasmax
1997,30.3,30.8,31.0,31.1,31.4,Indonesia,IDN,tasmax
1998,30.7,30.85,31.25,31.42,31.6,Indonesia,IDN,tasmax
1999,30.3,30.48,30.7,31.1,31.2,Indonesia,IDN,tasmax
2000,30.2,30.7,30.85,31.1,31.3,Indonesia,IDN,tasmax
2001,30.2,30.78,30.95,31.02,31.3,Indonesia,IDN,tasmax
2002,30.5,30.9,31.05,31.25,31.6,Indonesia,IDN,tasmax
2003,30.4,30.6,30.85,31.13,31.5,Indonesia,IDN,tasmax
2004,30.4,30.6,31.0,31.13,31.5,Indonesia,IDN,tasmax
2005,30.4,30.67,30.95,31.1,31.2,Indonesia,IDN,tasmax
2006,30.3,30.6,30.85,30.92,31.3,Indonesia,IDN,tasmax
2007,30.2,30.58,30.75,30.83,31.3,Indonesia,IDN,tasmax
2008,30.0,30.35,30.6,30.92,31.2,Indonesia,IDN,tasmax
2009,30.0,30.67,30.95,31.22,31.4,Indonesia,IDN,tasmax
2010,30.3,30.75,30.95,31.2,31.4,Indonesia,IDN,tasmax
2011,30.2,30.58,30.75,30.9,31.2,Indonesia,IDN,tasmax
2012,30.3,30.7,30.95,31.13,31.5,Indonesia,IDN,tasmax
2013,30.6,30.67,30.95,31.2,31.4,Indonesia,IDN,tasmax
2014,29.9,30.75,31.05,31.3,31.5,Indonesia,IDN,tasmax
2015,30.2,30.9,31.05,31.3,31.7,Indonesia,IDN,tasmax
2016,30.6,30.87,31.15,31.25,31.5,Indonesia,IDN,tasmax
2017,30.7,30.78,30.95,31.02,31.5,Indonesia,IDN,tasmax
2018,30.4,30.85,31.1,31.22,31.5,Indonesia,IDN,tasmax
2019,30.9,31.08,31.1,31.33,31.4,Indonesia,IDN,tasmax
2020,30.7,30.95,31.2,31.4,31.5,Indonesia,IDN,tasmax
