year,min,25%,50%,75%,max,country,iso3,tipo
1960,20.4,20.67,21.0,21.2,21.3,Indonesia,IDN,tasmin
1961,19.9,20.3,20.95,21.22,21.3,Indonesia,IDN,tasmin
1962,20.1,20.58,20.95,21.1,21.3,Indonesia,IDN,tasmin
1963,20.0,20.72,20.85,21.15,21.3,Indonesia,IDN,tasmin
1964,20.1,20.6,20.75,21.4,21.5,Indonesia,IDN,tasmin
1965,20.0,20.45,20.75,20.92,21.4,Indonesia,IDN,tasmin
1966,20.1,20.75,21.05,21.12,21.4,Indonesia,IDN,tasmin
1967,20.1,20.45,20.8,21.0,21.1,Indonesia,IDN,tasmin
1968,20.3,20.58,20.9,21.0,21.2,Indonesia,IDN,tasmin
1969,20.3,20.82,21.1,21.25,21.5,Indonesia,IDN,tasmin
1970,20.2,20.9,21.05,21.3,21.5,Indonesia,IDN,tasmin
1971,20.2,20.67,20.8,20.95,21.2,Indonesia,IDN,tasmin
1972,20.2,20.5,20.75,20.95,21.7,Indonesia,IDN,tasmin
1973,20.6,20.88,21.1,21.42,21.7,Indonesia,IDN,tasmin
1974,20.1,20.58,20.7,21.0,21.0,Indonesia,IDN,tasmin
1975,20.2,20.6,20.75,20.83,21.2,Indonesia,IDN,tasmin
1976,19.9,20.2,20.55,20.72,21.0,Indonesia,IDN,tasmin
1977,20.0,20.48,20.9,20.92,21.2,Indonesia,IDN,tasmin
1978,20.4,20.65,20.9,21.05,21.4,Indonesia,IDN,tasmin
1979,20.4,20.85,20.95,21.1,21.2,Indonesia,IDN,tasmin
1980,20.3,20.75,20.95,21.1,21.4,Indonesia,IDN,tasmin
1981,20.8,20.8,21.05,21.2,21.5,Indonesia,IDN,tasmin
1982,20.0,20.45,21.0,21.12,21.5,Indonesia,IDN,tasmin
1983,20.6,21.0,21.2,21.5,21.8,Indonesia,IDN,tasmin
1984,20.3,20.65,20.7,20.95,21.1,Indonesia,IDN,tasmin
1985,20.1,20.72,21.15,21.2,21.4,Indonesia,IDN,tasmin
1986,20.6,20.95,21.05,21.33,21.4,Indonesia,IDN,tasmin
1987,20.7,21.0,21.4,21.6,21.7,Indonesia,IDN,tasmin
1988,20.8,20.98,21.25,21.63,21.8,Indonesia,IDN,tasmin
1989,20.7,20.9,21.05,21.33,21.6,Indonesia,IDN,tasmin
1990,20.6,21.08,21.3,21.5,21.8,Indonesia,IDN,tasmin
1991,20.6,20.9,21.3,21.5,21.6,Indonesia,IDN,tasmin
1992,20.6,20.95,21.3,21.45,21.7,Indonesia,IDN,tasmin
1993,20.7,21.1,21.25,21.42,21.6,Indonesia,IDN,tasmin
1994,20.6,21.05,21.35,21.52,21.7,Indonesia,IDN,tasmin
1995,20.8,21.22,21.4,21.5,21.8,Indonesia,IDN,tasmin
1996,20.8,21.2,21.35,21.45,21.7,Indonesia,IDN,tasmin
1997,20.9,21.17,21.35,21.6,21.9,Indonesia,IDN,tasmin
1998,20.9,21.45,21.6,22.0,22.2,Indonesia,IDN,tasmin
1999,20.7,21.08,21.3,21.42,21.6,Indonesia,IDN,tasmin
2000,20.7,21.1,21.35,21.52,21.7,Indonesia,IDN,tasmin
2001,21.0,21.2,21.4,21.52,21.7,Indonesia,IDN,tasmin
2002,20.8,21.25,21.45,21.65,21.9,Indonesia,IDN,tasmin
2003,20.8,21.12,21.4,21.6,21.9,Indonesia,IDN,tasmin
2004,20.8,21.05,21.45,21.63,22.0,Indonesia,IDN,tasmin
2005,21.1,21.25,21.35,21.63,21.8,Indonesia,IDN,tasmin
2006,20.8,21.0,21.35,21.42,21.8,Indonesia,IDN,tasmin
2007,20.8,21.28,21.5,21.52,21.8,Indonesia,IDN,tasmin
2008,20.7,21.05,21.2,21.5,21.8,Indonesia,IDN,tasmin
2009,21.0,21.28,21.45,21.75,21.9,Indonesia,IDN,tasmin
2010,21.3,21.4,21.65,21.92,22.1,Indonesia,IDN,tasmin
2011,20.9,21.32,21.45,21.7,22.0,Indonesia,IDN,tasmin
2012,20.9,21.37,21.6,21.8,22.0,Indonesia,IDN,tasmin
2013,21.0,21.4,21.7,21.83,22.0,Indonesia,IDN,tasmin
2014,20.9,21.25,21.65,21.83,22.1,Indonesia,IDN,tasmin
2015,21.0,21.4,21.6,21.83,22.1,Indonesia,IDN,tasmin
2016,21.3,21.5,21.8,22.02,22.3,Indonesia,IDN,tasmin
2017,20.9,21.28,21.7,21.8,22.0,Indonesia,IDN,tasmin
2018,21.1,21.2,21.45,21.7,21.8,Indonesia,IDN,tasmin
2019,20.8,21.3,21.75,21.92,22.3,Indonesia,IDN,tasmin
2020,21.0,21.4,21.65,21.95,22.2,Indonesia,IDN,tasmin
