year,min,25%,50%,75%,max,country,iso3,tipo
1960,2.9,15.82,39.4,137.75,286.7,India,IND,pr
1961,7.6,19.75,41.65,190.58,279.6,India,IND,pr
1962,14.0,17.12,44.7,141.55,270.7,India,IND,pr
1963,7.3,18.98,41.2,149.15,283.6,India,IND,pr
1964,5.0,10.42,39.0,150.2,323.6,India,IND,pr
1965,7.8,16.83,30.5,113.43,281.1,India,IND,pr
1966,10.1,15.95,50.8,148.9,245.8,India,IND,pr
1967,5.6,22.07,38.9,153.3,292.3,India,IND,pr
1968,8.0,18.23,35.45,143.08,254.1,India,IND,pr
1969,6.1,15.58,42.05,128.77,305.1,India,IND,pr
1970,1.2,16.67,40.25,211.45,310.8,India,IND,pr
1971,8.6,12.95,51.45,167.95,264.1,India,IND,pr
1972,5.4,16.55,34.6,114.85,206.2,India,IND,pr
1973,11.6,15.32,41.8,153.22,290.4,India,IND,pr
1974,5.2,8.45,44.8,126.62,258.5,India,IND,pr
1975,2.9,16.82,36.6,197.22,281.9,India,IND,pr
1976,4.1,12.32,39.3,151.9,278.5,India,IND,pr
1977,8.8,11.18,70.9,151.75,284.9,India,IND,pr
1978,8.7,24.95,47.4,171.3,269.2,India,IND,pr
1979,11.2,21.7,46.25,152.2,231.3,India,IND,pr
1980,6.2,17.65,33.1,136.52,270.7,India,IND,pr
1981,9.2,23.15,42.45,153.17,296.4,India,IND,pr
1982,7.2,23.02,47.65,124.78,233.0,India,IND,pr
1983,10.8,18.0,47.05,163.32,278.8,India,IND,pr
1984,9.8,15.03,40.45,144.35,267.7,India,IND,pr
1985,6.0,15.97,41.05,129.38,274.1,India,IND,pr
1986,10.6,19.05,45.7,134.33,244.3,India,IND,pr
1987,10.8,23.88,39.7,117.88,258.8,India,IND,pr
1988,4.6,19.6,42.05,174.18,325.4,India,IND,pr
1989,6.7,15.08,32.05,147.52,274.4,India,IND,pr
1990,6.0,27.08,55.5,168.22,284.6,India,IND,pr
1991,11.7,14.0,40.65,143.83,229.9,India,IND,pr
1992,4.1,14.45,41.7,116.8,236.9,India,IND,pr
1993,7.3,19.25,41.5,154.2,262.9,India,IND,pr
1994,5.7,19.35,37.5,143.3,306.6,India,IND,pr
1995,7.1,21.38,38.0,142.67,293.8,India,IND,pr
1996,10.0,15.52,34.2,147.7,258.5,India,IND,pr
1997,5.5,29.38,50.9,137.4,265.5,India,IND,pr
1998,8.0,22.18,45.5,146.88,270.9,India,IND,pr
1999,4.8,13.32,41.65,143.9,246.9,India,IND,pr
2000,8.4,13.25,39.65,136.52,266.4,India,IND,pr
2001,5.6,12.42,51.85,120.88,241.3,India,IND,pr
2002,6.2,13.35,38.65,130.07,238.6,India,IND,pr
2003,7.6,16.77,28.2,143.05,283.2,India,IND,pr
2004,5.3,13.02,45.3,134.88,244.5,India,IND,pr
2005,9.6,19.58,36.35,142.48,263.0,India,IND,pr
2006,5.1,25.72,54.05,145.5,288.5,India,IND,pr
2007,2.2,20.33,39.45,166.73,261.8,India,IND,pr
2008,9.3,16.7,39.1,173.02,274.0,India,IND,pr
2009,5.7,11.92,55.9,107.72,261.9,India,IND,pr
2010,7.5,14.85,54.95,155.35,282.6,India,IND,pr
2011,4.3,16.85,36.2,181.5,286.1,India,IND,pr
2012,4.9,16.8,34.45,128.67,260.6,India,IND,pr
2013,7.2,19.35,37.35,170.38,318.6,India,IND,pr
2014,8.9,18.25,39.55,127.95,251.4,India,IND,pr
2015,11.7,28.42,46.6,156.45,251.1,India,IND,pr
2016,8.1,11.0,38.65,151.25,313.8,India,IND,pr
2017,6.9,17.3,44.5,159.1,300.1,India,IND,pr
2018,2.8,10.35,38.0,146.07,281.1,India,IND,pr
2019,11.3,16.55,36.6,154.73,299.5,India,IND,pr
2020,10.6,23.75,48.85,165.02,291.2,India,IND,pr
