year,min,25%,50%,75%,max,country,iso3,tipo
1960,16.9,20.68,25.45,27.12,30.1,India,IND,tas
1961,16.4,19.55,25.2,26.98,29.9,India,IND,tas
1962,16.1,20.3,24.9,27.4,29.7,India,IND,tas
1963,16.6,21.15,25.5,26.95,29.2,India,IND,tas
1964,16.5,20.02,25.4,27.05,29.6,India,IND,tas
1965,17.7,20.87,25.6,26.7,29.8,India,IND,tas
1966,17.3,21.28,25.45,27.8,30.0,India,IND,tas
1967,16.7,20.48,25.1,27.02,29.8,India,IND,tas
1968,16.3,20.25,25.35,27.02,29.4,India,IND,tas
1969,17.1,21.4,25.7,27.35,29.7,India,IND,tas
1970,17.1,20.1,25.5,27.48,30.5,India,IND,tas
1971,16.7,19.95,25.1,26.8,29.0,India,IND,tas
1972,17.1,20.25,25.35,27.38,30.3,India,IND,tas
1973,17.1,20.48,25.25,27.63,30.7,India,IND,tas
1974,16.5,19.92,25.75,27.52,29.6,India,IND,tas
1975,16.2,19.6,25.3,26.9,30.3,India,IND,tas
1976,17.0,21.6,25.45,27.15,29.6,India,IND,tas
1977,16.9,21.68,25.65,27.07,28.8,India,IND,tas
1978,16.5,21.08,25.55,26.8,30.9,India,IND,tas
1979,17.8,21.58,25.95,27.78,30.0,India,IND,tas
1980,17.5,21.2,25.8,27.45,30.9,India,IND,tas
1981,17.0,20.23,25.7,27.15,29.9,India,IND,tas
1982,17.8,20.6,25.85,27.4,29.3,India,IND,tas
1983,16.9,19.9,25.35,26.92,29.8,India,IND,tas
1984,16.9,19.9,25.1,27.05,30.9,India,IND,tas
1985,17.5,20.62,25.9,27.1,30.4,India,IND,tas
1986,17.2,21.05,25.55,27.12,29.5,India,IND,tas
1987,17.5,21.3,26.2,27.95,30.1,India,IND,tas
1988,18.3,20.92,25.65,27.35,31.0,India,IND,tas
1989,16.6,20.78,25.6,27.15,30.2,India,IND,tas
1990,18.3,21.13,25.25,26.88,29.5,India,IND,tas
1991,16.8,20.78,25.5,27.52,30.2,India,IND,tas
1992,17.1,20.48,25.3,27.63,29.9,India,IND,tas
1993,17.5,21.2,25.65,27.35,30.3,India,IND,tas
1994,17.7,20.65,25.55,26.75,30.6,India,IND,tas
1995,16.3,21.0,26.0,27.33,30.6,India,IND,tas
1996,17.8,20.88,25.6,27.52,30.3,India,IND,tas
1997,16.7,20.95,25.2,26.83,29.2,India,IND,tas
1998,17.5,21.35,26.15,27.78,31.0,India,IND,tas
1999,17.0,21.6,25.85,27.62,29.8,India,IND,tas
2000,17.9,21.33,26.15,27.42,30.1,India,IND,tas
2001,17.6,21.82,26.2,27.28,30.4,India,IND,tas
2002,17.5,21.4,25.9,28.28,31.0,India,IND,tas
2003,17.6,21.42,25.7,27.5,30.3,India,IND,tas
2004,17.4,21.28,26.25,27.9,30.1,India,IND,tas
2005,17.5,20.8,25.75,27.32,30.4,India,IND,tas
2006,18.1,21.95,26.05,27.48,30.5,India,IND,tas
2007,18.1,21.48,25.95,27.9,30.6,India,IND,tas
2008,17.6,21.48,25.95,27.38,30.1,India,IND,tas
2009,19.0,21.8,26.2,27.98,30.7,India,IND,tas
2010,17.6,22.2,26.35,28.18,31.1,India,IND,tas
2011,16.9,21.75,26.05,27.42,30.5,India,IND,tas
2012,16.8,20.8,25.65,27.8,30.7,India,IND,tas
2013,17.2,20.8,25.85,27.25,30.8,India,IND,tas
2014,17.6,21.22,25.95,27.92,30.6,India,IND,tas
2015,17.1,21.9,26.45,27.42,30.7,India,IND,tas
2016,18.0,21.37,26.1,27.78,30.6,India,IND,tas
2017,17.8,21.4,26.55,27.72,30.8,India,IND,tas
2018,17.8,21.65,25.95,27.58,30.5,India,IND,tas
2019,17.2,21.6,25.85,28.15,30.7,India,IND,tas
2020,17.0,21.07,26.45,27.92,30.2,India,IND,tas
