year,min,25%,50%,75%,max,country,iso3,tipo
1960,24.0,28.3,30.3,31.87,36.9,India,IND,tasmax
1961,23.4,26.15,30.15,32.42,36.5,India,IND,tasmax
1962,23.4,27.3,30.1,32.17,36.4,India,IND,tasmax
1963,24.1,27.9,30.75,32.08,35.8,India,IND,tasmax
1964,23.6,27.2,30.45,33.02,36.3,India,IND,tasmax
1965,24.8,27.92,30.7,31.72,36.3,India,IND,tasmax
1966,24.5,28.2,30.85,32.62,36.9,India,IND,tasmax
1967,23.9,27.9,30.15,31.98,36.6,India,IND,tasmax
1968,23.2,27.4,30.7,32.33,36.1,India,IND,tasmax
1969,24.1,28.3,30.8,33.45,36.2,India,IND,tasmax
1970,24.3,27.12,30.6,31.95,37.1,India,IND,tasmax
1971,23.6,26.92,30.2,31.48,35.5,India,IND,tasmax
1972,24.4,27.18,30.85,32.55,37.2,India,IND,tasmax
1973,23.9,27.65,30.35,32.15,37.4,India,IND,tasmax
1974,23.7,27.1,30.95,32.78,36.2,India,IND,tasmax
1975,23.3,26.6,30.2,31.67,37.0,India,IND,tasmax
1976,24.0,28.3,30.75,31.88,36.3,India,IND,tasmax
1977,24.0,28.22,30.65,33.17,35.2,India,IND,tasmax
1978,23.5,27.6,30.1,31.75,37.6,India,IND,tasmax
1979,24.6,27.7,30.8,32.53,36.2,India,IND,tasmax
1980,24.4,28.0,30.8,31.9,37.5,India,IND,tasmax
1981,23.5,27.12,30.55,32.03,36.4,India,IND,tasmax
1982,24.5,26.82,30.65,32.65,35.5,India,IND,tasmax
1983,23.7,26.88,30.35,32.12,35.9,India,IND,tasmax
1984,23.5,26.92,30.35,32.82,37.7,India,IND,tasmax
1985,24.2,27.55,30.4,33.28,37.0,India,IND,tasmax
1986,24.0,27.83,30.8,32.05,36.2,India,IND,tasmax
1987,24.5,28.35,31.25,32.88,35.6,India,IND,tasmax
1988,25.3,27.87,30.8,32.1,37.5,India,IND,tasmax
1989,23.6,27.65,30.8,31.88,37.0,India,IND,tasmax
1990,25.1,27.83,30.15,31.38,35.8,India,IND,tasmax
1991,23.7,27.48,30.9,32.28,36.7,India,IND,tasmax
1992,23.9,27.1,30.45,32.3,36.1,India,IND,tasmax
1993,24.3,27.98,30.55,32.02,36.8,India,IND,tasmax
1994,24.7,27.22,30.5,32.88,37.2,India,IND,tasmax
1995,23.0,27.68,30.75,32.15,36.5,India,IND,tasmax
1996,24.6,27.82,30.45,32.82,36.8,India,IND,tasmax
1997,23.7,27.3,30.55,32.0,35.7,India,IND,tasmax
1998,24.4,28.02,30.85,32.35,37.6,India,IND,tasmax
1999,24.1,28.58,30.95,32.88,36.3,India,IND,tasmax
2000,24.8,28.15,30.95,32.3,36.4,India,IND,tasmax
2001,24.7,28.65,31.2,32.15,37.0,India,IND,tasmax
2002,24.5,28.15,30.95,32.85,37.6,India,IND,tasmax
2003,24.7,28.22,30.85,32.3,36.8,India,IND,tasmax
2004,24.3,28.15,30.9,33.62,36.7,India,IND,tasmax
2005,24.4,27.65,30.9,32.62,36.2,India,IND,tasmax
2006,25.0,28.95,31.25,32.12,37.0,India,IND,tasmax
2007,25.2,28.35,31.1,32.38,37.1,India,IND,tasmax
2008,24.3,28.32,31.0,32.78,36.5,India,IND,tasmax
2009,25.9,28.67,31.4,33.25,37.2,India,IND,tasmax
2010,24.7,29.05,31.2,34.05,37.6,India,IND,tasmax
2011,23.8,28.65,31.15,32.47,37.0,India,IND,tasmax
2012,23.6,27.68,30.8,32.48,37.3,India,IND,tasmax
2013,24.3,27.72,30.95,32.4,37.3,India,IND,tasmax
2014,24.4,28.02,30.95,32.62,36.4,India,IND,tasmax
2015,23.9,28.62,31.15,32.42,37.2,India,IND,tasmax
2016,24.9,28.32,31.25,33.25,37.2,India,IND,tasmax
2017,24.6,28.22,31.35,32.5,37.4,India,IND,tasmax
2018,24.7,28.38,31.1,33.08,37.0,India,IND,tasmax
2019,24.1,28.22,30.9,32.9,37.1,India,IND,tasmax
2020,23.7,27.8,31.35,32.47,36.7,India,IND,tasmax
