year,min,25%,50%,75%,max,country,iso3,tipo
1960,9.8,13.23,19.45,23.05,24.3,India,IND,tasmin
1961,9.4,13.0,19.5,22.9,23.6,India,IND,tasmin
1962,8.8,13.32,19.25,22.8,24.1,India,IND,tasmin
1963,9.2,14.52,19.45,22.63,23.8,India,IND,tasmin
1964,9.3,13.03,20.1,22.63,23.9,India,IND,tasmin
1965,10.6,13.9,19.4,22.7,24.4,India,IND,tasmin
1966,10.1,14.62,19.65,23.0,24.0,India,IND,tasmin
1967,9.5,13.42,19.0,22.65,24.1,India,IND,tasmin
1968,9.6,13.2,19.0,22.7,24.0,India,IND,tasmin
1969,10.0,14.58,20.05,22.62,24.4,India,IND,tasmin
1970,9.7,13.0,20.15,22.8,24.0,India,IND,tasmin
1971,9.8,12.98,19.65,22.35,22.9,India,IND,tasmin
1972,9.8,13.4,19.35,22.88,24.7,India,IND,tasmin
1973,10.3,13.5,20.2,22.65,24.4,India,IND,tasmin
1974,9.3,12.82,20.35,22.78,23.9,India,IND,tasmin
1975,9.3,12.62,20.2,22.55,23.6,India,IND,tasmin
1976,10.0,14.9,19.6,22.33,23.5,India,IND,tasmin
1977,9.9,15.2,19.95,22.55,23.7,India,IND,tasmin
1978,9.5,14.5,19.95,22.6,24.3,India,IND,tasmin
1979,11.0,14.88,20.45,22.85,24.7,India,IND,tasmin
1980,10.7,14.4,20.7,22.85,24.3,India,IND,tasmin
1981,10.5,13.55,19.95,22.92,24.6,India,IND,tasmin
1982,11.2,14.45,19.9,22.65,24.2,India,IND,tasmin
1983,10.1,12.92,19.2,23.02,24.6,India,IND,tasmin
1984,10.3,12.88,19.9,22.52,24.3,India,IND,tasmin
1985,10.9,13.68,19.75,22.83,24.0,India,IND,tasmin
1986,10.5,14.38,19.9,22.52,24.0,India,IND,tasmin
1987,10.6,14.32,20.25,22.72,24.8,India,IND,tasmin
1988,11.4,14.13,20.05,22.95,24.5,India,IND,tasmin
1989,9.7,13.92,19.7,22.58,23.5,India,IND,tasmin
1990,11.3,14.52,19.7,22.8,23.8,India,IND,tasmin
1991,10.1,14.1,19.6,22.92,23.9,India,IND,tasmin
1992,10.3,13.88,19.9,22.8,24.6,India,IND,tasmin
1993,10.7,14.42,19.95,23.1,24.7,India,IND,tasmin
1994,10.8,14.15,19.45,22.72,24.1,India,IND,tasmin
1995,9.6,14.25,20.0,23.38,25.4,India,IND,tasmin
1996,10.4,13.9,19.85,22.83,24.3,India,IND,tasmin
1997,9.6,14.7,18.85,22.75,23.9,India,IND,tasmin
1998,10.7,14.88,20.7,23.58,25.1,India,IND,tasmin
1999,10.0,14.72,20.7,23.08,23.8,India,IND,tasmin
2000,10.9,14.53,20.95,23.2,23.8,India,IND,tasmin
2001,10.6,15.0,20.3,23.13,24.0,India,IND,tasmin
2002,10.6,14.6,20.75,23.3,24.4,India,IND,tasmin
2003,10.5,14.62,20.45,23.15,25.1,India,IND,tasmin
2004,10.6,14.5,20.35,22.98,23.8,India,IND,tasmin
2005,10.7,14.05,19.95,23.22,25.3,India,IND,tasmin
2006,11.1,15.35,20.35,23.02,24.1,India,IND,tasmin
2007,11.0,14.62,20.65,23.48,24.2,India,IND,tasmin
2008,10.9,14.73,20.25,22.92,23.7,India,IND,tasmin
2009,12.0,15.0,20.55,23.8,25.1,India,IND,tasmin
2010,10.4,15.38,21.2,23.58,24.8,India,IND,tasmin
2011,10.0,14.95,20.2,23.22,24.1,India,IND,tasmin
2012,10.0,14.02,20.1,23.2,25.2,India,IND,tasmin
2013,10.2,13.98,20.3,22.8,24.4,India,IND,tasmin
2014,10.8,14.47,20.25,23.35,25.4,India,IND,tasmin
2015,10.4,15.1,20.3,23.45,24.2,India,IND,tasmin
2016,11.2,14.65,20.9,23.28,24.8,India,IND,tasmin
2017,11.0,14.68,21.15,23.42,24.4,India,IND,tasmin
2018,10.9,14.95,20.6,23.18,24.4,India,IND,tasmin
2019,10.4,15.05,20.6,23.38,25.5,India,IND,tasmin
2020,10.3,14.42,20.5,23.42,24.0,India,IND,tasmin
