year,min,25%,50%,75%,max,country,iso3,tipo
1960,76.8,118.7,202.0,292.25,330.5,Philippines,PHL,pr
1961,75.5,107.12,200.55,260.38,357.3,Philippines,PHL,pr
1962,81.6,119.98,185.85,310.08,391.7,Philippines,PHL,pr
1963,49.6,114.17,168.3,237.85,344.3,Philippines,PHL,pr
1964,61.7,134.5,240.35,283.38,372.5,Philippines,PHL,pr
1965,96.1,140.98,186.05,251.98,305.2,Philippines,PHL,pr
1966,50.6,84.83,231.35,294.92,368.2,Philippines,PHL,pr
1967,75.3,96.07,202.2,273.42,351.3,Philippines,PHL,pr
1968,46.9,93.02,119.35,205.88,441.0,Philippines,PHL,pr
1969,22.1,61.75,174.05,268.52,317.2,Philippines,PHL,pr
1970,58.5,100.6,227.4,290.5,358.7,Philippines,PHL,pr
1971,88.7,131.6,237.3,315.23,439.5,Philippines,PHL,pr
1972,67.6,132.2,181.3,262.35,397.7,Philippines,PHL,pr
1973,29.9,51.0,192.55,299.75,398.2,Philippines,PHL,pr
1974,65.9,112.4,211.4,273.02,419.6,Philippines,PHL,pr
1975,67.4,158.62,194.1,256.15,278.6,Philippines,PHL,pr
1976,51.7,137.52,180.65,248.25,320.0,Philippines,PHL,pr
1977,34.4,107.8,139.8,253.4,401.6,Philippines,PHL,pr
1978,68.2,104.0,176.5,285.05,314.6,Philippines,PHL,pr
1979,41.4,102.08,185.0,244.15,308.1,Philippines,PHL,pr
1980,66.5,122.72,197.4,298.53,328.8,Philippines,PHL,pr
1981,32.4,116.92,176.65,262.83,321.0,Philippines,PHL,pr
1982,85.8,106.32,147.35,208.78,335.0,Philippines,PHL,pr
1983,13.6,55.25,155.45,307.65,337.8,Philippines,PHL,pr
1984,104.9,137.1,184.4,288.32,361.3,Philippines,PHL,pr
1985,70.5,137.67,180.05,305.52,370.0,Philippines,PHL,pr
1986,71.0,103.6,199.95,346.35,457.9,Philippines,PHL,pr
1987,23.2,63.6,193.75,229.35,319.5,Philippines,PHL,pr
1988,59.7,125.42,198.05,261.1,441.1,Philippines,PHL,pr
1989,78.4,146.58,208.9,276.4,351.9,Philippines,PHL,pr
1990,28.5,76.92,252.6,288.17,353.6,Philippines,PHL,pr
1991,75.1,86.38,146.05,209.3,338.4,Philippines,PHL,pr
1992,20.7,54.88,130.35,265.45,323.3,Philippines,PHL,pr
1993,62.9,74.38,197.1,267.77,313.1,Philippines,PHL,pr
1994,73.2,111.65,133.95,268.7,352.6,Philippines,PHL,pr
1995,44.0,90.98,244.3,304.03,385.3,Philippines,PHL,pr
1996,80.3,143.72,202.05,257.33,338.3,Philippines,PHL,pr
1997,69.2,97.3,145.9,231.9,310.3,Philippines,PHL,pr
1998,19.9,36.88,162.1,269.58,373.8,Philippines,PHL,pr
1999,127.4,224.25,256.3,293.45,403.8,Philippines,PHL,pr
2000,148.5,174.18,252.3,268.82,449.4,Philippines,PHL,pr
2001,102.6,149.22,229.3,271.6,386.1,Philippines,PHL,pr
2002,70.5,100.9,178.5,232.5,384.6,Philippines,PHL,pr
2003,45.6,87.75,259.2,314.7,417.2,Philippines,PHL,pr
2004,76.6,110.9,178.75,246.37,354.2,Philippines,PHL,pr
2005,19.0,90.28,203.15,301.82,393.5,Philippines,PHL,pr
2006,71.7,163.73,188.9,248.42,313.0,Philippines,PHL,pr
2007,38.0,149.7,205.3,298.15,406.4,Philippines,PHL,pr
2008,135.1,185.15,249.9,301.5,365.6,Philippines,PHL,pr
2009,89.8,155.38,224.35,301.1,337.4,Philippines,PHL,pr
2010,25.8,136.5,204.1,292.68,366.2,Philippines,PHL,pr
2011,77.9,153.27,298.35,336.85,406.1,Philippines,PHL,pr
2012,107.8,184.1,206.45,288.05,367.6,Philippines,PHL,pr
2013,96.9,140.62,217.95,287.3,303.6,Philippines,PHL,pr
2014,80.3,105.7,193.45,257.27,385.6,Philippines,PHL,pr
2015,41.8,83.15,194.45,277.23,314.5,Philippines,PHL,pr
2016,27.8,80.58,204.55,271.2,439.1,Philippines,PHL,pr
2017,130.1,216.12,260.9,287.38,321.7,Philippines,PHL,pr
2018,66.9,122.05,217.1,309.95,378.3,Philippines,PHL,pr
2019,30.0,106.35,204.0,255.58,367.6,Philippines,PHL,pr
2020,73.5,105.52,201.65,271.02,292.1,Philippines,PHL,pr
