year,min,25%,50%,75%,max,country,iso3,tipo
1960,24.3,24.85,25.4,25.85,26.4,Philippines,PHL,tas
1961,23.3,24.82,25.2,25.5,26.4,Philippines,PHL,tas
1962,23.5,24.65,25.15,25.72,26.5,Philippines,PHL,tas
1963,22.7,24.48,25.25,25.5,26.6,Philippines,PHL,tas
1964,24.1,24.67,25.45,25.55,26.3,Philippines,PHL,tas
1965,23.4,24.7,25.4,25.4,26.0,Philippines,PHL,tas
1966,24.5,25.15,25.4,25.85,26.5,Philippines,PHL,tas
1967,23.6,24.22,25.1,25.55,26.6,Philippines,PHL,tas
1968,23.3,24.25,25.25,25.72,26.7,Philippines,PHL,tas
1969,24.0,24.72,25.5,25.82,27.1,Philippines,PHL,tas
1970,24.2,25.2,25.5,25.88,26.9,Philippines,PHL,tas
1971,23.4,24.42,25.05,25.33,25.9,Philippines,PHL,tas
1972,23.7,24.8,25.45,25.58,26.1,Philippines,PHL,tas
1973,24.0,24.75,25.4,25.98,27.1,Philippines,PHL,tas
1974,23.7,24.85,25.4,25.68,26.5,Philippines,PHL,tas
1975,24.0,24.75,25.3,25.63,26.5,Philippines,PHL,tas
1976,23.6,24.8,25.2,25.42,25.9,Philippines,PHL,tas
1977,24.0,24.7,25.5,25.9,26.9,Philippines,PHL,tas
1978,24.1,24.85,25.35,26.0,26.8,Philippines,PHL,tas
1979,24.2,25.3,25.7,25.85,26.5,Philippines,PHL,tas
1980,24.4,25.35,25.65,25.85,26.9,Philippines,PHL,tas
1981,23.2,24.85,25.3,25.72,26.5,Philippines,PHL,tas
1982,23.6,25.15,25.4,25.6,26.5,Philippines,PHL,tas
1983,24.2,24.82,25.85,26.25,27.0,Philippines,PHL,tas
1984,24.3,25.18,25.6,25.72,26.5,Philippines,PHL,tas
1985,23.9,25.48,25.65,25.92,26.7,Philippines,PHL,tas
1986,24.0,25.0,25.6,25.9,26.7,Philippines,PHL,tas
1987,24.1,25.55,26.05,26.58,27.8,Philippines,PHL,tas
1988,24.3,25.5,26.1,26.4,27.1,Philippines,PHL,tas
1989,24.2,24.9,25.65,26.0,26.4,Philippines,PHL,tas
1990,24.8,25.37,25.7,25.92,27.0,Philippines,PHL,tas
1991,24.6,24.9,25.7,26.25,27.4,Philippines,PHL,tas
1992,24.2,25.2,25.75,26.1,26.9,Philippines,PHL,tas
1993,24.3,25.0,25.75,26.18,27.1,Philippines,PHL,tas
1994,25.0,25.37,25.65,25.85,27.1,Philippines,PHL,tas
1995,24.5,25.3,25.65,26.05,26.9,Philippines,PHL,tas
1996,24.1,25.1,25.8,25.92,26.5,Philippines,PHL,tas
1997,23.8,25.38,25.85,26.13,26.7,Philippines,PHL,tas
1998,25.2,25.92,26.15,26.65,27.4,Philippines,PHL,tas
1999,24.7,25.35,25.7,25.92,26.6,Philippines,PHL,tas
2000,25.0,25.58,25.8,25.9,26.8,Philippines,PHL,tas
2001,24.6,25.28,25.85,26.28,27.1,Philippines,PHL,tas
2002,24.4,25.45,25.75,26.22,26.7,Philippines,PHL,tas
2003,24.4,25.15,25.55,25.92,27.1,Philippines,PHL,tas
2004,24.2,25.28,25.8,25.92,27.0,Philippines,PHL,tas
2005,24.6,25.48,25.85,26.08,27.2,Philippines,PHL,tas
2006,25.2,25.6,25.75,26.05,26.7,Philippines,PHL,tas
2007,24.8,25.25,25.7,26.5,27.1,Philippines,PHL,tas
2008,24.0,25.28,25.7,25.92,26.3,Philippines,PHL,tas
2009,24.1,25.32,25.7,26.05,26.3,Philippines,PHL,tas
2010,24.4,25.28,25.85,26.33,27.5,Philippines,PHL,tas
2011,23.9,25.22,25.9,26.13,26.4,Philippines,PHL,tas
2012,25.1,25.52,25.75,26.1,27.3,Philippines,PHL,tas
2013,24.8,25.55,25.75,26.15,27.4,Philippines,PHL,tas
2014,23.6,25.32,25.95,26.25,27.5,Philippines,PHL,tas
2015,24.5,25.7,26.1,26.32,27.4,Philippines,PHL,tas
2016,25.1,25.7,26.3,26.62,27.8,Philippines,PHL,tas
2017,24.7,25.48,26.0,26.2,27.2,Philippines,PHL,tas
2018,24.8,25.92,26.15,26.42,27.4,Philippines,PHL,tas
2019,24.9,25.87,26.1,26.42,27.5,Philippines,PHL,tas
2020,25.4,25.88,26.3,26.7,27.7,Philippines,PHL,tas
