year,min,25%,50%,75%,max,country,iso3,tipo
1960,28.6,29.25,29.6,30.35,31.1,Philippines,PHL,tasmax
1961,27.6,29.08,29.55,30.15,31.3,Philippines,PHL,tasmax
1962,27.6,28.9,29.35,30.32,31.4,Philippines,PHL,tasmax
1963,26.6,29.0,29.55,29.8,31.8,Philippines,PHL,tasmax
1964,28.0,29.12,29.65,29.95,31.0,Philippines,PHL,tasmax
1965,27.5,28.85,29.45,29.75,30.6,Philippines,PHL,tasmax
1966,29.0,29.45,29.7,30.2,31.6,Philippines,PHL,tasmax
1967,27.9,28.72,29.1,29.65,31.6,Philippines,PHL,tasmax
1968,27.9,28.87,29.6,30.4,31.7,Philippines,PHL,tasmax
1969,28.6,29.2,29.85,30.48,32.1,Philippines,PHL,tasmax
1970,28.8,29.2,29.65,30.33,31.8,Philippines,PHL,tasmax
1971,27.7,28.7,29.1,29.92,30.5,Philippines,PHL,tasmax
1972,27.9,29.28,29.7,30.35,31.1,Philippines,PHL,tasmax
1973,28.0,29.5,29.9,30.7,32.1,Philippines,PHL,tasmax
1974,28.1,28.75,29.55,30.02,31.2,Philippines,PHL,tasmax
1975,27.8,29.2,29.65,30.0,31.4,Philippines,PHL,tasmax
1976,27.5,28.98,29.4,29.83,31.0,Philippines,PHL,tasmax
1977,28.3,28.9,29.5,30.22,31.6,Philippines,PHL,tasmax
1978,28.6,29.05,29.2,30.42,31.5,Philippines,PHL,tasmax
1979,28.7,29.58,30.0,30.35,31.4,Philippines,PHL,tasmax
1980,28.6,29.45,29.65,30.52,31.6,Philippines,PHL,tasmax
1981,27.3,29.18,29.65,30.12,31.6,Philippines,PHL,tasmax
1982,27.9,29.3,29.8,30.32,31.5,Philippines,PHL,tasmax
1983,28.3,29.7,30.25,31.05,32.1,Philippines,PHL,tasmax
1984,28.4,29.32,29.95,30.35,31.2,Philippines,PHL,tasmax
1985,28.5,29.67,29.9,30.58,31.4,Philippines,PHL,tasmax
1986,27.9,29.58,29.8,30.25,31.4,Philippines,PHL,tasmax
1987,28.9,29.87,30.45,31.22,32.9,Philippines,PHL,tasmax
1988,28.6,29.98,30.45,31.0,31.9,Philippines,PHL,tasmax
1989,28.8,29.42,30.0,30.33,31.3,Philippines,PHL,tasmax
1990,29.2,29.82,30.1,30.33,32.0,Philippines,PHL,tasmax
1991,29.0,29.37,29.85,30.7,32.2,Philippines,PHL,tasmax
1992,28.8,29.72,30.0,31.02,31.9,Philippines,PHL,tasmax
1993,28.6,29.45,29.9,30.52,32.1,Philippines,PHL,tasmax
1994,29.2,29.6,29.9,30.6,31.7,Philippines,PHL,tasmax
1995,28.4,29.25,29.75,30.5,31.5,Philippines,PHL,tasmax
1996,28.2,28.9,29.8,30.22,30.6,Philippines,PHL,tasmax
1997,27.9,29.67,29.9,30.42,31.3,Philippines,PHL,tasmax
1998,29.4,29.98,30.7,31.05,32.2,Philippines,PHL,tasmax
1999,28.8,29.15,29.5,30.0,31.2,Philippines,PHL,tasmax
2000,28.8,29.2,29.8,30.18,31.0,Philippines,PHL,tasmax
2001,28.6,29.45,29.9,30.35,31.8,Philippines,PHL,tasmax
2002,28.9,29.4,29.7,30.58,31.5,Philippines,PHL,tasmax
2003,28.7,29.4,29.8,30.22,32.0,Philippines,PHL,tasmax
2004,28.5,29.58,29.85,30.13,31.9,Philippines,PHL,tasmax
2005,28.3,29.67,29.9,30.4,31.9,Philippines,PHL,tasmax
2006,29.1,29.5,29.9,30.6,31.5,Philippines,PHL,tasmax
2007,28.2,29.25,29.6,30.62,31.8,Philippines,PHL,tasmax
2008,27.9,29.32,29.85,30.05,30.6,Philippines,PHL,tasmax
2009,27.7,29.2,29.8,30.28,30.6,Philippines,PHL,tasmax
2010,28.3,29.45,30.1,31.02,31.8,Philippines,PHL,tasmax
2011,28.3,29.12,29.85,30.3,30.8,Philippines,PHL,tasmax
2012,29.2,29.5,29.8,30.3,31.9,Philippines,PHL,tasmax
2013,28.5,29.58,29.85,30.75,32.1,Philippines,PHL,tasmax
2014,27.5,29.6,29.95,30.52,32.2,Philippines,PHL,tasmax
2015,28.4,29.85,30.2,30.7,32.0,Philippines,PHL,tasmax
2016,29.3,29.72,30.15,30.9,32.3,Philippines,PHL,tasmax
2017,28.6,29.52,29.9,30.28,31.5,Philippines,PHL,tasmax
2018,28.4,29.8,30.3,30.58,32.0,Philippines,PHL,tasmax
2019,29.0,29.6,29.9,30.82,31.9,Philippines,PHL,tasmax
2020,29.5,29.87,30.35,30.8,31.7,Philippines,PHL,tasmax
