year,min,25%,50%,75%,max,country,iso3,tipo
1960,20.0,20.32,21.15,21.7,21.8,Philippines,PHL,tasmin
1961,19.0,20.2,20.95,21.3,21.9,Philippines,PHL,tasmin
1962,19.1,20.25,21.05,21.25,21.6,Philippines,PHL,tasmin
1963,18.7,19.72,20.75,21.5,21.6,Philippines,PHL,tasmin
1964,19.7,20.17,21.2,21.4,21.8,Philippines,PHL,tasmin
1965,19.4,20.3,20.95,21.22,21.4,Philippines,PHL,tasmin
1966,19.8,20.88,21.25,21.65,21.8,Philippines,PHL,tasmin
1967,19.2,19.67,20.85,21.5,21.7,Philippines,PHL,tasmin
1968,18.6,19.77,20.45,21.7,22.0,Philippines,PHL,tasmin
1969,19.0,20.32,21.0,21.6,22.2,Philippines,PHL,tasmin
1970,19.7,21.12,21.35,21.6,22.1,Philippines,PHL,tasmin
1971,19.2,20.27,20.65,21.02,21.4,Philippines,PHL,tasmin
1972,19.4,20.15,20.9,21.2,21.8,Philippines,PHL,tasmin
1973,19.5,20.0,21.2,21.72,22.3,Philippines,PHL,tasmin
1974,19.2,20.7,21.4,21.45,21.8,Philippines,PHL,tasmin
1975,19.8,20.42,21.0,21.33,21.7,Philippines,PHL,tasmin
1976,19.2,20.38,21.0,21.22,21.4,Philippines,PHL,tasmin
1977,19.8,20.48,21.5,21.72,22.2,Philippines,PHL,tasmin
1978,19.5,20.67,21.25,21.72,22.2,Philippines,PHL,tasmin
1979,19.5,20.62,21.2,21.72,21.9,Philippines,PHL,tasmin
1980,19.8,20.82,21.5,21.72,22.2,Philippines,PHL,tasmin
1981,19.2,19.88,21.15,21.5,21.8,Philippines,PHL,tasmin
1982,19.3,20.6,21.05,21.4,21.9,Philippines,PHL,tasmin
1983,19.3,20.48,21.5,21.92,22.6,Philippines,PHL,tasmin
1984,20.3,20.88,21.3,21.5,21.8,Philippines,PHL,tasmin
1985,19.4,20.98,21.25,21.55,22.0,Philippines,PHL,tasmin
1986,19.6,20.32,21.5,21.55,22.1,Philippines,PHL,tasmin
1987,19.2,20.85,21.7,21.9,22.8,Philippines,PHL,tasmin
1988,20.0,21.05,21.65,21.85,22.3,Philippines,PHL,tasmin
1989,19.7,20.58,21.35,21.52,21.8,Philippines,PHL,tasmin
1990,20.4,20.67,21.35,21.9,22.0,Philippines,PHL,tasmin
1991,20.2,20.5,21.35,22.2,22.6,Philippines,PHL,tasmin
1992,19.1,20.62,21.3,21.65,22.0,Philippines,PHL,tasmin
1993,19.8,21.02,21.55,21.75,22.3,Philippines,PHL,tasmin
1994,20.5,20.98,21.55,21.85,22.5,Philippines,PHL,tasmin
1995,20.0,20.88,21.7,21.92,22.5,Philippines,PHL,tasmin
1996,20.1,21.1,21.7,22.13,22.3,Philippines,PHL,tasmin
1997,19.7,20.9,21.6,21.92,22.4,Philippines,PHL,tasmin
1998,20.5,21.8,22.25,22.4,22.9,Philippines,PHL,tasmin
1999,20.5,21.5,21.8,21.92,22.1,Philippines,PHL,tasmin
2000,20.9,21.7,21.9,22.0,22.6,Philippines,PHL,tasmin
2001,20.7,21.25,21.9,22.2,22.5,Philippines,PHL,tasmin
2002,20.1,21.08,21.65,21.9,22.5,Philippines,PHL,tasmin
2003,20.0,20.65,21.45,21.88,22.7,Philippines,PHL,tasmin
2004,19.9,21.1,21.6,21.83,22.2,Philippines,PHL,tasmin
2005,20.6,21.08,21.75,22.05,22.5,Philippines,PHL,tasmin
2006,20.8,21.45,21.8,21.92,22.4,Philippines,PHL,tasmin
2007,21.0,21.35,21.9,22.1,22.8,Philippines,PHL,tasmin
2008,20.2,21.15,21.6,21.8,22.2,Philippines,PHL,tasmin
2009,20.0,21.08,21.7,21.92,22.3,Philippines,PHL,tasmin
2010,20.4,21.3,21.5,21.92,23.2,Philippines,PHL,tasmin
2011,19.6,21.4,22.0,22.2,22.4,Philippines,PHL,tasmin
2012,20.4,21.55,21.9,22.1,22.8,Philippines,PHL,tasmin
2013,21.2,21.4,21.7,22.08,22.8,Philippines,PHL,tasmin
2014,19.9,21.2,21.8,22.22,22.9,Philippines,PHL,tasmin
2015,20.2,21.6,22.05,22.33,22.8,Philippines,PHL,tasmin
2016,20.8,21.92,22.55,22.9,23.3,Philippines,PHL,tasmin
2017,20.8,21.7,22.05,22.3,23.0,Philippines,PHL,tasmin
2018,20.9,21.65,22.1,22.5,22.8,Philippines,PHL,tasmin
2019,20.2,21.78,22.5,22.63,23.4,Philippines,PHL,tasmin
2020,21.2,21.72,22.45,22.6,23.7,Philippines,PHL,tasmin
