year,min,25%,50%,75%,max,country,iso3,tipo
1960,17.1,21.67,27.45,51.77,70.7,Russia,RUS,pr
1961,17.4,25.0,31.95,51.3,71.5,Russia,RUS,pr
1962,18.0,25.28,32.35,51.53,68.4,Russia,RUS,pr
1963,18.3,22.92,33.2,46.28,65.4,Russia,RUS,pr
1964,13.4,21.33,31.65,48.35,61.0,Russia,RUS,pr
1965,15.3,20.88,34.2,48.9,65.0,Russia,RUS,pr
1966,24.3,26.12,36.1,51.7,68.6,Russia,RUS,pr
1967,14.6,24.22,33.8,43.52,61.0,Russia,RUS,pr
1968,17.0,25.38,30.75,47.03,67.4,Russia,RUS,pr
1969,12.6,20.45,33.55,49.45,61.2,Russia,RUS,pr
1970,15.4,22.2,34.4,48.78,65.3,Russia,RUS,pr
1971,12.4,24.45,33.3,46.22,69.1,Russia,RUS,pr
1972,15.3,24.82,32.35,43.48,62.9,Russia,RUS,pr
1973,15.8,21.85,33.15,48.88,67.8,Russia,RUS,pr
1974,15.8,19.88,31.25,46.8,63.9,Russia,RUS,pr
1975,16.6,24.7,29.55,45.92,68.9,Russia,RUS,pr
1976,13.1,20.33,27.3,44.08,62.9,Russia,RUS,pr
1977,15.1,22.5,33.95,54.18,68.1,Russia,RUS,pr
1978,16.5,22.58,30.05,49.62,72.2,Russia,RUS,pr
1979,16.2,23.4,32.45,47.48,65.8,Russia,RUS,pr
1980,12.2,19.88,32.9,45.97,67.1,Russia,RUS,pr
1981,15.0,24.2,30.6,46.65,66.9,Russia,RUS,pr
1982,15.2,27.75,33.1,47.42,63.9,Russia,RUS,pr
1983,16.5,25.88,33.45,46.7,63.5,Russia,RUS,pr
1984,12.8,19.83,28.4,48.27,67.7,Russia,RUS,pr
1985,15.5,24.42,32.25,45.68,64.1,Russia,RUS,pr
1986,15.7,21.9,29.4,47.42,63.9,Russia,RUS,pr
1987,14.4,22.72,27.85,49.3,62.9,Russia,RUS,pr
1988,14.4,25.6,28.8,46.12,68.9,Russia,RUS,pr
1989,19.9,21.8,32.3,46.15,69.6,Russia,RUS,pr
1990,19.5,23.6,38.6,49.2,66.6,Russia,RUS,pr
1991,16.0,22.0,32.0,45.75,60.7,Russia,RUS,pr
1992,17.5,23.8,32.2,42.85,60.6,Russia,RUS,pr
1993,17.1,21.2,28.85,49.32,65.8,Russia,RUS,pr
1994,14.9,20.7,35.0,49.3,66.0,Russia,RUS,pr
1995,20.3,23.12,36.25,46.25,63.8,Russia,RUS,pr
1996,13.2,19.25,32.05,49.82,62.3,Russia,RUS,pr
1997,18.9,23.3,34.25,47.27,64.1,Russia,RUS,pr
1998,19.1,23.68,31.65,50.58,60.4,Russia,RUS,pr
1999,13.5,22.67,32.65,43.02,67.7,Russia,RUS,pr
2000,17.3,22.52,29.05,51.55,70.2,Russia,RUS,pr
2001,19.7,22.52,35.25,46.0,63.5,Russia,RUS,pr
2002,18.8,24.6,33.6,50.25,63.8,Russia,RUS,pr
2003,14.3,23.4,31.4,46.8,64.3,Russia,RUS,pr
2004,19.8,23.28,33.8,55.1,62.5,Russia,RUS,pr
2005,11.5,22.3,31.75,45.2,64.0,Russia,RUS,pr
2006,16.6,22.08,35.85,49.6,66.2,Russia,RUS,pr
2007,18.0,24.65,33.15,50.28,69.4,Russia,RUS,pr
2008,20.0,24.7,33.65,48.88,70.0,Russia,RUS,pr
2009,17.7,22.05,32.7,46.3,65.6,Russia,RUS,pr
2010,15.4,21.28,35.75,50.73,64.1,Russia,RUS,pr
2011,16.9,23.05,30.25,51.38,65.5,Russia,RUS,pr
2012,14.5,22.85,34.05,50.55,69.5,Russia,RUS,pr
2013,15.9,24.35,38.45,50.82,65.7,Russia,RUS,pr
2014,18.1,23.75,33.75,46.0,65.3,Russia,RUS,pr
2015,19.4,27.22,32.9,45.82,67.4,Russia,RUS,pr
2016,19.8,24.72,30.4,43.8,69.4,Russia,RUS,pr
2017,19.7,27.9,36.5,51.78,68.1,Russia,RUS,pr
2018,17.8,24.68,32.9,48.77,63.6,Russia,RUS,pr
2019,21.5,23.22,35.1,49.55,67.6,Russia,RUS,pr
2020,22.1,25.35,36.1,46.0,70.0,Russia,RUS,pr
