year,min,25%,50%,75%,max,country,iso3,tipo
1960,-28.7,-20.5,-7.15,6.8,14.7,Russia,RUS,tas
1961,-27.2,-18.72,-6.55,6.93,14.6,Russia,RUS,tas
1962,-24.4,-18.85,-5.45,6.5,15.0,Russia,RUS,tas
1963,-25.4,-19.6,-6.35,6.6,14.6,Russia,RUS,tas
1964,-26.8,-20.78,-7.85,6.6,14.8,Russia,RUS,tas
1965,-27.5,-22.0,-6.4,6.68,14.6,Russia,RUS,tas
1966,-29.9,-20.92,-7.7,7.0,14.1,Russia,RUS,tas
1967,-27.8,-17.42,-3.45,6.55,15.3,Russia,RUS,tas
1968,-28.6,-22.18,-6.0,5.75,14.0,Russia,RUS,tas
1969,-31.1,-21.18,-7.25,6.05,15.3,Russia,RUS,tas
1970,-27.2,-19.5,-6.9,7.32,15.2,Russia,RUS,tas
1971,-27.5,-19.68,-6.35,7.45,14.8,Russia,RUS,tas
1972,-30.3,-21.15,-5.25,5.85,14.4,Russia,RUS,tas
1973,-27.4,-18.38,-6.25,6.75,14.4,Russia,RUS,tas
1974,-28.6,-21.7,-6.35,7.4,15.1,Russia,RUS,tas
1975,-24.4,-18.2,-5.05,7.52,14.5,Russia,RUS,tas
1976,-26.8,-20.2,-7.3,6.85,13.8,Russia,RUS,tas
1977,-28.4,-19.88,-6.75,6.68,14.4,Russia,RUS,tas
1978,-27.8,-18.02,-5.8,6.35,13.9,Russia,RUS,tas
1979,-29.9,-19.4,-8.15,6.82,14.4,Russia,RUS,tas
1980,-27.5,-19.65,-6.4,7.1,14.4,Russia,RUS,tas
1981,-22.9,-18.42,-5.05,6.88,14.6,Russia,RUS,tas
1982,-28.6,-19.35,-6.05,6.7,14.8,Russia,RUS,tas
1983,-23.2,-16.5,-5.95,7.42,14.6,Russia,RUS,tas
1984,-25.9,-20.58,-7.35,7.02,15.1,Russia,RUS,tas
1985,-28.6,-19.38,-5.8,7.05,13.8,Russia,RUS,tas
1986,-26.6,-17.75,-5.25,6.5,14.6,Russia,RUS,tas
1987,-29.6,-22.28,-6.95,6.15,14.5,Russia,RUS,tas
1988,-25.3,-17.77,-5.45,7.75,15.6,Russia,RUS,tas
1989,-26.1,-18.15,-6.0,6.9,14.7,Russia,RUS,tas
1990,-28.2,-19.2,-4.25,6.65,15.2,Russia,RUS,tas
1991,-24.8,-19.95,-4.35,7.72,15.9,Russia,RUS,tas
1992,-24.2,-20.38,-7.15,5.88,14.1,Russia,RUS,tas
1993,-24.8,-19.27,-6.15,6.25,15.2,Russia,RUS,tas
1994,-26.9,-19.6,-4.5,7.48,14.7,Russia,RUS,tas
1995,-23.3,-15.88,-3.85,7.5,14.8,Russia,RUS,tas
1996,-25.9,-17.45,-5.95,5.65,15.4,Russia,RUS,tas
1997,-26.5,-19.33,-2.9,7.25,14.3,Russia,RUS,tas
1998,-26.7,-21.72,-7.05,6.32,16.1,Russia,RUS,tas
1999,-26.6,-20.7,-5.55,6.83,15.7,Russia,RUS,tas
2000,-27.3,-19.62,-4.7,7.32,15.0,Russia,RUS,tas
2001,-28.1,-18.48,-5.6,7.02,15.9,Russia,RUS,tas
2002,-27.2,-17.92,-5.55,7.28,15.7,Russia,RUS,tas
2003,-25.5,-18.38,-4.7,7.92,15.5,Russia,RUS,tas
2004,-25.9,-18.15,-6.0,7.4,15.1,Russia,RUS,tas
2005,-25.0,-17.95,-4.0,8.58,15.8,Russia,RUS,tas
2006,-29.7,-17.5,-6.95,8.15,15.0,Russia,RUS,tas
2007,-25.6,-16.45,-2.75,7.95,15.6,Russia,RUS,tas
2008,-25.3,-16.27,-4.25,7.3,15.1,Russia,RUS,tas
2009,-26.6,-19.55,-4.05,8.18,14.8,Russia,RUS,tas
2010,-28.0,-19.02,-4.75,7.4,15.8,Russia,RUS,tas
2011,-25.3,-17.8,-2.6,7.8,15.7,Russia,RUS,tas
2012,-25.7,-18.75,-3.8,8.32,16.1,Russia,RUS,tas
2013,-27.0,-18.6,-4.35,7.07,15.5,Russia,RUS,tas
2014,-27.5,-17.7,-4.05,7.25,14.9,Russia,RUS,tas
2015,-23.9,-17.15,-4.45,8.0,15.1,Russia,RUS,tas
2016,-24.5,-18.32,-3.9,8.85,16.0,Russia,RUS,tas
2017,-24.3,-16.55,-4.05,7.35,15.0,Russia,RUS,tas
2018,-24.2,-18.4,-2.7,8.57,15.2,Russia,RUS,tas
2019,-24.3,-17.52,-3.25,8.1,15.2,Russia,RUS,tas
2020,-23.0,-13.45,-2.4,9.1,15.8,Russia,RUS,tas
