year,min,25%,50%,75%,max,country,iso3,tipo
1960,-24.5,-16.38,-2.1,11.25,20.3,Russia,RUS,tasmax
1961,-22.9,-14.42,-1.7,11.73,20.2,Russia,RUS,tasmax
1962,-20.0,-14.78,-0.4,11.3,20.7,Russia,RUS,tasmax
1963,-20.8,-13.4,-1.5,11.58,20.4,Russia,RUS,tasmax
1964,-22.2,-15.7,-2.9,11.65,20.8,Russia,RUS,tasmax
1965,-22.9,-17.97,-1.4,11.58,20.3,Russia,RUS,tasmax
1966,-24.7,-15.9,-2.7,12.02,19.9,Russia,RUS,tasmax
1967,-23.1,-13.55,1.6,11.55,21.2,Russia,RUS,tasmax
1968,-24.3,-17.7,-0.95,10.58,19.7,Russia,RUS,tasmax
1969,-26.6,-15.47,-2.55,10.65,21.2,Russia,RUS,tasmax
1970,-22.6,-15.3,-2.25,12.12,21.0,Russia,RUS,tasmax
1971,-22.7,-14.27,-1.35,12.45,20.3,Russia,RUS,tasmax
1972,-25.8,-17.1,-0.55,10.48,20.2,Russia,RUS,tasmax
1973,-22.7,-14.08,-1.4,11.75,19.9,Russia,RUS,tasmax
1974,-24.5,-17.73,-1.35,12.32,20.7,Russia,RUS,tasmax
1975,-20.2,-14.02,-0.2,12.45,20.2,Russia,RUS,tasmax
1976,-21.9,-16.17,-2.35,11.82,19.5,Russia,RUS,tasmax
1977,-24.4,-14.58,-1.9,11.22,19.9,Russia,RUS,tasmax
1978,-23.5,-12.48,-1.3,10.75,19.4,Russia,RUS,tasmax
1979,-25.7,-15.42,-3.5,11.6,20.0,Russia,RUS,tasmax
1980,-23.2,-15.73,-1.8,11.9,19.8,Russia,RUS,tasmax
1981,-18.4,-14.12,-0.35,11.52,20.2,Russia,RUS,tasmax
1982,-24.2,-15.38,-1.45,11.38,20.4,Russia,RUS,tasmax
1983,-19.2,-12.48,-1.45,12.08,20.0,Russia,RUS,tasmax
1984,-21.8,-16.7,-2.65,11.65,20.5,Russia,RUS,tasmax
1985,-24.4,-14.35,-1.4,11.82,19.1,Russia,RUS,tasmax
1986,-22.5,-13.5,-0.55,11.15,20.0,Russia,RUS,tasmax
1987,-25.4,-18.38,-2.35,10.72,20.0,Russia,RUS,tasmax
1988,-20.9,-13.77,-0.55,12.55,21.2,Russia,RUS,tasmax
1989,-22.0,-13.97,-1.2,11.75,20.2,Russia,RUS,tasmax
1990,-24.3,-15.0,0.5,11.7,20.6,Russia,RUS,tasmax
1991,-20.9,-14.52,0.55,12.62,21.4,Russia,RUS,tasmax
1992,-19.9,-16.15,-2.4,10.88,19.8,Russia,RUS,tasmax
1993,-21.0,-15.15,-1.45,10.6,20.7,Russia,RUS,tasmax
1994,-23.0,-15.58,0.2,12.18,20.2,Russia,RUS,tasmax
1995,-19.2,-11.72,0.95,12.15,20.4,Russia,RUS,tasmax
1996,-21.7,-13.2,-1.3,10.6,20.9,Russia,RUS,tasmax
1997,-22.1,-15.15,1.8,12.0,19.6,Russia,RUS,tasmax
1998,-22.7,-17.85,-2.15,10.85,21.6,Russia,RUS,tasmax
1999,-22.6,-15.25,-0.8,11.52,21.4,Russia,RUS,tasmax
2000,-23.4,-15.7,-0.1,11.92,20.5,Russia,RUS,tasmax
2001,-24.4,-13.35,-0.95,11.7,21.5,Russia,RUS,tasmax
2002,-23.3,-14.02,-1.0,11.95,21.2,Russia,RUS,tasmax
2003,-21.2,-14.72,-0.15,12.75,21.0,Russia,RUS,tasmax
2004,-22.3,-12.9,-1.45,11.92,20.4,Russia,RUS,tasmax
2005,-20.4,-12.77,0.75,13.48,21.3,Russia,RUS,tasmax
2006,-25.8,-13.8,-2.4,12.85,20.5,Russia,RUS,tasmax
2007,-20.7,-12.78,1.85,12.58,20.9,Russia,RUS,tasmax
2008,-21.4,-12.52,0.35,11.75,20.3,Russia,RUS,tasmax
2009,-22.6,-16.0,0.55,12.98,20.3,Russia,RUS,tasmax
2010,-23.8,-13.72,-0.1,12.3,21.5,Russia,RUS,tasmax
2011,-21.4,-14.2,1.9,12.3,21.2,Russia,RUS,tasmax
2012,-22.0,-13.78,0.7,13.12,21.8,Russia,RUS,tasmax
2013,-23.3,-13.2,0.25,12.28,20.9,Russia,RUS,tasmax
2014,-23.6,-14.0,0.55,12.08,20.3,Russia,RUS,tasmax
2015,-19.9,-13.42,0.0,12.72,20.5,Russia,RUS,tasmax
2016,-20.4,-14.65,0.45,13.77,21.5,Russia,RUS,tasmax
2017,-20.1,-12.82,0.3,11.88,20.4,Russia,RUS,tasmax
2018,-20.4,-13.6,1.95,13.45,20.8,Russia,RUS,tasmax
2019,-20.3,-13.52,1.3,12.95,20.6,Russia,RUS,tasmax
2020,-19.4,-9.85,2.2,14.15,21.2,Russia,RUS,tasmax
