year,min,25%,50%,75%,max,country,iso3,tipo
1960,-33.0,-26.18,-12.2,2.28,9.1,Russia,RUS,tasmin
1961,-31.4,-23.02,-11.45,2.17,9.0,Russia,RUS,tasmin
1962,-28.7,-23.25,-10.5,1.78,9.4,Russia,RUS,tasmin
1963,-30.0,-25.83,-11.25,1.65,8.8,Russia,RUS,tasmin
1964,-31.5,-26.55,-12.8,1.58,9.0,Russia,RUS,tasmin
1965,-32.2,-26.08,-11.4,1.9,9.0,Russia,RUS,tasmin
1966,-35.1,-26.35,-12.7,1.98,8.4,Russia,RUS,tasmin
1967,-32.5,-21.92,-8.55,1.55,9.5,Russia,RUS,tasmin
1968,-33.0,-26.6,-11.05,1.03,8.4,Russia,RUS,tasmin
1969,-36.2,-26.82,-11.95,1.45,9.5,Russia,RUS,tasmin
1970,-31.9,-24.43,-11.55,2.45,9.5,Russia,RUS,tasmin
1971,-32.5,-25.2,-11.45,2.5,9.2,Russia,RUS,tasmin
1972,-34.9,-25.22,-10.0,1.23,8.7,Russia,RUS,tasmin
1973,-32.1,-23.9,-11.2,1.78,8.9,Russia,RUS,tasmin
1974,-32.9,-25.75,-11.45,2.5,9.5,Russia,RUS,tasmin
1975,-28.9,-22.38,-9.95,2.52,8.8,Russia,RUS,tasmin
1976,-31.7,-25.95,-12.25,1.78,8.2,Russia,RUS,tasmin
1977,-32.6,-25.22,-11.7,2.1,8.9,Russia,RUS,tasmin
1978,-32.1,-23.58,-10.35,1.9,8.5,Russia,RUS,tasmin
1979,-34.3,-24.43,-12.85,2.15,8.9,Russia,RUS,tasmin
1980,-31.9,-25.15,-11.1,2.3,9.2,Russia,RUS,tasmin
1981,-27.9,-23.98,-9.75,2.33,9.1,Russia,RUS,tasmin
1982,-33.0,-24.65,-10.75,2.05,9.3,Russia,RUS,tasmin
1983,-27.9,-21.8,-10.55,2.8,9.2,Russia,RUS,tasmin
1984,-30.0,-24.52,-12.1,2.42,9.7,Russia,RUS,tasmin
1985,-32.8,-24.7,-10.25,2.33,8.5,Russia,RUS,tasmin
1986,-30.7,-23.35,-9.95,1.8,9.2,Russia,RUS,tasmin
1987,-33.9,-26.25,-11.55,1.6,9.1,Russia,RUS,tasmin
1988,-29.7,-23.07,-10.25,2.95,10.0,Russia,RUS,tasmin
1989,-30.3,-22.4,-10.85,2.15,9.2,Russia,RUS,tasmin
1990,-32.1,-23.42,-9.0,2.05,9.8,Russia,RUS,tasmin
1991,-29.6,-25.2,-9.3,2.82,10.3,Russia,RUS,tasmin
1992,-28.5,-24.52,-11.9,1.35,8.5,Russia,RUS,tasmin
1993,-28.6,-23.5,-11.0,1.82,9.7,Russia,RUS,tasmin
1994,-30.9,-23.6,-9.25,2.82,9.2,Russia,RUS,tasmin
1995,-27.4,-20.92,-8.6,2.75,9.3,Russia,RUS,tasmin
1996,-30.1,-23.38,-10.65,1.32,9.9,Russia,RUS,tasmin
1997,-31.0,-23.55,-7.65,2.58,9.1,Russia,RUS,tasmin
1998,-30.8,-25.57,-12.05,1.9,10.7,Russia,RUS,tasmin
1999,-30.7,-25.4,-10.3,2.28,10.0,Russia,RUS,tasmin
2000,-31.3,-23.5,-9.35,2.68,9.6,Russia,RUS,tasmin
2001,-31.8,-23.62,-10.3,2.38,10.4,Russia,RUS,tasmin
2002,-31.1,-21.9,-10.2,2.58,10.2,Russia,RUS,tasmin
2003,-29.8,-22.05,-9.25,3.2,10.0,Russia,RUS,tasmin
2004,-29.4,-23.4,-10.55,2.95,9.8,Russia,RUS,tasmin
2005,-29.7,-23.2,-8.8,3.62,10.4,Russia,RUS,tasmin
2006,-33.6,-22.7,-11.45,3.45,9.5,Russia,RUS,tasmin
2007,-30.6,-21.35,-7.3,3.42,10.4,Russia,RUS,tasmin
2008,-29.3,-20.12,-8.85,2.85,9.8,Russia,RUS,tasmin
2009,-31.3,-23.55,-8.7,3.45,9.3,Russia,RUS,tasmin
2010,-32.2,-24.42,-9.4,2.8,10.2,Russia,RUS,tasmin
2011,-30.0,-21.35,-7.1,3.18,10.3,Russia,RUS,tasmin
2012,-29.4,-24.3,-8.25,3.6,10.4,Russia,RUS,tasmin
2013,-30.8,-23.22,-8.95,2.58,10.1,Russia,RUS,tasmin
2014,-31.4,-21.5,-8.7,2.5,9.5,Russia,RUS,tasmin
2015,-28.0,-20.7,-8.95,3.32,9.8,Russia,RUS,tasmin
2016,-28.6,-22.15,-8.3,4.03,10.5,Russia,RUS,tasmin
2017,-28.5,-20.05,-8.4,2.85,9.6,Russia,RUS,tasmin
2018,-28.0,-24.02,-7.35,3.72,9.7,Russia,RUS,tasmin
2019,-28.3,-21.35,-7.85,3.3,9.8,Russia,RUS,tasmin
2020,-26.6,-18.48,-7.0,4.05,10.4,Russia,RUS,tasmin
