year,min,25%,50%,75%,max,country,iso3,tipo
1960,5.7,9.15,18.05,25.15,29.1,Turkey,TUR,tasmax
1961,4.0,8.78,18.35,24.1,30.0,Turkey,TUR,tasmax
1962,4.9,11.53,17.75,26.68,31.2,Turkey,TUR,tasmax
1963,5.7,8.02,16.45,25.28,30.3,Turkey,TUR,tasmax
1964,0.6,9.02,17.45,25.02,29.0,Turkey,TUR,tasmax
1965,3.6,9.45,14.75,26.38,29.7,Turkey,TUR,tasmax
1966,6.2,10.5,18.7,25.17,30.5,Turkey,TUR,tasmax
1967,1.9,7.48,16.65,24.02,29.0,Turkey,TUR,tasmax
1968,2.5,8.3,18.3,24.48,29.6,Turkey,TUR,tasmax
1969,2.7,8.95,15.6,26.1,30.0,Turkey,TUR,tasmax
1970,4.4,10.88,18.35,25.28,29.5,Turkey,TUR,tasmax
1971,4.2,9.78,15.95,25.52,28.9,Turkey,TUR,tasmax
1972,-0.0,8.52,18.3,24.88,28.8,Turkey,TUR,tasmax
1973,2.4,8.72,17.3,24.85,29.2,Turkey,TUR,tasmax
1974,0.6,9.12,17.35,24.7,29.0,Turkey,TUR,tasmax
1975,3.2,9.22,18.15,25.4,29.6,Turkey,TUR,tasmax
1976,1.7,7.98,16.65,24.25,27.7,Turkey,TUR,tasmax
1977,2.3,10.0,16.3,25.18,30.1,Turkey,TUR,tasmax
1978,4.1,9.7,17.15,24.82,30.2,Turkey,TUR,tasmax
1979,4.9,10.88,17.3,25.95,30.0,Turkey,TUR,tasmax
1980,1.4,8.1,17.0,24.7,30.9,Turkey,TUR,tasmax
1981,4.7,9.7,16.85,26.12,29.3,Turkey,TUR,tasmax
1982,3.3,7.42,17.1,25.48,28.2,Turkey,TUR,tasmax
1983,1.1,8.7,17.1,24.55,28.6,Turkey,TUR,tasmax
1984,2.9,8.93,17.15,25.92,28.4,Turkey,TUR,tasmax
1985,1.1,6.55,16.65,25.72,30.8,Turkey,TUR,tasmax
1986,5.4,8.52,18.25,25.37,31.2,Turkey,TUR,tasmax
1987,5.0,7.05,15.4,25.72,29.8,Turkey,TUR,tasmax
1988,3.8,7.15,16.1,24.88,29.3,Turkey,TUR,tasmax
1989,1.9,9.6,18.85,25.4,30.3,Turkey,TUR,tasmax
1990,1.9,10.58,17.55,25.42,29.8,Turkey,TUR,tasmax
1991,2.9,8.57,17.25,25.45,29.2,Turkey,TUR,tasmax
1992,0.7,5.95,17.45,23.98,29.5,Turkey,TUR,tasmax
1993,1.9,8.12,16.85,25.33,29.5,Turkey,TUR,tasmax
1994,3.0,9.17,19.55,26.3,29.6,Turkey,TUR,tasmax
1995,4.5,8.88,16.2,25.65,29.5,Turkey,TUR,tasmax
1996,3.2,8.18,15.5,24.5,30.2,Turkey,TUR,tasmax
1997,4.5,7.02,15.4,23.88,28.9,Turkey,TUR,tasmax
1998,3.9,7.93,18.9,26.05,31.5,Turkey,TUR,tasmax
1999,6.2,10.17,18.3,25.92,30.5,Turkey,TUR,tasmax
2000,1.9,8.52,17.85,26.1,32.1,Turkey,TUR,tasmax
2001,5.4,10.25,18.55,27.22,31.3,Turkey,TUR,tasmax
2002,1.8,11.37,17.2,25.65,30.3,Turkey,TUR,tasmax
2003,2.8,6.75,17.5,25.4,30.8,Turkey,TUR,tasmax
2004,3.8,10.3,18.15,26.0,29.6,Turkey,TUR,tasmax
2005,5.0,9.5,17.15,25.35,30.7,Turkey,TUR,tasmax
2006,2.2,9.62,17.9,26.05,32.3,Turkey,TUR,tasmax
2007,4.3,9.68,17.45,27.4,31.2,Turkey,TUR,tasmax
2008,1.3,11.5,19.1,26.25,31.6,Turkey,TUR,tasmax
2009,4.6,9.38,18.4,25.1,29.4,Turkey,TUR,tasmax
2010,6.2,11.92,17.6,26.95,32.3,Turkey,TUR,tasmax
2011,5.0,7.78,16.1,25.9,30.9,Turkey,TUR,tasmax
2012,2.9,7.85,20.1,27.57,30.9,Turkey,TUR,tasmax
2013,3.5,11.22,18.05,25.93,30.3,Turkey,TUR,tasmax
2014,6.3,10.9,18.35,25.68,31.6,Turkey,TUR,tasmax
2015,4.4,9.62,17.35,25.98,30.1,Turkey,TUR,tasmax
2016,3.0,12.08,20.1,26.0,31.4,Turkey,TUR,tasmax
2017,2.1,11.08,18.0,27.2,31.5,Turkey,TUR,tasmax
2018,6.0,12.03,20.25,26.72,30.7,Turkey,TUR,tasmax
2019,4.8,10.32,18.7,26.75,30.4,Turkey,TUR,tasmax
2020,4.8,11.73,19.2,27.0,31.0,Turkey,TUR,tasmax
