year,min,25%,50%,75%,max,country,iso3,tipo
1960,-3.4,0.25,6.25,11.32,14.5,Turkey,TUR,tasmin
1961,-4.7,-0.68,5.6,9.92,15.0,Turkey,TUR,tasmin
1962,-3.8,1.23,6.05,11.28,15.7,Turkey,TUR,tasmin
1963,-2.2,-0.68,5.85,11.52,15.0,Turkey,TUR,tasmin
1964,-10.3,0.07,4.3,10.55,14.3,Turkey,TUR,tasmin
1965,-4.8,0.15,3.8,11.1,14.4,Turkey,TUR,tasmin
1966,-0.5,0.45,6.75,11.0,15.7,Turkey,TUR,tasmin
1967,-7.3,-1.48,5.0,10.42,14.7,Turkey,TUR,tasmin
1968,-6.0,-0.65,6.35,11.08,14.7,Turkey,TUR,tasmin
1969,-4.1,0.5,4.6,11.6,14.4,Turkey,TUR,tasmin
1970,-3.0,1.1,5.6,10.85,15.2,Turkey,TUR,tasmin
1971,-3.6,-0.4,4.2,11.42,14.7,Turkey,TUR,tasmin
1972,-9.4,-2.35,6.75,11.65,14.9,Turkey,TUR,tasmin
1973,-6.7,-1.3,5.6,11.05,14.5,Turkey,TUR,tasmin
1974,-7.7,0.38,5.7,10.55,14.1,Turkey,TUR,tasmin
1975,-5.3,-0.92,5.75,11.55,15.4,Turkey,TUR,tasmin
1976,-7.2,-1.27,5.75,10.07,13.3,Turkey,TUR,tasmin
1977,-5.7,-0.12,3.9,11.32,14.5,Turkey,TUR,tasmin
1978,-3.1,-0.72,5.7,10.38,14.9,Turkey,TUR,tasmin
1979,-2.4,0.7,5.75,11.58,14.9,Turkey,TUR,tasmin
1980,-5.8,-0.68,4.95,10.25,15.5,Turkey,TUR,tasmin
1981,-1.9,1.35,5.0,11.28,15.1,Turkey,TUR,tasmin
1982,-4.4,-1.52,5.7,11.35,13.7,Turkey,TUR,tasmin
1983,-5.7,-0.3,5.1,10.35,14.6,Turkey,TUR,tasmin
1984,-4.3,0.3,4.75,11.2,14.4,Turkey,TUR,tasmin
1985,-5.9,-1.75,5.1,10.8,15.1,Turkey,TUR,tasmin
1986,-3.7,-0.68,5.75,11.87,15.6,Turkey,TUR,tasmin
1987,-3.8,-1.63,4.45,10.85,15.2,Turkey,TUR,tasmin
1988,-4.4,-0.82,5.4,10.8,15.5,Turkey,TUR,tasmin
1989,-7.7,0.18,6.25,11.02,15.2,Turkey,TUR,tasmin
1990,-7.4,-1.05,5.4,10.52,15.4,Turkey,TUR,tasmin
1991,-4.5,-0.18,6.15,11.1,15.2,Turkey,TUR,tasmin
1992,-7.2,-2.7,5.45,10.3,14.7,Turkey,TUR,tasmin
1993,-6.2,-1.15,5.3,10.88,14.9,Turkey,TUR,tasmin
1994,-3.9,-0.2,7.45,12.18,15.1,Turkey,TUR,tasmin
1995,-3.0,-0.55,4.75,11.9,15.1,Turkey,TUR,tasmin
1996,-3.3,1.05,4.85,11.28,16.0,Turkey,TUR,tasmin
1997,-5.3,-1.62,4.9,10.22,14.9,Turkey,TUR,tasmin
1998,-4.4,-0.62,6.5,12.1,16.4,Turkey,TUR,tasmin
1999,-2.2,-0.0,6.3,11.68,16.2,Turkey,TUR,tasmin
2000,-6.3,-1.92,6.4,11.82,16.6,Turkey,TUR,tasmin
2001,-3.2,0.8,6.0,12.4,16.6,Turkey,TUR,tasmin
2002,-7.1,0.52,6.0,12.05,16.1,Turkey,TUR,tasmin
2003,-4.4,-1.5,5.95,11.5,15.7,Turkey,TUR,tasmin
2004,-4.0,-0.45,5.85,11.3,15.0,Turkey,TUR,tasmin
2005,-3.8,-0.25,5.45,11.65,16.2,Turkey,TUR,tasmin
2006,-5.6,-0.62,7.1,12.1,16.8,Turkey,TUR,tasmin
2007,-5.6,-0.42,5.55,12.4,16.4,Turkey,TUR,tasmin
2008,-8.3,1.37,7.1,12.5,16.9,Turkey,TUR,tasmin
2009,-4.0,0.65,6.1,11.4,15.5,Turkey,TUR,tasmin
2010,-1.3,1.62,6.65,13.22,17.0,Turkey,TUR,tasmin
2011,-2.9,-1.85,5.15,12.12,16.0,Turkey,TUR,tasmin
2012,-6.5,-1.05,7.5,13.15,16.6,Turkey,TUR,tasmin
2013,-5.1,0.95,5.2,11.6,15.6,Turkey,TUR,tasmin
2014,-2.8,1.58,6.55,12.22,16.6,Turkey,TUR,tasmin
2015,-3.7,0.23,6.0,12.28,15.7,Turkey,TUR,tasmin
2016,-4.8,0.33,6.65,12.0,16.7,Turkey,TUR,tasmin
2017,-6.2,0.7,5.25,12.95,16.5,Turkey,TUR,tasmin
2018,-1.9,2.62,7.35,12.92,16.2,Turkey,TUR,tasmin
2019,-2.8,0.33,6.55,12.68,16.1,Turkey,TUR,tasmin
2020,-3.6,1.63,6.55,12.88,16.5,Turkey,TUR,tasmin
