year,min,25%,50%,75%,max,country,iso3,tipo
1960,40.4,42.68,50.7,59.1,68.7,United States,USA,pr
1961,30.3,51.9,55.8,64.62,75.5,United States,USA,pr
1962,34.3,44.05,50.0,58.4,71.8,United States,USA,pr
1963,26.6,37.32,49.15,58.42,67.6,United States,USA,pr
1964,32.8,47.4,55.65,62.25,67.6,United States,USA,pr
1965,35.0,45.25,49.15,66.3,83.7,United States,USA,pr
1966,33.6,44.32,47.55,51.42,72.1,United States,USA,pr
1967,30.3,42.95,54.85,63.08,77.3,United States,USA,pr
1968,31.8,44.8,53.15,61.88,67.9,United States,USA,pr
1969,35.1,46.75,54.6,57.65,72.6,United States,USA,pr
1970,34.0,48.22,54.3,59.58,65.7,United States,USA,pr
1971,36.7,41.58,57.4,64.57,71.1,United States,USA,pr
1972,34.2,45.38,60.3,62.68,66.5,United States,USA,pr
1973,38.9,55.47,60.9,65.88,77.6,United States,USA,pr
1974,35.5,49.18,52.35,58.58,76.2,United States,USA,pr
1975,43.4,50.48,58.85,64.75,73.0,United States,USA,pr
1976,29.5,38.5,50.05,56.95,61.5,United States,USA,pr
1977,27.6,48.8,54.85,58.32,78.0,United States,USA,pr
1978,31.3,48.92,55.8,61.85,71.9,United States,USA,pr
1979,40.6,53.88,58.9,62.72,76.1,United States,USA,pr
1980,32.6,43.08,54.3,61.12,65.3,United States,USA,pr
1981,25.3,45.03,47.9,69.12,79.5,United States,USA,pr
1982,44.0,53.55,60.5,69.9,73.6,United States,USA,pr
1983,41.9,54.1,63.5,66.5,76.1,United States,USA,pr
1984,31.0,50.2,56.55,63.18,70.9,United States,USA,pr
1985,33.5,41.85,56.9,67.7,75.0,United States,USA,pr
1986,32.6,44.68,59.1,65.23,83.0,United States,USA,pr
1987,29.7,47.22,55.35,62.1,65.4,United States,USA,pr
1988,33.4,39.95,44.6,60.6,65.7,United States,USA,pr
1989,33.7,41.25,49.85,68.95,81.4,United States,USA,pr
1990,45.4,55.65,56.55,61.92,75.5,United States,USA,pr
1991,34.4,50.95,60.55,62.75,73.0,United States,USA,pr
1992,37.5,46.4,53.0,69.28,82.8,United States,USA,pr
1993,42.4,50.22,57.35,67.57,76.6,United States,USA,pr
1994,42.1,49.05,52.65,63.0,70.3,United States,USA,pr
1995,32.8,50.28,55.7,64.48,81.1,United States,USA,pr
1996,43.1,51.1,60.7,63.92,73.1,United States,USA,pr
1997,44.8,48.45,55.2,58.72,71.1,United States,USA,pr
1998,41.3,53.68,62.1,64.3,74.7,United States,USA,pr
1999,30.6,38.38,57.85,60.45,74.4,United States,USA,pr
2000,36.0,46.18,51.6,56.65,73.2,United States,USA,pr
2001,41.0,46.5,49.8,57.25,70.4,United States,USA,pr
2002,27.8,45.42,55.05,61.15,65.7,United States,USA,pr
2003,27.9,50.1,54.15,64.32,73.8,United States,USA,pr
2004,39.6,48.25,64.7,68.68,72.3,United States,USA,pr
2005,43.2,48.22,52.7,58.55,70.2,United States,USA,pr
2006,32.9,47.8,52.15,61.03,71.2,United States,USA,pr
2007,32.4,45.78,55.65,59.58,66.4,United States,USA,pr
2008,41.2,48.68,54.6,61.55,71.0,United States,USA,pr
2009,34.9,50.72,57.05,65.15,83.9,United States,USA,pr
2010,40.4,46.47,50.05,62.4,78.6,United States,USA,pr
2011,38.0,50.48,56.0,62.02,67.6,United States,USA,pr
2012,31.1,46.72,53.1,58.2,65.3,United States,USA,pr
2013,38.0,48.78,57.25,70.85,77.0,United States,USA,pr
2014,36.3,45.68,56.65,63.58,84.8,United States,USA,pr
2015,38.6,55.05,65.35,74.55,78.2,United States,USA,pr
2016,39.6,46.85,57.7,63.15,76.2,United States,USA,pr
2017,36.5,49.3,61.75,68.85,80.6,United States,USA,pr
2018,41.4,54.42,64.8,72.0,74.1,United States,USA,pr
2019,48.4,53.9,64.1,70.4,88.8,United States,USA,pr
2020,45.4,50.68,54.8,60.12,69.9,United States,USA,pr
