month,tas,year,country,iso3,season
Jan,28.2,1960,Australia,AUS,summer
Feb,26.7,1960,Australia,AUS,summer
Mar,25.1,1960,Australia,AUS,autumn
Apr,21.3,1960,Australia,AUS,autumn
May,15.7,1960,Australia,AUS,autumn
Jun,13.8,1960,Australia,AUS,winter
Jul,13.9,1960,Australia,AUS,winter
Aug,14.4,1960,Australia,AUS,winter
Sep,18.2,1960,Australia,AUS,spring
Oct,22.6,1960,Australia,AUS,spring
Nov,24.1,1960,Australia,AUS,spring
Dec,26.6,1960,Australia,AUS,summer
Jan,27.9,1961,Australia,AUS,summer
Feb,27.0,1961,Australia,AUS,summer
Mar,25.6,1961,Australia,AUS,autumn
Apr,22.4,1961,Australia,AUS,autumn
May,17.4,1961,Australia,AUS,autumn
Jun,14.8,1961,Australia,AUS,winter
Jul,13.2,1961,Australia,AUS,winter
Aug,14.9,1961,Australia,AUS,winter
Sep,19.8,1961,Australia,AUS,spring
Oct,23.6,1961,Australia,AUS,spring
Nov,25.3,1961,Australia,AUS,spring
Dec,27.4,1961,Australia,AUS,summer
Jan,27.6,1962,Australia,AUS,summer
Feb,27.1,1962,Australia,AUS,summer
Mar,25.0,1962,Australia,AUS,autumn
Apr,21.6,1962,Australia,AUS,autumn
May,17.0,1962,Australia,AUS,autumn
Jun,16.4,1962,Australia,AUS,winter
Jul,14.4,1962,Australia,AUS,winter
Aug,15.3,1962,Australia,AUS,winter
Sep,18.6,1962,Australia,AUS,spring
Oct,22.0,1962,Australia,AUS,spring
Nov,25.9,1962,Australia,AUS,spring
Dec,26.8,1962,Australia,AUS,summer
Jan,27.1,1963,Australia,AUS,summer
Feb,27.1,1963,Australia,AUS,summer
Mar,25.8,1963,Australia,AUS,autumn
Apr,21.1,1963,Australia,AUS,autumn
May,18.1,1963,Australia,AUS,autumn
Jun,14.5,1963,Australia,AUS,winter
Jul,13.5,1963,Australia,AUS,winter
Aug,15.6,1963,Australia,AUS,winter
Sep,18.8,1963,Australia,AUS,spring
Oct,22.6,1963,Australia,AUS,spring
Nov,25.1,1963,Australia,AUS,spring
Dec,27.2,1963,Australia,AUS,summer
Jan,27.5,1964,Australia,AUS,summer
Feb,26.4,1964,Australia,AUS,summer
Mar,25.6,1964,Australia,AUS,autumn
Apr,22.0,1964,Australia,AUS,autumn
May,17.5,1964,Australia,AUS,autumn
