month,tas,year,country,iso3,season
Jan,25.6,1960,Brazil,BRA,summer
Feb,25.5,1960,Brazil,BRA,summer
Mar,25.2,1960,Brazil,BRA,autumn
Apr,24.7,1960,Brazil,BRA,autumn
May,23.4,1960,Brazil,BRA,autumn
Jun,23.2,1960,Brazil,BRA,winter
Jul,23.1,1960,Brazil,BRA,winter
Aug,24.1,1960,Brazil,BRA,winter
Sep,25.3,1960,Brazil,BRA,spring
Oct,25.9,1960,Brazil,BRA,spring
Nov,25.4,1960,Brazil,BRA,spring
Dec,25.6,1960,Brazil,BRA,summer
Jan,25.7,1961,Brazil,BRA,summer
Feb,25.5,1961,Brazil,BRA,summer
Mar,25.5,1961,Brazil,BRA,autumn
Apr,25.3,1961,Brazil,BRA,autumn
May,24.4,1961,Brazil,BRA,autumn
Jun,23.3,1961,Brazil,BRA,winter
Jul,23.5,1961,Brazil,BRA,winter
Aug,25.1,1961,Brazil,BRA,winter
Sep,26.2,1961,Brazil,BRA,spring
Oct,26.1,1961,Brazil,BRA,spring
Nov,26.1,1961,Brazil,BRA,spring
Dec,25.5,1961,Brazil,BRA,summer
Jan,25.6,1962,Brazil,BRA,summer
Feb,25.7,1962,Brazil,BRA,summer
Mar,25.6,1962,Brazil,BRA,autumn
Apr,24.9,1962,Brazil,BRA,autumn
May,23.9,1962,Brazil,BRA,autumn
Jun,22.9,1962,Brazil,BRA,winter
Jul,22.6,1962,Brazil,BRA,winter
Aug,24.4,1962,Brazil,BRA,winter
Sep,25.8,1962,Brazil,BRA,spring
Oct,25.3,1962,Brazil,BRA,spring
Nov,26.1,1962,Brazil,BRA,spring
Dec,25.8,1962,Brazil,BRA,summer
Jan,25.9,1963,Brazil,BRA,summer
Feb,25.4,1963,Brazil,BRA,summer
Mar,25.6,1963,Brazil,BRA,autumn
Apr,25.1,1963,Brazil,BRA,autumn
May,23.9,1963,Brazil,BRA,autumn
Jun,23.1,1963,Brazil,BRA,winter
Jul,23.6,1963,Brazil,BRA,winter
Aug,24.9,1963,Brazil,BRA,winter
Sep,26.1,1963,Brazil,BRA,spring
Oct,27.0,1963,Brazil,BRA,spring
Nov,26.2,1963,Brazil,BRA,spring
Dec,25.9,1963,Brazil,BRA,summer
Jan,25.8,1964,Brazil,BRA,summer
Feb,26.0,1964,Brazil,BRA,summer
Mar,25.5,1964,Brazil,BRA,autumn
Apr,25.3,1964,Brazil,BRA,autumn
May,24.0,1964,Brazil,BRA,autumn
Jun,22.9,1964,Brazil,BRA,winter
Jul,23.0,1964,Brazil,BRA,winter
Aug,24.6,1964,Brazil,BRA,winter
Sep,25.4,1964,Brazil,BRA,spring
Oct,25.2,1964,Brazil,BRA,spring
Nov,25.2,1964,Brazil,BRA,spring
Dec,25.3,1964,Brazil,BRA,summer
Jan,25.4,1965,Brazil,BRA,summer
Feb,25.6,1965,Brazil,BRA,summer
Mar,24.9,1965,Brazil,BRA,autumn
Apr,24.8,1965,Brazil,BRA,autumn
May,24.4,1965,Brazil,BRA,autumn
Jun,23.9,1965,Brazil,BRA,winter
Jul,23.5,1965,Brazil,BRA,winter
Aug,24.6,1965,Brazil,BRA,winter
Sep,25.8,1965,Brazil,BRA,spring
Oct,25.9,1965,Brazil,BRA,spring
Nov,25.8,1965,Brazil,BRA,spring
Dec,25.9,1965,Brazil,BRA,summer
Jan,26.1,1966,Brazil,BRA,summer
Feb,26.0,1966,Brazil,BRA,summer
Mar,25.7,1966,Brazil,BRA,autumn
Apr,25.2,1966,Brazil,BRA,autumn
May,24.5,1966,Brazil,BRA,autumn
Jun,23.8,1966,Brazil,BRA,winter
Jul,23.5,1966,Brazil,BRA,winter
Aug,24.0,1966,Brazil,BRA,winter
Sep,25.0,1966,Brazil,BRA,spring
Oct,26.1,1966,Brazil,BRA,spring
Nov,25.8,1966,Brazil,BRA,spring
